timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/07/07 17:58:46.086,4,143771,143153,0,0,140.02,45,1980,3201,1783447126.147947
2026/07/07 17:58:46.713,4,143771,143153,0,0,130.18,45,1980,3201,1783447126.775597
2026/07/07 17:58:47.351,4,143771,143153,0,0,129.85,44,1980,3201,1783447127.4144912
2026/07/07 17:58:47.984,4,143771,143153,0,0,102.06,43,345,3201,1783447128.048547
2026/07/07 17:58:48.622,4,143771,143153,0,0,80.64,43,345,3201,1783447128.688524
2026/07/07 17:58:49.261,4,143771,143153,0,0,80.49,42,345,3201,1783447129.3262453
2026/07/07 17:58:49.902,4,143771,143153,0,0,80.35,42,345,3201,1783447129.9694238
2026/07/07 17:58:50.544,4,143771,143153,0,0,80.25,42,345,3201,1783447130.6172085
2026/07/07 17:58:51.195,4,143771,143153,0,0,80.22,42,345,3201,1783447131.2631104
2026/07/07 17:58:51.829,4,143771,143153,0,0,80.12,42,345,3201,1783447131.892886
2026/07/07 17:58:52.460,4,143771,143153,0,0,80.09,41,345,3201,1783447132.5311494
2026/07/07 17:58:53.099,4,143771,143153,0,0,80.01,41,345,3201,1783447133.163157
2026/07/07 17:58:53.729,4,143771,143153,0,0,79.97,41,345,3201,1783447133.7938116
2026/07/07 17:58:54.361,4,143771,143153,0,0,79.92,41,345,3201,1783447134.425714
2026/07/07 17:58:54.995,4,143771,143153,0,0,79.83,41,345,3201,1783447135.058963
2026/07/07 17:58:55.633,4,143771,143153,0,0,79.79,41,345,3201,1783447135.6989021
2026/07/07 17:58:56.267,4,143771,143153,0,0,79.77,41,345,3201,1783447136.3308406
2026/07/07 17:58:57.101,4,143771,143153,0,0,79.77,41,345,3201,1783447137.3370764
2026/07/07 17:58:57.904,4,143771,143153,0,0,79.70,40,345,3201,1783447137.9677167
2026/07/07 17:58:58.543,4,143771,143153,0,0,79.65,40,345,3201,1783447138.614198
2026/07/07 17:58:59.183,4,143771,143153,0,0,79.55,40,345,3201,1783447139.247312
2026/07/07 17:58:59.826,4,143771,143153,0,0,79.54,40,345,3201,1783447139.8948019
2026/07/07 17:59:00.462,4,143771,143153,0,0,79.49,40,345,3201,1783447140.5253954
2026/07/07 17:59:01.094,4,143771,143153,0,0,79.48,40,345,3201,1783447141.1597075
2026/07/07 17:59:01.726,4,143771,143153,0,0,79.47,40,345,3201,1783447141.7898588
2026/07/07 17:59:02.354,692,143771,142465,1,0,92.56,41,1980,3201,1783447142.4179556
2026/07/07 17:59:02.982,17426,143771,125731,7,0,119.46,41,1980,3201,1783447143.0447598
2026/07/07 17:59:03.610,17426,143771,125731,14,0,124.56,41,1980,3201,1783447143.6732476
2026/07/07 17:59:04.244,17426,143771,125731,14,0,124.89,41,1980,3201,1783447144.3075206
2026/07/07 17:59:04.872,17426,143771,125731,14,0,124.83,41,1980,3201,1783447144.9343324
2026/07/07 17:59:05.507,17426,143771,125731,2,0,124.78,41,1980,3201,1783447145.573052
2026/07/07 17:59:06.139,107730,143771,35427,1,0,130.98,41,1980,3201,1783447146.2031634
2026/07/07 17:59:06.775,107774,143771,35383,3,1,124.64,41,1980,3201,1783447146.8396494
2026/07/07 17:59:07.403,107760,143771,35397,6,2,133.84,41,1980,3201,1783447147.4706523
2026/07/07 17:59:08.034,107760,143771,35397,0,0,129.33,41,1980,3201,1783447148.102385
2026/07/07 17:59:08.666,107760,143771,35397,0,0,123.38,41,1980,3201,1783447148.7301874
2026/07/07 17:59:09.296,107760,143771,35397,0,0,123.32,41,1980,3201,1783447149.3582108
2026/07/07 17:59:09.925,107760,143771,35397,0,0,123.28,41,1980,3201,1783447149.9882822
2026/07/07 17:59:10.553,107796,143771,35361,0,0,128.34,41,1980,3201,1783447150.616728
2026/07/07 17:59:11.188,107796,143771,35361,0,0,128.36,41,1980,3201,1783447151.2512972
2026/07/07 17:59:11.816,107796,143771,35361,0,0,123.29,41,1980,3201,1783447151.878112
2026/07/07 17:59:12.451,107796,143771,35361,0,0,123.26,41,1980,3201,1783447152.5243669
2026/07/07 17:59:13.089,107796,143771,35361,0,0,124.07,41,1980,3201,1783447153.15186
2026/07/07 17:59:13.723,107796,143771,35361,0,0,124.13,41,1980,3201,1783447153.7888527
2026/07/07 17:59:14.353,107828,143771,35329,0,0,124.59,41,1980,3201,1783447154.416723
2026/07/07 17:59:14.981,108328,143771,34829,4,1,169.44,43,1905,3201,1783447155.0455961
2026/07/07 17:59:15.613,108360,143771,34797,100,69,397.68,47,1980,3201,1783447155.6779735
2026/07/07 17:59:16.246,108364,143771,34793,100,69,548.81,49,1980,3201,1783447156.3104696
2026/07/07 17:59:16.878,108578,143771,34579,100,69,522.02,49,1980,3201,1783447156.9427934
2026/07/07 17:59:17.523,108578,143771,34579,100,69,549.70,50,1980,3201,1783447157.5865815
2026/07/07 17:59:18.160,108578,143771,34579,100,69,543.01,51,1980,3201,1783447158.2250834
2026/07/07 17:59:18.799,108578,143771,34579,100,69,555.28,51,1980,3201,1783447158.8637383
2026/07/07 17:59:19.437,108804,143771,34353,89,18,578.67,57,1845,3201,1783447159.5061178
2026/07/07 17:59:20.071,108804,143771,34353,95,20,586.38,57,1815,3201,1783447160.134736
2026/07/07 17:59:20.710,108804,143771,34353,37,13,503.24,48,1980,3201,1783447160.7787633
2026/07/07 17:59:21.345,108804,143771,34353,100,52,389.87,50,1980,3201,1783447161.4091063
2026/07/07 17:59:21.975,108804,143771,34353,100,50,391.91,49,1980,3201,1783447162.0441382
2026/07/07 17:59:22.612,108804,143771,34353,0,0,405.23,53,1920,3201,1783447162.675883
2026/07/07 17:59:23.240,108806,143771,34351,95,36,514.89,53,1965,3201,1783447163.3038192
2026/07/07 17:59:23.876,108806,143771,34351,97,15,599.20,61,1875,3201,1783447163.9390604
2026/07/07 17:59:24.505,108806,143771,34351,100,42,538.91,52,1980,3201,1783447164.568994
2026/07/07 17:59:25.139,108806,143771,34351,78,19,348.74,52,1965,3201,1783447165.2034895
2026/07/07 17:59:25.770,108806,143771,34351,67,27,348.98,49,1980,3201,1783447165.83373
2026/07/07 17:59:26.409,108806,143771,34351,74,30,361.47,48,1980,3201,1783447166.4825916
2026/07/07 17:59:27.048,108806,143771,34351,80,32,332.63,48,1980,3201,1783447167.1119666
2026/07/07 17:59:27.685,108806,143771,34351,100,40,333.30,48,1980,3201,1783447167.7547207
2026/07/07 17:59:28.320,108806,143771,34351,100,40,334.83,48,1980,3201,1783447168.3834128
2026/07/07 17:59:28.959,108806,143771,34351,100,40,332.83,48,1980,3201,1783447169.0272171
2026/07/07 17:59:29.604,108806,143771,34351,100,40,334.30,48,1980,3201,1783447169.6666918
2026/07/07 17:59:30.231,108806,143771,34351,100,40,339.64,48,1980,3201,1783447170.2942126
