timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/07/07 22:39:36.430,4,143771,143153,0,0,145.34,52,1980,3201,1783463976.5033216
2026/07/07 22:39:37.065,4,143771,143153,0,0,135.45,51,1980,3201,1783463977.1395233
2026/07/07 22:39:37.701,4,143771,143153,0,0,134.77,50,1980,3201,1783463977.773238
2026/07/07 22:39:38.335,4,143771,143153,0,0,106.86,49,345,3201,1783463978.4103813
2026/07/07 22:39:38.991,4,143771,143153,0,0,82.62,48,345,3201,1783463979.1051853
2026/07/07 22:39:39.671,4,143771,143153,0,0,82.36,48,345,3201,1783463979.7507284
2026/07/07 22:39:40.313,4,143771,143153,0,0,82.39,47,345,3201,1783463980.3900545
2026/07/07 22:39:40.962,4,143771,143153,0,0,82.26,47,345,3201,1783463981.0453384
2026/07/07 22:39:41.613,4,143771,143153,0,0,82.18,47,345,3201,1783463981.6932275
2026/07/07 22:39:42.325,4,143771,143153,0,0,82.04,46,345,3201,1783463982.4034617
2026/07/07 22:39:42.972,4,143771,143153,0,0,81.89,46,345,3201,1783463983.064112
2026/07/07 22:39:43.626,4,143771,143153,0,0,81.67,46,345,3201,1783463983.7035222
2026/07/07 22:39:44.270,4,143771,143153,0,0,81.61,46,345,3201,1783463984.3469872
2026/07/07 22:39:44.918,4,143771,143153,0,0,81.53,45,345,3201,1783463984.9926429
2026/07/07 22:39:45.556,4,143771,143153,0,0,81.36,45,345,3201,1783463985.6364007
2026/07/07 22:39:46.199,4,143771,143153,0,0,81.33,45,345,3201,1783463986.275213
2026/07/07 22:39:46.843,4,143771,143153,0,0,81.18,45,345,3201,1783463986.915119
2026/07/07 22:39:47.479,4,143771,143153,0,0,81.10,45,345,3201,1783463987.5676095
2026/07/07 22:39:48.155,4,143771,143153,0,0,81.06,44,345,3201,1783463988.3380716
2026/07/07 22:39:48.933,4,143771,143153,0,0,80.92,44,345,3201,1783463989.0218768
2026/07/07 22:39:49.587,4,143771,143153,0,0,80.88,44,345,3201,1783463989.663189
2026/07/07 22:39:50.236,4,143771,143153,0,0,80.79,44,345,3201,1783463990.315346
2026/07/07 22:39:50.881,4,143771,143153,0,0,80.73,44,345,3201,1783463990.9581645
2026/07/07 22:39:51.525,4,143771,143153,0,0,80.65,44,345,3201,1783463991.6042707
2026/07/07 22:39:52.181,4,143771,143153,0,0,80.69,43,345,3201,1783463992.249807
2026/07/07 22:39:52.830,4,143771,143153,0,0,80.61,43,345,3201,1783463992.9028382
2026/07/07 22:39:53.464,4,143771,143153,0,0,80.41,43,345,3201,1783463993.664783
2026/07/07 22:39:54.239,692,143771,142465,0,0,113.76,44,1980,3201,1783463994.3828547
2026/07/07 22:39:54.948,17426,143771,125731,13,0,126.10,44,1980,3201,1783463995.024514
2026/07/07 22:39:55.589,17426,143771,125731,13,0,126.71,44,1980,3201,1783463995.6686425
2026/07/07 22:39:56.234,17426,143771,125731,14,0,126.73,44,1980,3201,1783463996.3103626
2026/07/07 22:39:56.875,17426,143771,125731,14,0,126.71,44,1980,3201,1783463996.9537747
2026/07/07 22:39:57.512,129116,143771,14041,35,31,134.81,44,1980,3201,1783463997.5856168
2026/07/07 22:39:58.142,129176,143771,13981,1,0,133.96,44,1980,3201,1783463998.216746
2026/07/07 22:39:58.781,129214,143771,13943,8,2,136.80,44,1980,3201,1783463998.853426
2026/07/07 22:39:59.425,129244,143771,13913,8,2,147.27,44,1980,3201,1783463999.4953918
2026/07/07 22:40:00.054,129232,143771,13925,7,2,137.30,44,1980,3201,1783464000.1299465
2026/07/07 22:40:00.704,129232,143771,13925,0,0,131.43,43,1980,3201,1783464000.7727218
2026/07/07 22:40:01.449,129232,143771,13925,0,0,125.10,43,1980,3201,1783464001.550055
2026/07/07 22:40:02.114,129232,143771,13925,0,0,125.10,43,1980,3201,1783464002.190111
2026/07/07 22:40:02.768,129232,143771,13925,0,0,124.98,43,1980,3201,1783464002.8471012
2026/07/07 22:40:03.410,129268,143771,13889,4,2,130.25,43,1980,3201,1783464003.4934156
2026/07/07 22:40:04.057,129268,143771,13889,0,0,130.03,43,1980,3201,1783464004.1358876
2026/07/07 22:40:04.695,129268,143771,13889,0,0,123.89,43,1980,3201,1783464004.7684429
2026/07/07 22:40:05.326,129268,143771,13889,0,0,123.48,43,1980,3201,1783464005.400458
2026/07/07 22:40:05.980,129268,143771,13889,0,0,123.36,43,1980,3201,1783464006.0912175
2026/07/07 22:40:06.655,129268,143771,13889,0,0,124.83,43,1980,3201,1783464006.7258356
2026/07/07 22:40:07.283,129308,143771,13849,0,0,123.44,43,1980,3201,1783464007.3578334
2026/07/07 22:40:07.917,129308,143771,13849,0,0,124.33,43,1980,3201,1783464007.9890273
2026/07/07 22:40:08.566,129584,143771,13573,69,18,199.23,46,1980,3201,1783464008.6510212
2026/07/07 22:40:09.213,129584,143771,13573,100,69,453.21,50,1980,3201,1783464009.3001657
2026/07/07 22:40:09.868,129590,143771,13567,33,9,523.93,53,1980,3201,1783464009.9459975
2026/07/07 22:40:10.508,129590,143771,13567,100,69,511.62,51,1980,3201,1783464010.5908718
2026/07/07 22:40:11.192,129590,143771,13567,100,69,531.11,49,1980,3201,1783464011.3388522
2026/07/07 22:40:11.901,129590,143771,13567,100,69,522.04,52,1980,3201,1783464011.973929
2026/07/07 22:40:12.543,129590,143771,13567,100,69,522.03,51,1980,3201,1783464012.6272318
2026/07/07 22:40:13.191,129630,143771,13527,65,17,515.42,54,1980,3201,1783464013.2646463
2026/07/07 22:40:13.825,129630,143771,13527,100,57,580.50,55,1980,3201,1783464013.9060588
2026/07/07 22:40:14.475,129630,143771,13527,100,57,598.31,56,1980,3201,1783464014.547261
2026/07/07 22:40:15.113,129630,143771,13527,22,12,536.89,50,1980,3201,1783464015.183005
2026/07/07 22:40:15.745,129668,143771,13489,63,24,481.83,55,1980,3201,1783464015.8209162
2026/07/07 22:40:16.386,129668,143771,13489,100,57,566.41,56,1980,3201,1783464016.4598908
2026/07/07 22:40:17.027,129668,143771,13489,100,57,597.83,56,1980,3201,1783464017.0987828
2026/07/07 22:40:17.693,129668,143771,13489,0,0,530.11,51,1980,3201,1783464017.765113
2026/07/07 22:40:18.333,129706,143771,13451,100,55,495.42,56,1980,3201,1783464018.40773
2026/07/07 22:40:18.969,129706,143771,13451,100,57,580.33,57,1980,3201,1783464019.0428352
