timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/07/07 22:37:20.032,4,143771,143153,0,0,144.71,51,1980,3201,1783463840.1030934
2026/07/07 22:37:20.660,4,143771,143153,0,0,134.02,50,1980,3201,1783463840.7324579
2026/07/07 22:37:21.306,4,143771,143153,0,0,129.76,49,420,3201,1783463841.3751702
2026/07/07 22:37:21.936,4,143771,143153,0,0,100.07,48,345,3201,1783463842.0077968
2026/07/07 22:37:22.579,4,143771,143153,0,0,82.53,48,345,3201,1783463842.7171385
2026/07/07 22:37:23.280,4,143771,143153,0,0,82.26,47,345,3201,1783463843.3560085
2026/07/07 22:37:23.922,4,143771,143153,0,0,82.07,47,345,3201,1783463843.999817
2026/07/07 22:37:24.562,4,143771,143153,0,0,81.94,47,345,3201,1783463844.637829
2026/07/07 22:37:25.208,4,143771,143153,0,0,81.83,46,345,3201,1783463845.2801065
2026/07/07 22:37:25.900,4,143771,143153,0,0,81.58,46,345,3201,1783463845.9728448
2026/07/07 22:37:26.536,4,143771,143153,0,0,81.45,46,345,3201,1783463846.6103172
2026/07/07 22:37:27.168,4,143771,143153,0,0,81.45,46,345,3201,1783463847.2375505
2026/07/07 22:37:27.798,4,143771,143153,0,0,81.37,45,345,3201,1783463847.873317
2026/07/07 22:37:28.438,4,143771,143153,0,0,81.26,45,345,3201,1783463848.5115929
2026/07/07 22:37:29.078,4,143771,143153,0,0,81.09,45,345,3201,1783463849.1467066
2026/07/07 22:37:29.755,4,143771,143153,0,0,81.04,45,345,3201,1783463849.8375645
2026/07/07 22:37:30.401,4,143771,143153,0,0,80.84,44,345,3201,1783463850.4791534
2026/07/07 22:37:31.288,4,143771,143153,0,0,80.76,44,345,3201,1783463851.5981822
2026/07/07 22:37:32.171,4,143771,143153,0,0,80.81,44,345,3201,1783463852.2419024
2026/07/07 22:37:32.809,4,143771,143153,0,0,80.88,44,345,3201,1783463852.8949962
2026/07/07 22:37:33.466,4,143771,143153,0,0,80.90,44,345,3201,1783463853.544552
2026/07/07 22:37:34.120,4,143771,143153,0,0,80.81,43,345,3201,1783463854.191885
2026/07/07 22:37:34.809,4,143771,143153,0,0,80.77,43,345,3201,1783463854.8848379
2026/07/07 22:37:35.453,4,143771,143153,0,0,80.72,43,345,3201,1783463855.534561
2026/07/07 22:37:36.103,4,143771,143153,0,0,80.61,43,345,3201,1783463856.1806126
2026/07/07 22:37:36.785,24,143771,143133,0,0,92.26,44,1980,3201,1783463856.8958037
2026/07/07 22:37:37.457,1508,143771,141649,0,0,119.35,44,1980,3201,1783463857.5348847
2026/07/07 22:37:38.123,17426,143771,125731,13,0,126.10,44,1980,3201,1783463858.2367034
2026/07/07 22:37:38.803,17426,143771,125731,13,0,126.64,44,1980,3201,1783463858.8805733
2026/07/07 22:37:39.440,17426,143771,125731,14,0,126.58,44,1980,3201,1783463859.513295
2026/07/07 22:37:40.079,17426,143771,125731,14,0,126.53,44,1980,3201,1783463860.1611292
2026/07/07 22:37:40.722,107676,143771,35481,0,0,133.42,44,1980,3201,1783463860.7983303
2026/07/07 22:37:41.398,107734,143771,35423,0,0,132.81,44,1980,3201,1783463861.4747047
2026/07/07 22:37:42.092,107742,143771,35415,7,2,133.46,44,1980,3201,1783463862.163137
2026/07/07 22:37:42.732,107742,143771,35415,0,0,131.87,43,1980,3201,1783463862.811499
2026/07/07 22:37:43.430,107742,143771,35415,0,0,125.17,43,1980,3201,1783463863.5154688
2026/07/07 22:37:44.133,107742,143771,35415,0,0,125.01,43,1980,3201,1783463864.2203748
2026/07/07 22:37:44.781,107742,143771,35415,0,0,124.87,43,1980,3201,1783463864.856722
2026/07/07 22:37:45.424,107776,143771,35381,9,4,130.37,43,1980,3201,1783463865.5049112
2026/07/07 22:37:46.065,107776,143771,35381,0,0,130.54,43,1980,3201,1783463866.1780019
2026/07/07 22:37:46.767,107776,143771,35381,0,0,124.68,43,1980,3201,1783463866.882375
2026/07/07 22:37:47.448,107776,143771,35381,0,0,125.68,43,1980,3201,1783463867.5210452
2026/07/07 22:37:48.080,107808,143771,35349,0,0,125.60,43,1980,3201,1783463868.1586795
2026/07/07 22:37:48.723,107808,143771,35349,0,0,125.63,43,1980,3201,1783463868.8008716
2026/07/07 22:37:49.364,108366,143771,34791,100,68,273.68,48,1980,3201,1783463869.4391716
2026/07/07 22:37:50.043,108366,143771,34791,100,69,525.60,51,1980,3201,1783463870.1164467
2026/07/07 22:37:50.681,108584,143771,34573,100,68,526.04,51,1965,3201,1783463870.7583094
2026/07/07 22:37:51.337,108584,143771,34573,100,69,552.82,52,1980,3201,1783463871.489011
2026/07/07 22:37:52.083,108584,143771,34573,98,67,495.00,52,1980,3201,1783463872.1828527
2026/07/07 22:37:52.767,108584,143771,34573,100,69,517.87,53,1980,3201,1783463872.8423736
2026/07/07 22:37:53.462,108584,143771,34573,100,68,525.28,53,1980,3201,1783463873.5383997
2026/07/07 22:37:54.107,108584,143771,34573,100,69,524.65,53,1980,3201,1783463874.198716
2026/07/07 22:37:54.768,108772,143771,34385,95,41,558.79,54,1965,3201,1783463874.8389525
2026/07/07 22:37:55.397,108772,143771,34385,100,70,560.07,54,1980,3201,1783463875.4737196
2026/07/07 22:37:56.034,108772,143771,34385,100,70,568.51,55,1965,3201,1783463876.108493
2026/07/07 22:37:56.691,108772,143771,34385,100,71,567.91,55,1980,3201,1783463876.8002524
2026/07/07 22:37:57.360,108960,143771,34197,91,31,569.88,56,1965,3201,1783463877.4308667
2026/07/07 22:37:57.989,108960,143771,34197,100,71,565.09,55,1980,3201,1783463878.0620847
2026/07/07 22:37:58.629,108960,143771,34197,52,14,552.14,52,1980,3201,1783463878.7023945
2026/07/07 22:37:59.261,108960,143771,34197,100,69,543.18,55,1980,3201,1783463879.3310285
2026/07/07 22:37:59.897,108960,143771,34197,100,69,572.14,55,1860,3201,1783463879.9777744
2026/07/07 22:38:00.574,108960,143771,34197,100,71,571.17,56,1980,3201,1783463880.6503372
2026/07/07 22:38:01.226,108960,143771,34197,92,51,573.28,56,1980,3201,1783463881.3021204
2026/07/07 22:38:01.862,108960,143771,34197,100,71,568.45,56,1980,3201,1783463881.9489102
2026/07/07 22:38:02.514,108960,143771,34197,100,72,562.15,56,1980,3201,1783463882.6423051
2026/07/07 22:38:03.203,108960,143771,34197,100,70,567.92,56,1980,3201,1783463883.2784138
2026/07/07 22:38:03.840,108960,143771,34197,100,71,560.63,56,1980,3201,1783463883.9185717
2026/07/07 22:38:04.476,108960,143771,34197,100,69,536.48,56,1980,3201,1783463884.5513575
2026/07/07 22:38:05.111,108960,143771,34197,100,69,558.64,57,1980,3201,1783463885.2409837
2026/07/07 22:38:05.800,108960,143771,34197,100,71,561.58,57,1980,3201,1783463885.8740208
2026/07/07 22:38:06.436,108960,143771,34197,100,71,565.24,57,1980,3201,1783463886.5065887
2026/07/07 22:38:07.071,108960,143771,34197,100,70,571.96,57,1965,3201,1783463887.1420677
2026/07/07 22:38:07.710,108960,143771,34197,100,72,567.03,57,1980,3201,1783463887.7773697
2026/07/07 22:38:08.414,108960,143771,34197,100,70,581.18,57,1980,3201,1783463888.5052042
2026/07/07 22:38:09.068,108960,143771,34197,100,70,566.33,57,1980,3201,1783463889.138851
2026/07/07 22:38:09.703,108960,143771,34197,100,40,452.83,53,1980,3201,1783463889.7822835
2026/07/07 22:38:10.343,108960,143771,34197,100,40,343.67,53,1980,3201,1783463890.4153342
2026/07/07 22:38:10.980,108960,143771,34197,100,40,345.72,52,1980,3201,1783463891.0609426
2026/07/07 22:38:11.617,108960,143771,34197,100,40,345.55,52,1980,3201,1783463891.7005293
2026/07/07 22:38:12.258,108960,143771,34197,100,40,345.76,52,1980,3201,1783463892.3291495
2026/07/07 22:38:12.937,108960,143771,34197,100,40,345.69,52,1980,3201,1783463893.01225
2026/07/07 22:38:13.573,108960,143771,34197,100,40,347.36,52,1980,3201,1783463893.646712
2026/07/07 22:38:14.203,108960,143771,34197,100,40,340.90,52,1980,3201,1783463894.2745328
2026/07/07 22:38:14.855,108960,143771,34197,100,40,339.41,52,1980,3201,1783463894.9909196
2026/07/07 22:38:15.551,108960,143771,34197,100,40,343.74,52,1980,3201,1783463895.6180449
2026/07/07 22:38:16.178,108960,143771,34197,100,40,343.97,52,1980,3201,1783463896.2535505
2026/07/07 22:38:16.828,108960,143771,34197,100,40,344.97,52,1980,3201,1783463896.8978744
2026/07/07 22:38:17.461,108960,143771,34197,100,40,345.76,52,1980,3201,1783463897.5345683
2026/07/07 22:38:18.111,108960,143771,34197,100,40,345.56,52,1980,3201,1783463898.1868238
2026/07/07 22:38:18.746,108960,143771,34197,74,30,340.29,51,1980,3201,1783463898.821094
2026/07/07 22:38:19.386,108960,143771,34197,100,40,340.77,51,1980,3201,1783463899.468848
2026/07/07 22:38:20.037,108960,143771,34197,100,40,343.64,51,1980,3201,1783463900.1045656
2026/07/07 22:38:20.667,108960,143771,34197,100,40,344.23,51,1980,3201,1783463900.7527013
2026/07/07 22:38:21.312,108960,143771,34197,100,40,344.13,51,1980,3201,1783463901.385627
2026/07/07 22:38:21.949,108960,143771,34197,100,40,343.92,51,1980,3201,1783463902.022339
2026/07/07 22:38:22.580,108960,143771,34197,100,40,344.51,51,1980,3201,1783463902.6559832
2026/07/07 22:38:23.253,108960,143771,34197,79,32,340.47,51,1980,3201,1783463903.3662775
2026/07/07 22:38:23.939,108960,143771,34197,100,40,340.07,51,1980,3201,1783463904.0108666
2026/07/07 22:38:24.575,108960,143771,34197,100,40,342.16,51,1980,3201,1783463904.6545126
2026/07/07 22:38:25.259,108960,143771,34197,100,40,343.13,51,1980,3201,1783463905.351444
2026/07/07 22:38:25.910,108960,143771,34197,100,40,343.75,51,1980,3201,1783463905.9843383
2026/07/07 22:38:26.553,108960,143771,34197,100,40,343.94,51,1980,3201,1783463906.63937
2026/07/07 22:38:27.204,108960,143771,34197,100,40,343.81,51,1980,3201,1783463907.3073206
2026/07/07 22:38:27.873,108960,143771,34197,100,40,340.03,51,1980,3201,1783463907.9470668
2026/07/07 22:38:28.529,108960,143771,34197,100,40,340.37,51,1980,3201,1783463908.6439025
2026/07/07 22:38:29.212,108960,143771,34197,100,40,341.86,51,1980,3201,1783463909.2878788
2026/07/07 22:38:29.848,108960,143771,34197,100,40,342.16,51,1980,3201,1783463909.9219496
2026/07/07 22:38:30.481,108960,143771,34197,100,40,343.42,51,1980,3201,1783463910.556427
2026/07/07 22:38:31.127,108960,143771,34197,100,40,343.94,51,1980,3201,1783463911.197385
2026/07/07 22:38:31.811,108960,143771,34197,100,40,343.80,51,1980,3201,1783463911.8861136
2026/07/07 22:38:32.451,108960,143771,34197,100,40,342.82,51,1980,3201,1783463912.5229445
