timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/07/07 19:22:52.490,4,143771,143153,0,0,140.54,46,1980,3201,1783452172.555605
2026/07/07 19:22:53.120,4,143771,143153,0,0,131.92,46,1980,3201,1783452173.18431
2026/07/07 19:22:53.758,4,143771,143153,0,0,130.71,45,1980,3201,1783452173.8272316
2026/07/07 19:22:54.394,4,143771,143153,0,0,104.15,44,450,3201,1783452174.463875
2026/07/07 19:22:55.044,4,143771,143153,0,0,81.29,43,345,3201,1783452175.1143813
2026/07/07 19:22:55.684,4,143771,143153,0,0,80.84,43,345,3201,1783452175.7982993
2026/07/07 19:22:56.377,4,143771,143153,0,0,80.67,43,345,3201,1783452176.4632688
2026/07/07 19:22:57.033,4,143771,143153,0,0,80.53,43,345,3201,1783452177.142604
2026/07/07 19:22:57.722,4,143771,143153,0,0,80.45,43,345,3201,1783452177.7909412
2026/07/07 19:22:58.360,4,143771,143153,0,0,80.38,42,345,3201,1783452178.425647
2026/07/07 19:22:58.995,4,143771,143153,0,0,80.29,42,345,3201,1783452179.141984
2026/07/07 19:22:59.762,4,143771,143153,0,0,80.24,42,345,3201,1783452179.8329864
2026/07/07 19:23:00.405,4,143771,143153,0,0,80.19,42,345,3201,1783452180.4693642
2026/07/07 19:23:01.037,4,143771,143153,0,0,80.11,42,345,3201,1783452181.1012325
2026/07/07 19:23:01.671,4,143771,143153,0,0,80.09,42,345,3201,1783452181.743814
2026/07/07 19:23:02.311,4,143771,143153,0,0,80.05,41,345,3201,1783452182.426076
2026/07/07 19:23:02.996,4,143771,143153,0,0,79.97,41,345,3201,1783452183.06141
2026/07/07 19:23:03.836,4,143771,143153,0,0,79.94,41,345,3201,1783452184.0227203
2026/07/07 19:23:04.596,4,143771,143153,0,0,79.83,41,345,3201,1783452184.6603692
2026/07/07 19:23:05.240,4,143771,143153,0,0,79.80,41,345,3201,1783452185.3150098
2026/07/07 19:23:05.890,4,143771,143153,0,0,79.74,41,345,3201,1783452185.9622676
2026/07/07 19:23:06.541,4,143771,143153,0,0,79.68,41,345,3201,1783452186.6132345
2026/07/07 19:23:07.222,4,143771,143153,0,0,79.64,41,345,3201,1783452187.2882807
2026/07/07 19:23:07.865,4,143771,143153,0,0,79.60,41,345,3201,1783452187.9394827
2026/07/07 19:23:08.505,692,143771,142465,2,0,101.29,41,1980,3201,1783452188.5678463
2026/07/07 19:23:09.139,1904,143771,141253,12,0,124.05,42,1980,3201,1783452189.205014
2026/07/07 19:23:09.773,129162,143771,13995,1,0,134.40,42,1980,3201,1783452189.8376064
2026/07/07 19:23:10.404,129220,143771,13937,12,2,136.41,42,1980,3201,1783452190.5182564
2026/07/07 19:23:11.086,129224,143771,13933,0,0,131.16,42,1980,3201,1783452191.1520054
2026/07/07 19:23:11.721,129224,143771,13933,0,0,123.93,41,1980,3201,1783452191.783892
2026/07/07 19:23:12.352,129224,143771,13933,0,0,123.81,41,1980,3201,1783452192.4151402
2026/07/07 19:23:12.984,129226,143771,13931,0,0,123.77,41,1980,3201,1783452193.0481772
2026/07/07 19:23:13.620,129258,143771,13899,0,0,126.27,41,1980,3201,1783452193.7360184
2026/07/07 19:23:14.303,129258,143771,13899,0,0,126.14,41,1980,3201,1783452194.36729
2026/07/07 19:23:14.957,129258,143771,13899,0,0,123.68,41,1980,3201,1783452195.1773958
2026/07/07 19:23:15.750,129258,143771,13899,0,0,123.63,41,1980,3201,1783452195.813909
2026/07/07 19:23:16.393,129258,143771,13899,4,1,123.89,41,1980,3201,1783452196.4637318
2026/07/07 19:23:17.031,129258,143771,13899,0,0,123.91,41,1980,3201,1783452197.1407895
2026/07/07 19:23:17.713,129278,143771,13879,0,0,123.82,41,1980,3201,1783452197.7835674
2026/07/07 19:23:18.353,129380,143771,13777,0,0,129.38,41,1980,3201,1783452198.423245
2026/07/07 19:23:18.990,129380,143771,13777,100,32,263.38,47,1980,3201,1783452199.0562224
2026/07/07 19:23:19.621,129380,143771,13777,100,32,357.11,47,1980,3201,1783452199.6850789
2026/07/07 19:23:20.251,129380,143771,13777,100,31,360.19,48,1980,3201,1783452200.36731
2026/07/07 19:23:20.935,129382,143771,13775,100,39,401.22,52,1980,3201,1783452201.0003417
2026/07/07 19:23:21.568,129382,143771,13775,100,51,560.65,54,1980,3201,1783452201.6337154
2026/07/07 19:23:22.207,129382,143771,13775,100,40,459.78,53,1980,3201,1783452202.2715092
2026/07/07 19:23:22.836,129382,143771,13775,100,50,559.98,56,1980,3201,1783452202.903942
2026/07/07 19:23:23.484,129382,143771,13775,100,40,467.53,54,1980,3201,1783452203.6068804
2026/07/07 19:23:24.177,129382,143771,13775,11,6,521.93,48,1980,3201,1783452204.2415547
2026/07/07 19:23:24.820,129382,143771,13775,100,19,320.70,46,1980,3201,1783452204.8864756
2026/07/07 19:23:25.454,129382,143771,13775,100,19,241.15,46,1980,3201,1783452205.5267117
2026/07/07 19:23:26.101,129382,143771,13775,100,20,246.36,46,1980,3201,1783452206.173794
2026/07/07 19:23:26.741,129382,143771,13775,100,21,251.59,46,1980,3201,1783452206.8490767
2026/07/07 19:23:27.421,129382,143771,13775,100,21,255.65,46,1980,3201,1783452207.4866638
2026/07/07 19:23:28.057,129382,143771,13775,100,19,246.93,45,1980,3201,1783452208.1216395
2026/07/07 19:23:28.687,129382,143771,13775,100,19,235.31,45,1980,3201,1783452208.7504685
2026/07/07 19:23:29.316,129382,143771,13775,100,20,241.60,45,1980,3201,1783452209.3831022
2026/07/07 19:23:29.964,129382,143771,13775,100,20,247.08,45,1980,3201,1783452210.029366
2026/07/07 19:23:30.609,129382,143771,13775,100,21,251.56,45,1980,3201,1783452210.6726825
2026/07/07 19:23:31.269,129382,143771,13775,100,21,255.90,46,1980,3201,1783452211.3330512
2026/07/07 19:23:31.905,129382,143771,13775,100,19,243.12,45,1980,3201,1783452211.9736233
