timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/07/07 19:01:18.712,4,143771,143153,0,0,144.34,51,1980,3201,1783450878.7780845
2026/07/07 19:01:19.347,4,143771,143153,0,0,134.68,50,1980,3201,1783450879.4096494
2026/07/07 19:01:19.986,4,143771,143153,0,0,134.08,50,1980,3201,1783450880.0529997
2026/07/07 19:01:20.623,4,143771,143153,0,0,101.25,48,375,3201,1783450880.696211
2026/07/07 19:01:21.284,4,143771,143153,0,0,82.35,47,345,3201,1783450881.3545828
2026/07/07 19:01:21.981,4,143771,143153,0,0,81.95,47,345,3201,1783450882.0461848
2026/07/07 19:01:22.625,4,143771,143153,0,0,81.93,47,345,3201,1783450882.69457
2026/07/07 19:01:23.266,4,143771,143153,0,0,81.85,46,345,3201,1783450883.342515
2026/07/07 19:01:23.913,4,143771,143153,0,0,81.82,46,345,3201,1783450883.9835424
2026/07/07 19:01:24.553,4,143771,143153,0,0,81.69,46,345,3201,1783450884.618901
2026/07/07 19:01:25.187,4,143771,143153,0,0,81.57,46,345,3201,1783450885.3002424
2026/07/07 19:01:25.872,4,143771,143153,0,0,81.33,45,345,3201,1783450885.9921093
2026/07/07 19:01:26.562,4,143771,143153,0,0,81.30,45,345,3201,1783450886.6290243
2026/07/07 19:01:27.202,4,143771,143153,0,0,81.22,45,345,3201,1783450887.2659452
2026/07/07 19:01:27.844,4,143771,143153,0,0,81.06,45,345,3201,1783450887.911534
2026/07/07 19:01:28.487,4,143771,143153,0,0,81.01,45,345,3201,1783450888.6004255
2026/07/07 19:01:29.180,4,143771,143153,0,0,80.85,44,345,3201,1783450889.2449872
2026/07/07 19:01:29.905,4,143771,143153,0,0,80.80,44,345,3201,1783450890.1722212
2026/07/07 19:01:30.743,4,143771,143153,0,0,80.78,44,345,3201,1783450890.8095667
2026/07/07 19:01:31.388,4,143771,143153,0,0,80.69,44,345,3201,1783450891.4578285
2026/07/07 19:01:32.027,4,143771,143153,0,0,80.60,44,345,3201,1783450892.1005614
2026/07/07 19:01:32.678,4,143771,143153,0,0,80.49,43,345,3201,1783450892.7497602
2026/07/07 19:01:33.350,4,143771,143153,0,0,80.35,43,345,3201,1783450893.4145114
2026/07/07 19:01:33.984,4,143771,143153,0,0,80.34,43,345,3201,1783450894.0514095
2026/07/07 19:01:34.621,692,143771,142465,0,0,104.51,44,1980,3201,1783450894.6853745
2026/07/07 19:01:35.254,18136,143771,125021,6,0,125.87,44,1980,3201,1783450895.320175
2026/07/07 19:01:35.893,59104,143771,84053,11,0,126.10,44,1980,3201,1783450895.958741
2026/07/07 19:01:36.525,59104,143771,84053,12,0,126.44,44,1980,3201,1783450896.63167
