timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/07/07 19:16:09.259,4,143771,143153,0,0,141.05,47,1980,3201,1783451769.322354
2026/07/07 19:16:09.900,4,143771,143153,0,0,131.91,47,1980,3201,1783451769.9628646
2026/07/07 19:16:10.528,4,143771,143153,0,0,131.56,47,1980,3201,1783451770.636201
2026/07/07 19:16:11.216,4,143771,143153,0,0,100.59,45,345,3201,1783451771.2836504
2026/07/07 19:16:11.859,4,143771,143153,0,0,81.19,45,345,3201,1783451771.9234614
2026/07/07 19:16:12.503,4,143771,143153,0,0,80.97,44,345,3201,1783451772.5796862
2026/07/07 19:16:13.155,4,143771,143153,0,0,80.89,44,345,3201,1783451773.2183442
2026/07/07 19:16:13.788,4,143771,143153,0,0,80.74,44,345,3201,1783451773.8936567
2026/07/07 19:16:14.469,4,143771,143153,0,0,80.69,44,345,3201,1783451774.5328832
2026/07/07 19:16:15.148,4,143771,143153,0,0,80.51,43,345,3201,1783451775.218306
2026/07/07 19:16:15.786,4,143771,143153,0,0,80.50,43,345,3201,1783451775.8511662
2026/07/07 19:16:16.418,4,143771,143153,0,0,80.32,43,345,3201,1783451776.484893
2026/07/07 19:16:17.065,4,143771,143153,0,0,80.24,43,345,3201,1783451777.1290624
2026/07/07 19:16:17.702,4,143771,143153,0,0,80.11,43,345,3201,1783451777.7672522
2026/07/07 19:16:18.343,4,143771,143153,0,0,80.07,42,345,3201,1783451778.4740093
2026/07/07 19:16:19.044,4,143771,143153,0,0,80.06,42,345,3201,1783451779.1087716
2026/07/07 19:16:19.683,4,143771,143153,0,0,79.97,42,345,3201,1783451779.7554355
2026/07/07 19:16:20.489,4,143771,143153,0,0,79.90,42,345,3201,1783451780.736952
2026/07/07 19:16:21.317,4,143771,143153,0,0,79.86,42,345,3201,1783451781.381784
2026/07/07 19:16:21.966,4,143771,143153,0,0,79.83,42,345,3201,1783451782.03157
2026/07/07 19:16:22.612,4,143771,143153,0,0,79.75,41,345,3201,1783451782.6872196
2026/07/07 19:16:23.257,4,143771,143153,0,0,79.68,41,345,3201,1783451783.3221848
2026/07/07 19:16:23.899,4,143771,143153,0,0,79.64,41,345,3201,1783451783.9780447
2026/07/07 19:16:24.550,4,143771,143153,0,0,79.61,41,345,3201,1783451784.6206324
2026/07/07 19:16:25.252,692,143771,142465,0,0,98.07,42,1980,3201,1783451785.320408
2026/07/07 19:16:25.888,1326,143771,141831,6,0,124.24,42,1980,3201,1783451785.9518654
2026/07/07 19:16:26.519,30648,143771,112509,9,0,124.71,42,1980,3201,1783451786.583109
2026/07/07 19:16:27.153,30648,143771,112509,9,0,125.08,42,1980,3201,1783451787.2169917
2026/07/07 19:16:27.783,30648,143771,112509,9,0,124.99,42,1980,3201,1783451787.8498962
2026/07/07 19:16:28.469,30648,143771,112509,9,0,124.95,42,1980,3201,1783451788.5344243
2026/07/07 19:16:29.106,30648,143771,112509,9,0,124.83,42,1980,3201,1783451789.1693547
2026/07/07 19:16:29.737,30648,143771,112509,9,0,124.89,42,1980,3201,1783451789.801245
2026/07/07 19:16:30.368,30648,143771,112509,9,0,124.87,42,1980,3201,1783451790.441515
2026/07/07 19:16:31.016,30648,143771,112509,9,0,124.83,42,1980,3201,1783451791.0940347
2026/07/07 19:16:31.678,30648,143771,112509,9,0,124.68,42,1980,3201,1783451791.7412946
2026/07/07 19:16:32.312,30648,143771,112509,9,0,124.70,42,1980,3201,1783451792.3807204
2026/07/07 19:16:32.947,30648,143771,112509,9,0,124.68,42,1980,3201,1783451793.01118
2026/07/07 19:16:33.588,30648,143771,112509,9,0,124.69,42,1980,3201,1783451793.6626809
2026/07/07 19:16:34.227,129130,143771,14027,0,0,133.16,42,1980,3201,1783451794.2907653
2026/07/07 19:16:34.890,129346,143771,13811,9,0,133.27,42,1980,3201,1783451794.9582686
2026/07/07 19:16:35.525,129286,143771,13871,8,0,126.77,42,1980,3201,1783451795.589309
2026/07/07 19:16:36.159,129250,143771,13907,0,0,129.65,42,1980,3201,1783451796.2247055
2026/07/07 19:16:36.796,129328,143771,13829,0,0,130.63,41,1980,3201,1783451796.867789
2026/07/07 19:16:37.437,129304,143771,13853,8,1,138.98,42,1980,3201,1783451797.5031657
2026/07/07 19:16:38.100,129302,143771,13855,0,0,137.28,41,1980,3201,1783451798.1635416
2026/07/07 19:16:38.729,129300,143771,13857,6,1,130.65,41,1980,3201,1783451798.791902
2026/07/07 19:16:39.367,129290,143771,13867,3,0,131.21,41,1980,3201,1783451799.439138
2026/07/07 19:16:40.007,129318,143771,13839,4,1,129.35,41,1980,3201,1783451800.0779512
2026/07/07 19:16:40.762,129306,143771,13851,0,0,128.65,41,1980,3201,1783451800.8408322
2026/07/07 19:16:41.411,129306,143771,13851,0,0,124.32,41,1980,3201,1783451801.4740372
2026/07/07 19:16:42.042,129306,143771,13851,0,0,123.56,41,1980,3201,1783451802.1105735
2026/07/07 19:16:42.677,129308,143771,13849,0,0,123.52,41,1980,3201,1783451802.742915
2026/07/07 19:16:43.308,129340,143771,13817,0,0,129.63,41,1980,3201,1783451803.3815498
2026/07/07 19:16:43.949,129340,143771,13817,0,0,125.02,41,1980,3201,1783451804.0142126
2026/07/07 19:16:44.601,129340,143771,13817,0,0,123.44,41,1980,3201,1783451804.664381
2026/07/07 19:16:45.233,129340,143771,13817,0,0,125.03,41,1980,3201,1783451805.297394
2026/07/07 19:16:45.863,129340,143771,13817,0,0,125.01,41,1980,3201,1783451805.932884
2026/07/07 19:16:46.505,129360,143771,13797,0,0,124.66,41,1980,3201,1783451806.5815847
2026/07/07 19:16:47.154,129522,143771,13635,0,0,127.53,41,1980,3201,1783451807.220566
2026/07/07 19:16:47.822,129542,143771,13615,1,0,176.98,41,1980,3201,1783451807.892944
2026/07/07 19:16:48.461,129542,143771,13615,100,45,279.39,46,1980,3201,1783451808.5269382
2026/07/07 19:16:49.103,129542,143771,13615,100,46,423.22,47,1980,3201,1783451809.1722596
2026/07/07 19:16:49.739,129542,143771,13615,18,7,377.98,45,1980,3201,1783451809.8104482
2026/07/07 19:16:50.379,129542,143771,13615,100,45,374.16,47,1980,3201,1783451810.4456754
2026/07/07 19:16:51.049,129542,143771,13615,100,46,426.71,48,1980,3201,1783451811.1138937
2026/07/07 19:16:51.685,129542,143771,13615,100,43,381.04,47,1980,3201,1783451811.7535877
2026/07/07 19:16:52.324,129542,143771,13615,100,46,392.56,48,1980,3201,1783451812.3884847
2026/07/07 19:16:52.958,129542,143771,13615,100,46,430.20,49,1980,3201,1783451813.0295494
2026/07/07 19:16:53.600,129606,143771,13551,55,19,400.27,50,1980,3201,1783451813.6671965
2026/07/07 19:16:54.262,129606,143771,13551,100,49,480.44,52,1980,3201,1783451814.3257089
2026/07/07 19:16:54.899,129606,143771,13551,100,50,554.60,53,1980,3201,1783451814.9687634
2026/07/07 19:16:55.540,129606,143771,13551,100,52,567.45,54,1980,3201,1783451815.6045678
2026/07/07 19:16:56.184,129606,143771,13551,100,53,557.21,50,1980,3201,1783451816.2521977
2026/07/07 19:16:56.820,129606,143771,13551,100,48,406.29,53,1980,3201,1783451816.8869839
2026/07/07 19:16:57.478,129606,143771,13551,100,50,539.55,54,1980,3201,1783451817.5440829
2026/07/07 19:16:58.111,129606,143771,13551,100,52,567.00,54,1980,3201,1783451818.1767647
2026/07/07 19:16:58.800,129606,143771,13551,100,52,574.36,55,1980,3201,1783451818.8730664
2026/07/07 19:16:59.442,129606,143771,13551,100,46,431.62,53,1980,3201,1783451819.5090358
