==PROF== Connected to process 2281349 (/home/t-jialianggu/.conda/envs/sglang-dev/bin/python3.11)
input shape: torch.Size([1, 201])
Warmup done
Profiled section done
==PROF== Disconnected from process 2281349
==WARNING== No kernels were profiled.
Available Kernels:
1. CatArrayBatchedCopy
2. CatArrayBatchedCopy_alignedK_contig
3. Kernel2
4. elementwise_kernel
5. elementwise_kernel_with_index
6. flash_fwd_splitkv_combine_kernel
7. flash_fwd_splitkv_kernel
8. indexSelectSmallIndex
9. nvjet_tst_192x208_64x4_2x1_v_bz_coopB_TNT
10. nvjet_tst_32x64_64x16_2x1_v_bz_TNN
11. nvjet_tst_384x8_64x4_2x1_v_bz_TNT
12. nvjet_tst_64x104_64x10_4x2_v_bz_TNT
13. nvjet_tst_64x40_64x16_4x2_h_bz_TNT
14. nvjet_tst_64x72_64x12_4x1_v_bz_TNT
15. nvjet_tst_64x8_64x16_4x1_v_bz_TNT
16. nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT
17. nvjet_tst_8x64_64x16_2x1_v_bz_TNN
18. reduce_kernel
19. splitKreduce_kernel
20. unrolled_elementwise_kernel
21. vectorized_elementwise_kernel
22. vectorized_gather_kernel
