completed_index,optuna_trial_number,request_throughput,output_token_throughput,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,e2e_p50,e2e_p95,e2e_p99,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,moe_runner_backend,attention_backend,disable_cuda_graph,server_startup_s,benchmark_wall_s,config_hash,result_path
0,0,19.532091606872264,5000.2154513593,161.62,189.458,189.628,5.742,5.998,6.088,1626.127,1628.234,1629.084,32,2048,fcfs,0.9,triton,fa3,False,25.0,1.6383294039405882,9fc480df4997e8b4,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0000/bench_serving.jsonl
1,1,7.184360431109131,1839.1962703639376,1740.689,3370.731,3370.928,4.163,4.207,4.223,2785.062,4443.35,4443.704,8,-1,lpm,0.9,triton,fa3,False,25.0,4.45411951513961,9912763eec32d379,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0001/bench_serving.jsonl
2,2,19.487756787095726,4988.865737496506,163.498,191.069,191.271,5.748,6.001,6.086,1629.155,1631.49,1632.015,48,2048,fcfs,0.8,triton,fa3,False,25.0,1.642056617885828,7ff41625d40990bd,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0002/bench_serving.jsonl
3,3,7.155235835299901,1831.7403738367746,1754.362,3383.092,3383.26,4.156,4.202,4.216,2796.98,4453.951,4454.198,8,-1,lpm,0.8,triton,fa3,False,25.0,4.472249515820295,dfac4521803a2471,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0003/bench_serving.jsonl
4,4,12.267289677212919,3140.426157366507,738.86,1379.889,1379.901,4.765,4.769,4.779,1951.647,2595.593,2595.692,16,-1,lpm,0.9,triton,fa3,False,25.0,2.6085631661117077,c4081e4e659e18c2,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0004/bench_serving.jsonl
5,5,19.505922721345364,4993.516216664413,179.255,185.778,185.928,5.676,5.683,5.835,1626.092,1628.145,1628.444,64,8192,lpm,0.8,triton,fa3,False,28.0,1.6405273647978902,d0a03dbe38b1cad3,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0005/bench_serving.jsonl
6,6,19.667349232771336,5034.841403589462,166.904,172.16,172.385,5.679,5.685,5.815,1614.791,1617.851,1618.415,96,8192,lpm,0.85,triton,fa3,False,28.0,1.627062174025923,0b85d655b709c93e,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0006/bench_serving.jsonl
7,7,19.885771714395062,5090.757558885136,158.255,160.408,160.597,5.64,5.646,5.695,1596.662,1599.395,1599.807,64,8192,lpm,0.85,triton,fa3,False,28.0,1.60919075505808,382ec93d7917c63a,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0007/bench_serving.jsonl
8,8,12.271567107873935,3141.5211796157273,129.359,1517.446,1517.611,5.267,5.272,5.316,1472.826,2594.629,2594.889,24,8192,lpm,0.75,triton,fa3,False,28.0,2.6076539140194654,267be6df383254c9,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0008/bench_serving.jsonl
9,9,11.971364318224985,3064.6692654655963,184.376,1579.475,1579.63,5.299,5.597,5.7,1536.991,2658.491,2658.667,24,2048,fcfs,0.9,triton,fa3,False,28.0,2.673045373056084,ddde233abdef37e9,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0009/bench_serving.jsonl
10,10,7.117311949039937,1822.031858954224,1762.93,3410.179,3410.377,4.174,4.224,4.244,2813.082,4483.075,4483.499,8,8192,lpm,0.9,triton,fa3,False,28.0,4.496079450938851,0589bc0c84117a8a,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0010/bench_serving.jsonl
11,11,19.708464979766937,5045.367034820336,167.798,169.441,169.468,5.663,5.668,5.784,1611.768,1614.376,1614.52,128,-1,fcfs,0.75,triton,fa3,False,28.0,1.6236678012646735,75fef469e5938ea0,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0011/bench_serving.jsonl
