model,regime,configuration,repeat,req_per_s,output_tok_per_s,num_ok,num_total,completion_rate,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p95,tpot_p99,e2e_mean,e2e_p50,e2e_p95,e2e_p99
qwen,C64_O512,baseline,1,7.406,3791.75,64,64,1.0,2212.695,2211.693,4336.693,4342.695,8.272,8.276,8.33,8.337,6442.524,6441.196,8592.381,8603.733
qwen,C128_O256,baseline,1,14.841,3799.264,128,128,1.0,3246.432,3250.547,6425.497,6433.92,8.145,8.14,8.195,8.205,5323.841,5336.15,8500.158,8510.191
qwen,C128_O256,baseline,2,14.847,3800.706,128,128,1.0,3202.854,3211.651,6337.352,6347.276,8.124,8.15,8.178,8.187,5276.926,5291.008,8417.776,8431.481
qwen,C64_O512,baseline,2,7.412,3794.716,64,64,1.0,2206.448,2206.204,4330.762,4335.631,8.269,8.276,8.327,8.329,6435.326,6435.238,8585.203,8591.714
qwen,C128_O256,baseline,3,14.856,3803.097,128,128,1.0,3327.163,3248.317,6417.603,6424.202,8.041,8.139,8.188,8.202,5322.445,5331.117,8493.782,8502.921
qwen,C64_O512,baseline,3,7.409,3793.58,64,64,1.0,2205.453,2204.802,4332.7,4336.018,8.274,8.278,8.327,8.332,6436.447,6437.138,8586.023,8592.302
qwen,C64_O512,baseline,4,7.402,3789.787,64,64,1.0,2214.205,2215.097,4342.222,4343.355,8.271,8.279,8.326,8.329,6444.175,6445.449,8593.807,8600.467
qwen,C128_O256,baseline,4,14.544,3723.345,128,128,1.0,3335.578,3341.778,6601.107,6609.058,8.311,8.162,8.824,8.832,5455.144,5508.963,8677.745,8685.041
qwen,C128_O256,baseline,5,14.803,3789.469,128,128,1.0,3262.218,3272.487,6448.62,6458.061,8.168,8.173,8.213,8.23,5345.695,5359.759,8523.378,8531.478
qwen,C64_O512,baseline,5,7.406,3791.733,64,64,1.0,2186.619,2170.207,4338.334,4343.414,8.254,8.258,8.328,8.329,6408.119,6392.986,8589.58,8598.071
qwen,C64_O512,cap_only,1,11.71,5995.646,64,64,1.0,109.24,106.518,147.293,149.035,10.363,10.359,10.387,10.475,5410.157,5414.022,5451.084,5456.174
qwen,C128_O256,cap_only,1,36.782,9416.245,128,128,1.0,135.375,135.269,165.699,173.635,12.691,12.708,12.957,13.109,3376.744,3375.725,3455.783,3467.307
