model,regime,configuration,repeat_count,request_throughput_mean,request_throughput_ci95,output_throughput_mean,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
qwen,C64_O512,baseline,5,7.407,0.003,3792.3,2205.1,2201.6,4336.1,4340.2,8.27,8.27,8.33,8.33,6433.3,6430.4,8589.4,8597.3
qwen,C128_O256,baseline,5,14.778,0.116,3783.2,3274.8,3265.0,6446.0,6454.5,8.16,8.15,8.32,8.33,5344.8,5365.4,8522.6,8532.2
qwen,C64_O512,cap_only,5,11.595,0.186,5936.4,175.3,173.6,210.8,213.9,10.35,10.35,10.37,10.45,5438.7,5438.9,5488.7,5496.3
qwen,C128_O256,cap_only,5,36.513,0.444,9347.2,134.6,133.4,169.7,182.7,12.78,12.8,13.03,13.17,3396.9,3401.0,3478.0,3490.3
qwen,C64_O512,full_high_concurrency,5,11.678,0.049,5979.3,118.2,116.6,159.8,165.5,10.36,10.36,10.39,10.51,5419.0,5417.2,5467.6,5475.0
qwen,C128_O256,full_high_concurrency,5,36.01,1.287,9218.6,210.9,210.0,244.5,251.5,12.72,12.74,13.0,13.11,3458.4,3460.5,3534.5,3547.3
lfm25,C128_O256,baseline,5,23.851,0.043,6105.8,2062.4,2028.2,4112.4,4130.6,4.85,4.82,5.06,5.07,3297.4,3287.3,5317.7,5336.4
lfm25,C64_O512,baseline,5,12.35,0.032,6323.3,1390.8,1385.8,2654.0,2662.0,4.82,4.83,4.89,4.92,3840.6,3835.7,5149.5,5159.2
lfm25,C64_O512,cap_only,5,17.351,0.053,8883.8,161.0,164.7,192.2,195.2,6.73,6.71,6.88,7.0,3608.7,3607.9,3665.0,3677.4
lfm25,C128_O256,cap_only,5,53.109,1.33,13595.9,310.6,325.8,366.8,372.9,7.82,7.73,8.49,8.97,2298.8,2300.6,2366.7,2379.9
lfm25,C128_O256,full_high_concurrency,5,52.069,1.499,13329.6,229.5,217.2,331.9,338.5,8.3,8.37,8.97,9.23,2351.4,2358.1,2432.9,2444.7
lfm25,C64_O512,full_high_concurrency,5,17.235,0.431,8824.6,195.0,203.8,233.4,235.9,6.74,6.73,6.9,6.96,3633.3,3649.9,3691.9,3703.8
