model,workload,config_id,hash,cls
lfm25,R_short_decode,0,cap8_chunk-1_pollpm_mem0.75,FLAT
lfm25,R_short_decode,1,cap8_chunk-1_pollpm_mem0.8,WIN
lfm25,R_short_decode,2,cap8_chunk-1_pollpm_mem0.85,WIN
lfm25,R_short_decode,3,cap8_chunk-1_pollpm_mem0.9,WIN
lfm25,R_short_decode,4,cap8_chunk-1_polfcfs_mem0.75,TRADE-OFF
lfm25,R_short_decode,5,cap8_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_short_decode,6,cap8_chunk-1_polfcfs_mem0.85,WIN
lfm25,R_short_decode,7,cap8_chunk-1_polfcfs_mem0.9,WIN
lfm25,R_short_decode,8,cap8_chunk2048_pollpm_mem0.75,WIN
lfm25,R_short_decode,9,cap8_chunk2048_pollpm_mem0.8,WIN
lfm25,R_short_decode,10,cap8_chunk2048_pollpm_mem0.85,FLAT
lfm25,R_short_decode,11,cap8_chunk2048_pollpm_mem0.9,FLAT
lfm25,R_short_decode,12,cap8_chunk2048_polfcfs_mem0.75,FLAT
lfm25,R_short_decode,13,cap8_chunk2048_polfcfs_mem0.8,WIN
lfm25,R_short_decode,14,cap8_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_short_decode,15,cap8_chunk2048_polfcfs_mem0.9,FLAT
lfm25,R_short_decode,16,cap8_chunk8192_pollpm_mem0.75,WIN
lfm25,R_short_decode,17,cap8_chunk8192_pollpm_mem0.8,FLAT
lfm25,R_short_decode,18,cap8_chunk8192_pollpm_mem0.85,WIN
lfm25,R_short_decode,19,cap8_chunk8192_pollpm_mem0.9,WIN
lfm25,R_short_decode,20,cap8_chunk8192_polfcfs_mem0.75,WIN
lfm25,R_short_decode,21,cap8_chunk8192_polfcfs_mem0.8,WIN
lfm25,R_short_decode,22,cap8_chunk8192_polfcfs_mem0.85,WIN
lfm25,R_short_decode,23,cap8_chunk8192_polfcfs_mem0.9,FLAT
lfm25,R_short_decode,24,cap16_chunk-1_pollpm_mem0.75,FLAT
lfm25,R_short_decode,25,cap16_chunk-1_pollpm_mem0.8,WIN
lfm25,R_short_decode,26,cap16_chunk-1_pollpm_mem0.85,WIN
lfm25,R_short_decode,27,cap16_chunk-1_pollpm_mem0.9,WIN
lfm25,R_short_decode,28,cap16_chunk-1_polfcfs_mem0.75,REGRESSION
lfm25,R_short_decode,29,cap16_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_short_decode,30,cap16_chunk-1_polfcfs_mem0.85,WIN
lfm25,R_short_decode,31,cap16_chunk-1_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,32,cap16_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_short_decode,33,cap16_chunk2048_pollpm_mem0.8,REGRESSION
lfm25,R_short_decode,34,cap16_chunk2048_pollpm_mem0.85,REGRESSION
lfm25,R_short_decode,35,cap16_chunk2048_pollpm_mem0.9,REGRESSION
lfm25,R_short_decode,36,cap16_chunk2048_polfcfs_mem0.75,WIN
lfm25,R_short_decode,37,cap16_chunk2048_polfcfs_mem0.8,WIN
lfm25,R_short_decode,38,cap16_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_short_decode,39,cap16_chunk2048_polfcfs_mem0.9,WIN
lfm25,R_short_decode,40,cap16_chunk8192_pollpm_mem0.75,WIN
lfm25,R_short_decode,41,cap16_chunk8192_pollpm_mem0.8,FLAT
lfm25,R_short_decode,42,cap16_chunk8192_pollpm_mem0.85,WIN
lfm25,R_short_decode,43,cap16_chunk8192_pollpm_mem0.9,REGRESSION
lfm25,R_short_decode,44,cap16_chunk8192_polfcfs_mem0.75,FLAT
lfm25,R_short_decode,45,cap16_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_short_decode,46,cap16_chunk8192_polfcfs_mem0.85,REGRESSION
lfm25,R_short_decode,47,cap16_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,48,cap24_chunk-1_pollpm_mem0.75,WIN
lfm25,R_short_decode,49,cap24_chunk-1_pollpm_mem0.8,FLAT
lfm25,R_short_decode,50,cap24_chunk-1_pollpm_mem0.85,REGRESSION
lfm25,R_short_decode,51,cap24_chunk-1_pollpm_mem0.9,FLAT
lfm25,R_short_decode,52,cap24_chunk-1_polfcfs_mem0.75,FLAT
lfm25,R_short_decode,53,cap24_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_short_decode,54,cap24_chunk-1_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,55,cap24_chunk-1_polfcfs_mem0.9,FLAT
lfm25,R_short_decode,56,cap24_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_short_decode,57,cap24_chunk2048_pollpm_mem0.8,FLAT
lfm25,R_short_decode,58,cap24_chunk2048_pollpm_mem0.85,WIN
lfm25,R_short_decode,59,cap24_chunk2048_pollpm_mem0.9,FLAT
lfm25,R_short_decode,60,cap24_chunk2048_polfcfs_mem0.75,WIN
lfm25,R_short_decode,61,cap24_chunk2048_polfcfs_mem0.8,WIN
lfm25,R_short_decode,62,cap24_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_short_decode,63,cap24_chunk2048_polfcfs_mem0.9,FLAT
lfm25,R_short_decode,64,cap24_chunk8192_pollpm_mem0.75,WIN
lfm25,R_short_decode,65,cap24_chunk8192_pollpm_mem0.8,WIN
lfm25,R_short_decode,66,cap24_chunk8192_pollpm_mem0.85,WIN
lfm25,R_short_decode,67,cap24_chunk8192_pollpm_mem0.9,FLAT
lfm25,R_short_decode,68,cap24_chunk8192_polfcfs_mem0.75,FLAT
lfm25,R_short_decode,69,cap24_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_short_decode,70,cap24_chunk8192_polfcfs_mem0.85,WIN
lfm25,R_short_decode,71,cap24_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,72,cap32_chunk-1_pollpm_mem0.75,WIN
lfm25,R_short_decode,73,cap32_chunk-1_pollpm_mem0.8,REGRESSION
lfm25,R_short_decode,74,cap32_chunk-1_pollpm_mem0.85,FLAT
lfm25,R_short_decode,75,cap32_chunk-1_pollpm_mem0.9,FLAT
lfm25,R_short_decode,76,cap32_chunk-1_polfcfs_mem0.75,REGRESSION
lfm25,R_short_decode,77,cap32_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_short_decode,78,cap32_chunk-1_polfcfs_mem0.85,WIN
lfm25,R_short_decode,79,cap32_chunk-1_polfcfs_mem0.9,WIN
lfm25,R_short_decode,80,cap32_chunk2048_pollpm_mem0.75,WIN
lfm25,R_short_decode,81,cap32_chunk2048_pollpm_mem0.8,WIN
lfm25,R_short_decode,82,cap32_chunk2048_pollpm_mem0.85,WIN
lfm25,R_short_decode,83,cap32_chunk2048_pollpm_mem0.9,REGRESSION
lfm25,R_short_decode,84,cap32_chunk2048_polfcfs_mem0.75,WIN
lfm25,R_short_decode,85,cap32_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_short_decode,86,cap32_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_short_decode,87,cap32_chunk2048_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,88,cap32_chunk8192_pollpm_mem0.75,FLAT
lfm25,R_short_decode,89,cap32_chunk8192_pollpm_mem0.8,FLAT
lfm25,R_short_decode,90,cap32_chunk8192_pollpm_mem0.85,REGRESSION
lfm25,R_short_decode,91,cap32_chunk8192_pollpm_mem0.9,REGRESSION
lfm25,R_short_decode,92,cap32_chunk8192_polfcfs_mem0.75,WIN
lfm25,R_short_decode,93,cap32_chunk8192_polfcfs_mem0.8,WIN
lfm25,R_short_decode,94,cap32_chunk8192_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,95,cap32_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,96,cap48_chunk-1_pollpm_mem0.75,REGRESSION
lfm25,R_short_decode,97,cap48_chunk-1_pollpm_mem0.8,REGRESSION
lfm25,R_short_decode,98,cap48_chunk-1_pollpm_mem0.85,WIN
lfm25,R_short_decode,99,cap48_chunk-1_pollpm_mem0.9,WIN
lfm25,R_short_decode,100,cap48_chunk-1_polfcfs_mem0.75,FLAT
lfm25,R_short_decode,101,cap48_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_short_decode,102,cap48_chunk-1_polfcfs_mem0.85,WIN
lfm25,R_short_decode,103,cap48_chunk-1_polfcfs_mem0.9,WIN
lfm25,R_short_decode,104,cap48_chunk2048_pollpm_mem0.75,FLAT
