model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95,d_request_throughput,d_output_throughput,d_total_throughput,d_input_throughput,d_ttft_p50_ms,d_ttft_p95_ms,d_ttft_p99_ms,d_ttft_mean_ms,d_tpot_p50_ms,d_tpot_p95_ms,d_tpot_mean_ms,d_e2e_p50_ms,d_e2e_p95_ms,d_e2e_p99_ms,d_e2e_mean_ms,pareto_ttft_outthr,pareto_e2e_reqthr,pareto_full
qwen,39,cap16_chunk2048_polfcfs_mem0.9,16,2048,fcfs,0.9,0,R_short_decode,0.8860859839034007,226.83801187927057,315.44661026961063,88.60859839034006,48.1707330327481,49.69991305842996,49.773768950253725,48.02830249536783,4.228549845078412,4.234392942276363,4.229634837475697,1126.568748615682,1128.5165827022863,1129.0069155255333,1126.5851860516705,1,,0.005968848959568174,0.005968848959568174,0.005968848959568174,0.005968848959568174,0.060290063771839764,0.04766718907652123,0.047877711501089215,0.05789544087499787,0.0037504516640586294,0.0039557290990535066,0.003705201554044635,0.006377278581949253,0.005889445033137042,0.005762722759633965,0.006142335259352261,True,True,True
qwen,41,cap16_chunk8192_pollpm_mem0.8,16,8192,lpm,0.8,0,R_short_decode,0.8832897858924212,226.12218518845984,314.45116377770194,88.32897858924213,52.15869215317071,54.01400595437735,54.29391251411289,52.110422344412655,4.224755041593429,4.232571478567872,4.226721734876799,1129.8778192140162,1132.6152843190357,1133.2726089796051,1129.9244647379965,1,,0.0027943397746055254,0.0027943397746055254,0.0027943397746055254,0.0027943397746055254,-0.01750665167745913,-0.03499799002253412,-0.03858810222233133,-0.022177839271655397,0.004644510241217814,0.004384186853501282,0.004391385841375106,0.003458710374441565,0.002278897699296789,0.00200622544593565,0.0031964703942714,False,False,True
qwen,46,cap16_chunk8192_polfcfs_mem0.85,16,8192,fcfs,0.85,0,R_short_decode,0.8832990428841009,226.12455497832983,314.45445926673995,88.32990428841009,51.763861905783415,53.47278476692736,53.8469831366092,51.49156181141734,4.229654734223789,4.234226037857725,4.22996968423546,1130.6388769298792,1131.8453366868198,1131.966817062348,1130.1338312914595,1,,0.0028048491895313887,0.0028048491895313887,0.0028048491895313887,0.0028048491895313887,-0.009804341929732452,-0.02462729391749985,-0.030038791396954423,-0.010038511015079132,0.003490138944007626,0.003994989553205874,0.0036263280583771484,0.0027874648426253756,0.0029571447713289123,0.003156144886289125,0.00301177015457732,False,False,True
qwen,53,cap24_chunk-1_polfcfs_mem0.8,24,-1,fcfs,0.8,0,R_short_decode,0.8844797284683642,226.42681048790124,314.8747833347377,88.44797284683642,50.532771507278085,67.05956566147505,71.80784611962736,53.435713052749634,4.226939735349779,4.232858921145546,4.2203834098873765,1128.9982590824366,1133.739833626896,1134.3310719169676,1129.112137889024,1,,0.004145275445855079,0.004145275445855079,0.004145275445855079,0.004145275445855079,0.014211648839684732,-0.28497256304290164,-0.3736120896918478,-0.04817422793458381,0.004129794736433379,0.004316572549253106,0.005884384755104111,0.004234473888798718,0.001288281917783296,0.0010741113070127373,0.003913093757618835,False,False,True
qwen,67,cap24_chunk8192_pollpm_mem0.9,24,8192,lpm,0.9,0,R_short_decode,0.8841925075477226,226.353281932217,314.7725326869892,88.41925075477226,52.67848400399089,54.36535906046629,54.43622391670942,52.4423758033663,4.223799782202525,4.227819868235612,4.223626080955214,1129.956851247698,1131.2852181494236,1131.3252813369036,1129.467026446946,1,,0.003819195015531518,0.003819195015531518,0.003819195015531296,0.003819195015531518,-0.027646700130823376,-0.04173049860368572,-0.041310376648749036,-0.028689309609956526,0.00486957007771005,0.0055018947076186375,0.005120570278891234,0.0033890048864430034,0.0034505533384630027,0.0037211004451497276,0.0036000160447337004,False,False,True
qwen,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85,0,R_short_decode,0.8873544979656415,227.16275147920425,315.8982012757684,88.73544979656414,46.43349326215685,50.434043956920505,50.488461246714,46.80808313423768,4.22929248169941,4.236156451059323,4.230197301755349,1126.2383316643536,1129.263466433622,1129.3378163548186,1125.5083950818516,1,,0.007408986434105369,0.007408986434105591,0.007408986434105369,0.007408986434105369,0.09417996685729824,0.033600022775378324,0.03420636454003434,0.08183079073176591,0.003575485913304033,0.003540903917759519,0.003572712519491539,0.006668703131746945,0.005231514957465655,0.005471321586602018,0.007092265164278966,True,True,True
qwen,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75,0,R_short_decode,0.8849051425186729,226.53571648478027,315.0262307366476,88.4905142518673,45.65635067410767,48.9417873788625,49.01078903116286,46.39939224580303,4.241035729829295,4.246721327505713,4.241479455274256,1128.354403655976,1129.989949753508,1130.2402201574296,1127.9766533407385,1,,0.004628245823780519,0.004628245823780519,0.004628245823780741,0.004628245823780519,0.10934038825589742,0.062194135202301104,0.06247275226180715,0.08984751273238767,0.0008087677536467996,0.0010557579238341663,0.0009151897549817267,0.004802348136886625,0.004591555609613884,0.004676637792073057,0.004914802315019062,False,False,True
qwen,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85,0,R_short_decode,0.8878589723103549,227.2918969114509,316.0777941424864,88.78589723103549,45.738509856164455,50.9731158381328,51.47034160327166,46.41562094911933,4.225910301594173,4.235105970783123,4.227494056035272,1123.5554702579975,1130.0139046972618,1130.3216969920322,1124.4266052381136,1,,0.007981713556642012,0.007981713556642234,0.007981713556642234,0.007981713556642012,0.10773763498912337,0.02327051094462007,0.015423977916828036,0.0895291767806965,0.00437233010946636,0.003788005420871432,0.0042094648050485794,0.0090349608990129,0.004570453693351184,0.004604886853190826,0.008046605005730068,True,True,True
qwen,107,cap48_chunk2048_pollpm_mem0.9,48,2048,lpm,0.9,0,R_short_decode,0.8847927965765081,226.50695592358608,314.9862355812369,88.4792796576508,46.00262665189803,48.148726182989776,48.627332425676286,45.848046138416976,4.245862759211484,4.252084543307622,4.246386750966456,1129.0164396632465,1130.553595116362,1130.6934459786862,1128.6766676348634,1,,0.0045007000548846765,0.0045007000548846765,0.0045007000548846765,0.0045007000548846765,0.10258527043808263,0.07739050379578094,0.06980789260693143,0.100662504194439,-0.0003284840272226308,-0.0002058161544149506,-0.00024072874872849148,0.004218438792668477,0.004095040261005045,0.00427751357033046,0.0042972595137663605,False,False,True
qwen,139,cap64_chunk8192_pollpm_mem0.9,64,8192,lpm,0.9,0,R_short_decode,0.8847438138588852,226.49441634787465,314.96879773376315,88.47438138588852,44.151620706543326,46.73473958391696,47.05931740347296,44.68437674222514,4.250072115374839,4.256107296575519,4.25119225812309,1129.4548239093274,1130.134092993103,1130.204797605984,1128.738402563613,1,,0.004445090228117232,0.004445090228117454,0.004445090228117232,0.004445090228117232,0.13869451290455492,0.10448483353676108,0.09980244762712731,0.12348859186581362,-0.0013202115295976036,-0.0011520770235307065,-0.0013726708591037529,0.003831788134949665,0.004464579791885637,0.004707831950955477,0.004242797824690836,True,False,True
