model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95,d_request_throughput,d_output_throughput,d_total_throughput,d_input_throughput,d_ttft_p50_ms,d_ttft_p95_ms,d_ttft_p99_ms,d_ttft_mean_ms,d_tpot_p50_ms,d_tpot_p95_ms,d_tpot_mean_ms,d_e2e_p50_ms,d_e2e_p95_ms,d_e2e_p99_ms,d_e2e_mean_ms,pareto_ttft_outthr,pareto_e2e_reqthr,pareto_full
qwen,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_short_decode,0.883149822673012,226.08635460429107,314.40133687159226,88.31498226730119,45.305918203666806,53.330171667039394,53.56158498674631,46.85630107996985,4.247133752477228,4.253885916105526,4.2484318499690765,1128.6423450801522,1137.0369860669598,1137.226273375563,1130.2064228220845,1,,0.047393120350937235,0.047393120350937235,0.04739312035093701,0.04739312035093701,0.007895039612781263,0.8386567457855989,0.8807626808270435,0.5316445808966579,0.0007651549834719606,0.0013239685737967966,0.0009500211378646872,0.0010853162393533733,0.19552655944860053,0.25791455128761953,0.045775987193265255,False,False,False
qwen,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_short_decode,0.8807083812334024,225.46134559575103,313.5321837190913,88.07083812334024,48.399918945506215,53.01797329448164,53.06409548036754,48.91979368403554,4.2545217618930575,4.2621973327671485,4.255367019076777,1133.8629825040698,1137.3407838866117,1137.7677566930652,1134.0383835486136,1,,0.044497633195828,0.044497633195828,0.04449763319582778,0.04449763319582778,-0.059857112978448646,0.8396012599286133,0.8818701782073387,0.5110187969333785,-0.0009730423217815254,-0.0006272855902449415,-0.0006808348568017042,-0.0035352541336033383,0.19531161720819656,0.25756121185109204,0.04254069418169637,False,False,False
qwen,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_short_decode,0.8784927222619496,224.8941368990591,312.74340912525406,87.84927222619496,49.252083990722895,51.775567745789886,52.63383771292865,49.17024343740195,4.2603515335084765,4.267350350798782,4.261474018487348,1135.3313301224262,1139.8616325343028,1140.9849122958258,1135.846118151676,1,,0.0418699182779676,0.0418699182779676,0.04186991827796738,0.0418699182779676,-0.07851774721672888,0.8433599906435915,0.8828280061497987,0.5085154089898433,-0.002344628731844045,-0.0018370490157790798,-0.002116940659484312,-0.004834827911988304,0.1935280729527611,0.25546188965379013,0.041014438683416365,False,False,False
qwen,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,R_short_decode,0.8806599767256825,225.44895404177475,313.51495171434294,88.06599767256824,48.575273249298334,50.51527570467442,50.55258502718061,48.49251237465069,4.254582240337543,4.263418210834703,4.256654174441435,1133.5956568364054,1136.763261212036,1136.8307060655206,1133.9393268572169,1,,0.04444022668667369,0.04444022668667391,0.04444022668667347,0.04444022668667369,-0.063697005900061,0.8471728345332306,0.887461233318702,0.5152897170043081,-0.000987271251837507,-0.0009139086185552259,-0.0009835189024132163,-0.0032986552358744703,0.1957202245434948,0.25817267471621164,0.04262432693377716,False,False,False
qwen,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,R_short_decode,0.8808773899716759,225.50461183274905,313.5923508299166,88.08773899716759,47.38262994214893,52.0194057142362,53.8282274408266,47.32911480823532,4.260331558465373,4.26697049143852,4.26100488026243,1133.2160613965243,1137.9585330141708,1138.9811431756243,1133.8853592751548,1,,0.044698073240316605,0.04469807324031683,0.04469807324031638,0.044698073240316605,-0.037580609016181654,0.8426222916994406,0.8801690887701599,0.5269185383633037,-0.0023399291484866858,-0.0017478702164674953,-0.002006619357356909,-0.0029626910037696685,0.19487454895788037,0.25676942883178244,0.042669891320668785,False,False,False
qwen,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,0,R_short_decode,0.8854508160021437,226.6754088965488,315.22049049676315,88.54508160021437,45.93805642798543,50.732784694992006,52.67202756833285,46.32394947111607,4.23850564870472,4.248464596640392,4.240571458449624,1126.5952405519783,1133.1473222235218,1134.5826366217807,1127.66967137577,1,,0.050122039636242066,0.050122039636242066,0.050122039636241844,0.050122039636242066,-0.005947466904306031,0.8465147903675784,0.8827429889498947,0.5369657384598534,0.0027951127004568477,0.0025967205740408117,0.002798449983772766,0.002897123833937809,0.19827856425852564,0.2596396295878597,0.04791774563288842,False,False,False
qwen,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,0,R_short_decode,0.8784946950491208,224.89464193257493,312.74411143748705,87.84946950491208,51.48978158831597,57.85067558754236,59.455329538322985,52.015584777109325,4.253673402811675,4.259265789524743,4.254053622557252,1136.6240428760648,1141.6819687001407,1142.8592449985445,1136.7992585292086,1,,0.041872257953137204,0.041872257953137204,0.04187225795313698,0.04187225795313698,-0.12751864984580252,0.8249805697969571,0.8676421897065115,0.4800746015651106,-0.0007734465462283513,6.094677635326562e-05,-0.0003719800107297999,-0.005978954532013914,0.19224015346004764,0.25423881289475203,0.04020971008034724,False,False,False
qwen,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,0,R_short_decode,0.881104845702645,225.56284049987715,313.67332507014163,88.1104845702645,47.11025161668658,52.03930546995253,52.74421289097518,47.7176676504314,4.25832542116005,4.263596365995267,4.258236370058548,1132.966835051775,1137.5926670152694,1137.8203547094015,1133.567942015361,1,,0.04496782992449999,0.04496782992450021,0.04496782992449999,0.04496782992449999,-0.03161609271218824,0.8425620876677455,0.8825822919810198,0.5230347313820408,-0.0018679397042651313,-0.0009557337385133202,-0.0013555838321694935,-0.0027421110685621475,0.19513340551446,0.257526889550009,0.04293788410964816,False,False,False
qwen,8,cap8_chunk2048_pollpm_mem0.75,8,2048,lpm,0.75,0,R_short_decode,0.8782276074830321,224.8262675156562,312.64902826395945,87.82276074830321,49.94222242385149,54.06501344405115,54.15811653248966,49.69667625846341,4.261044969818755,4.268457689870368,4.262844106757685,1137.1847074478865,1141.909583285451,1142.4083279073238,1136.721923481673,1,,0.041555498925313294,0.041555498925313294,0.041555498925313294,0.041555498925313294,-0.09363033713892865,0.8364335809254518,0.8794346987978683,0.5032534130820315,-0.0025077754007298836,-0.002097016727951928,-0.0024391269874888266,-0.006475175567755009,0.19207911218275597,0.25453305426061257,0.04027500342667745,False,False,False
qwen,9,cap8_chunk2048_pollpm_mem0.8,8,2048,lpm,0.8,0,R_short_decode,0.8788293844451924,224.9803224179693,312.8632608624885,87.88293844451924,49.62152848020196,54.90544869098812,55.31522904057056,50.26582407299429,4.257067582369142,4.263671446755967,4.25824334310806,1134.7780984360725,1139.7865102859214,1139.8678702348843,1136.1178765655495,1,,0.04226919102372162,0.04226919102372184,0.04226919102372162,0.04226919102372162,-0.08660780973245208,0.833890957238735,0.8768587669340296,0.49756445648361336,-0.0015720045106641933,-0.0009733602939996366,-0.001357223596019752,-0.004345185415913777,0.19358122324985605,0.25619080409978157,0.04078499528355228,False,False,False
