model,config_id,hash,stage,cause
lfm25,14,cap8_chunk2048_polfcfs_mem0.85,launch-attempt1,server exited rc=-9
lfm25,68,cap24_chunk8192_polfcfs_mem0.75,launch-attempt1,server exited rc=-9
lfm25,183,cap128_chunk2048_polfcfs_mem0.9,launch-attempt1,server exited rc=-9
qwen,78,cap32_chunk-1_polfcfs_mem0.85,launch-attempt1,server exited rc=-9
qwen,139,cap64_chunk8192_pollpm_mem0.9,launch-attempt1,server exited rc=-9
qwen,143,cap64_chunk8192_polfcfs_mem0.9,launch-attempt1,server exited rc=-9
qwen,154,cap96_chunk2048_pollpm_mem0.85,launch-attempt1,server exited rc=-9
qwen,156,cap96_chunk2048_polfcfs_mem0.75,launch-attempt1,server exited rc=-9
qwen,175,cap128_chunk-1_polfcfs_mem0.9,launch-attempt1,server exited rc=-9
qwen,182,cap128_chunk2048_polfcfs_mem0.85,launch-attempt1,server exited rc=-9
