model,config_id,hash,cap,chunk,policy,mem,startup_s,attention_backend,moe_runner_backend,disable_cuda_graph,cuda_graph_captured,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,launch_cmd
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,28.0,fa3,auto,False,True,8,-1,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,28.0,fa3,auto,False,True,8,-1,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,28.0,fa3,auto,False,True,8,-1,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,25.0,fa3,auto,False,True,8,-1,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,28.0,fa3,auto,False,True,8,-1,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,28.0,fa3,auto,False,True,8,-1,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39600 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,28.0,fa3,auto,False,True,8,-1,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,28.0,fa3,auto,False,True,8,-1,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,8,cap8_chunk2048_pollpm_mem0.75,8,2048,lpm,0.75,28.0,fa3,auto,False,True,8,2048,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39600 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,9,cap8_chunk2048_pollpm_mem0.8,8,2048,lpm,0.8,28.0,fa3,auto,False,True,8,2048,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm --max-prefill-tokens 16384
