model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,rep,completed,num_prompts,failed_reqs,dur_s,request_throughput,input_throughput,output_throughput,total_throughput,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_mean_ms,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,mean_in_len,mean_out_len,worker
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,tool_agent,0,200,200,0,38.24821778992191,5.229001808620175,13943.394772776126,1084.0505099540917,15027.445282730218,333.64005198469386,235.79495516605675,1061.8646713905032,1747.8464590711512,5.071228860070627,3.5567912950245058,10.765990075931224,37.15727655217052,3.4459345062997717,970.2075333334506,515.9562120679766,2386.326989252117,3627.715872977859,2666.55,207.315,g3
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_medium_balanced,0,16,16,0,2.3265396379865706,6.877166302589492,5501.733042071594,1760.55457346291,7262.287615534504,106.65704956045374,106.46614897996189,108.91636076848954,109.06310637947172,4.119503581850771,4.12665589292552,4.275886694371116,4.290622272985239,4.119503581850772,1157.1304629324004,1157.3268710635602,1195.2589388238266,1195.7549365470186,800.0,256.0,g3
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_long_prefill,0,4,4,0,0.312941696960479,12.781933628055818,51127.73451222327,409.02187609778616,51536.75638832106,203.55613576248288,204.09748889505863,204.53357177320868,204.5786888198927,3.232766243238603,3.204972610899037,3.307354931659516,3.321665362154524,3.2327662432386037,303.7718893028796,303.63962752744555,304.4401556951925,304.5057345321402,4000.0,32.0,g3
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_short_decode,0,8,8,0,4.77191828424111,1.6764746425812402,167.64746425812402,429.1775085007975,596.8249727589215,26.59363078419119,26.68198151513934,28.58074894174933,28.95561931654811,2.2301411295610327,2.2304307057650066,2.2332799314576324,2.233971022542377,2.2301391665076964,595.0003508478403,595.0082733761519,597.4813717417419,597.7801430784166,100.0,256.0,g3
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,shared_prefix,0,128,128,0,19.563597006723285,6.542764091695977,15368.64615932705,1674.94760747417,17043.59376680122,6650.658055965323,5326.376835349947,16903.44091579317,18263.293015859093,3.911922148773572,3.906616493694338,4.289943392151127,4.296417530680842,3.911932587246479,7648.139741766499,6262.607551412657,17914.958944311355,19231.697240304205,2348.953125,256.0,g3
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_concurrent_decode,0,32,32,0,4.083990927785635,7.835472841598744,1567.0945683197488,2005.8810474492784,3572.975615769027,1552.454788092291,1527.2044360172004,3083.856337494217,3084.070125655271,3.810291247974223,3.896888755444511,3.938405888392499,3.938635038047591,3.8102912479742232,2524.079056325718,2529.079888481647,4072.055055946112,4072.396729164757,200.0,256.0,g3
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,shared_prefix,0,128,128,0,19.48772763134912,6.568236298319953,15428.479178677087,1681.468492369908,17109.947671046997,6622.544933161407,5293.652038555592,16843.87850665952,18188.69866160676,3.8996510875844215,3.8989729731909786,4.235144145056314,4.242896184726964,3.899665480426464,7616.868232260458,6231.742436764762,17853.362702717994,19154.68796357513,2348.953125,256.0,g5
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_concurrent_decode,0,32,32,0,4.075154491234571,7.852463033936556,1570.4926067873112,2010.2305366877583,3580.7231434750697,1545.6557534780586,1519.5747474208474,3075.0802603783086,3075.200975728221,3.8015170894818855,3.896395296004473,3.9217554694772057,3.922013383504807,3.8015170894818855,2515.0426112959394,2519.3972282577306,4062.8550477791578,4062.9631597781554,200.0,256.0,g5
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_short_decode,0,8,8,0,4.765304802916944,1.6788013213977475,167.8801321397748,429.7731382778234,597.6532704175983,24.532567185815424,24.724459508433934,25.91543011367321,25.995929390192032,2.234510145016509,2.234401766612541,2.237335338800561,2.237670346512405,2.234508554063383,594.0529349027202,594.1744120791554,595.6748925382271,595.7853528903797,100.0,256.0,g5
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_medium_balanced,0,16,16,0,2.2640975671820343,7.066833263689292,5653.466610951433,1809.109315504459,7462.575926455892,91.82549850083888,90.31525789760052,95.80494672991335,95.96303110010922,4.055554770029096,4.0630349095034255,4.13718087845208,4.149327146930292,4.055554770029096,1125.991964858258,1126.1706529185176,1143.5839930782097,1143.785558012314,800.0,256.0,g5
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_long_prefill,0,4,4,0,0.3118298640474677,12.827507757214388,51310.03102885755,410.4802482308604,51720.511277088415,203.13849905505776,203.79623514600095,204.1573876515031,204.1880864277482,3.2211131709177163,3.1936588667092782,3.295875551749862,3.3102150178784804,3.2211131709177168,302.993007353507,302.9212602414191,303.4140328876674,303.4776555560529,4000.0,32.0,g5
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,tool_agent,0,200,200,0,38.22573544178158,5.232077229870522,13951.59553731124,1084.6880909106071,15036.283628221849,330.7507411297411,228.8916581310332,1037.4495154246683,1722.6714912801974,5.065151520789469,3.4683365374803543,11.297442090184685,36.95424036122859,3.426504822562641,963.7289770017378,527.5323165114969,2414.4684274448064,3648.409380451775,2666.55,207.315,g5
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_medium_balanced,0,16,16,0,2.314999684691429,6.911448025589114,5529.158420471292,1769.3306945508132,7298.489115022105,99.41720354254358,99.10418093204498,101.547296741046,101.68951221276076,4.1226281056308425,4.129456577128639,4.276283442353209,4.288252780360042,4.1226281056308425,1150.6873704784084,1150.715637719259,1188.3548389887435,1188.608104060404,800.0,256.0,g1
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,tool_agent,0,200,200,0,38.29022680176422,5.223264960937369,13928.097181587542,1082.861175376731,15010.958356964273,334.32861202629283,231.3378236722201,1038.079518126323,1746.0479889530682,5.020136755544781,3.4742410115539317,10.64050965576812,37.20512109808624,3.438244820624743,969.4583865161984,534.7945035900921,2400.694216624832,3579.416291476225,2666.55,207.315,g1
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,shared_prefix,0,128,128,0,19.54302966920659,6.549649781358418,15384.82032157742,1676.710344027755,17061.530665605176,6648.4599815594265,5264.0022514387965,16909.679497266177,18244.355210633952,3.9193541426340825,3.897406937846658,4.180645159920495,4.189330837451944,3.919378959377816,7647.779135608289,6241.881742142141,17922.783480933856,19211.85309670866,2348.953125,256.0,g1
