model,workload,cookbook_config_id,cookbook_hash,cookbook_request_throughput,cookbook_output_throughput,cookbook_ttft_p50_ms,cookbook_ttft_p95_ms,cookbook_tpot_p50_ms,cookbook_tpot_p95_ms,cookbook_e2e_p50_ms,cookbook_e2e_p95_ms,best_throughput_config_id,best_throughput_hash,best_throughput_knobs,d_request_throughput,d_output_throughput,d_ttft_p50,d_ttft_p95,d_tpot_p50,d_tpot_p95,d_e2e_p50,d_e2e_p95,best_output_config_id,lowest_ttft_p95_config_id,lowest_tpot_p95_config_id,lowest_e2e_p95_config_id,balanced_config_id,n_configs_evaluated,n_pareto,n_pareto_full,classification,worst_request_throughput,median_request_throughput,worst_vs_cookbook,median_vs_cookbook,pct_configs_improve_throughput,pct_configs_improve_ttft_p95,pct_configs_improve_all,pct_dominated_by_cookbook,repeat_count
lfm25,R_short_decode,74,cap32_chunk-1_pollpm_mem0.85,1.6794156267066644,429.9304004369061,25.607007322832946,29.43069499451667,2.225914639512114,2.230753341481355,592.9185887798667,597.610076633282,167,cap96_chunk8192_polfcfs_mem0.9,"cap=96,chunk=8192,policy=fcfs,mem=0.9",0.004322448146651947,0.004322448146652169,0.1292996473153668,0.0599067065765726,-0.0005583674497953162,-0.00035328248889832103,0.004520577214597976,0.004261143979166104,167,21,105,5,5,192,4,11,WIN,1.647539611516072,1.6749149272413382,-0.018980420739028836,-0.0026799199636793336,0.1875,0.6197916666666666,0.036458333333333336,0.328125,1
lfm25,R_medium_balanced,74,cap32_chunk-1_pollpm_mem0.85,7.125964726298927,1824.2469699325247,91.44462109543385,96.33675077930091,4.023117674332039,4.148650485748316,1116.8954751919955,1148.0062302434817,32,cap16_chunk2048_pollpm_mem0.75,"cap=16,chunk=2048,policy=lpm,mem=0.75",0.02624685181967279,0.026246851819673456,-0.028974961141920552,-0.08367193361331227,0.0192851569510315,-0.0009614651620966086,0.02645751458650758,0.00475969481482974,32,170,168,36,118,192,5,8,REGRESSION,6.625989183325451,7.036673727807875,-0.07016250601525953,-0.012530373348820678,0.16145833333333334,0.203125,0.0625,0.6302083333333334,1
lfm25,R_long_prefill,74,cap32_chunk-1_pollpm_mem0.85,12.874126874638144,411.9720599884207,202.95936381444332,203.3070124918595,3.1823910877949766,3.2953889004044954,301.7431697808206,302.4680836359039,60,cap24_chunk2048_polfcfs_mem0.75,"cap=24,chunk=2048,policy=fcfs,mem=0.75",0.774690637585647,0.7746906375856462,0.6470655027407646,0.6457071866542461,0.024366087837063843,0.03256967215312245,0.4430523185362034,0.44243700559850896,60,60,42,60,60,192,1,3,WIN,10.404595367098551,14.816382905810773,-0.1918212808982438,0.15086506837204228,0.71875,0.7395833333333334,0.171875,0.25,1
lfm25,R_concurrent_decode,74,cap32_chunk-1_pollpm_mem0.85,21.981018267408672,5627.14067645662,134.1869398020208,139.48775890748948,5.127911104400661,5.134797208924211,1440.9606773406267,1443.6304657021535,100,cap48_chunk-1_polfcfs_mem0.75,"cap=48,chunk=-1,policy=fcfs,mem=0.75",0.01592732091296245,0.01592732091296245,0.018739008504173982,0.03899826731207645,0.014420865465845978,0.014984227941159722,0.014701977084255802,0.014629671424841284,100,125,5,100,100,192,2,14,WIN,7.71062378668415,21.483389233023168,-0.6492144407105691,-0.02263903465852357,0.08854166666666667,0.17708333333333334,0.046875,0.796875,1
lfm25,shared_prefix,74,cap32_chunk-1_pollpm_mem0.85,14.186967911431184,3631.863785326383,846.0090623702854,7379.0777635760605,6.348754434535901,7.64541487583854,2285.464907065034,8998.62852098886,152,cap96_chunk2048_pollpm_mem0.75,"cap=96,chunk=2048,policy=lpm,mem=0.75",0.9409244275123783,0.9409244275123785,0.6229447944463264,0.9480107273403003,-0.22400663298498658,-0.03791953279645144,-0.007483078260979603,0.741827243171949,152,152,8,152,152,192,1,22,TRADE-OFF,6.542764091695977,17.548343150436338,-0.53881871499659,0.2369340129610582,0.6979166666666666,0.78125,0.23958333333333334,0.17708333333333334,1
lfm25,tool_agent,74,cap32_chunk-1_pollpm_mem0.85,5.251859388322343,1088.7892290900463,317.3929259646684,543.7899539945646,3.330160398036241,45.9547670092433,566.9481924269348,2096.236948738805,105,cap48_chunk2048_pollpm_mem0.8,"cap=48,chunk=2048,policy=lpm,mem=0.8",0.004467110084327208,0.004467110084327208,0.46376615406151256,-0.011433300501422883,-0.5106018497109135,-2.209994019006177,-0.14057673917453006,-0.03857457792484564,105,41,17,191,138,192,8,37,REGRESSION,5.1919976939325,5.250999088778066,-0.011398190614727244,-0.0001638085639135145,0.4635416666666667,0.5520833333333334,0.15104166666666666,0.3541666666666667,1
qwen,R_short_decode,74,cap32_chunk-1_pollpm_mem0.85,0.8808284519146319,225.49208369014576,51.26127880066633,52.18754671514034,4.244468519098911,4.251209575701139,1133.7993026245383,1135.20229421556,102,cap48_chunk-1_polfcfs_mem0.85,"cap=48,chunk=-1,policy=fcfs,mem=0.85",0.007981713556642012,0.007981713556642234,0.10773763498912337,0.02327051094462007,0.00437233010946636,0.003788005420871432,0.0090349608990129,0.004570453693351184,102,139,67,39,102,192,6,13,FLAT,0.8732378995466592,0.8813987686233428,-0.008617514967271256,0.0006474776189067111,0.5833333333333334,0.3177083333333333,0.125,0.3489583333333333,1
qwen,R_medium_balanced,74,cap32_chunk-1_pollpm_mem0.85,4.643225419508304,1188.6657073941258,107.56643326021732,117.27112322114408,6.305697817793664,6.662708249710062,1714.8748631589117,1798.7121407641098,165,cap96_chunk8192_polfcfs_mem0.8,"cap=96,chunk=8192,policy=fcfs,mem=0.8",0.011647484885494386,0.011647484885494386,0.16803278918284015,0.23124919587385484,-0.00038548702662932754,-5.249469287815778e-05,0.010196877149257655,0.005477354145432045,165,165,72,83,165,192,1,7,WIN,4.611392153236592,4.658378781904037,-0.00685585199847627,0.003263542263545416,0.8229166666666666,0.9427083333333334,0.14583333333333334,0.046875,1
qwen,R_long_prefill,74,cap32_chunk-1_pollpm_mem0.85,11.348276981553058,363.14486340969785,151.10141853801906,151.98400486260653,6.118001040792273,7.334182583426516,340.7594508025795,341.5345008019358,120,cap64_chunk-1_pollpm_mem0.75,"cap=64,chunk=-1,policy=lpm,mem=0.75",0.19668969494289312,0.19668969494289312,0.35084055410886295,0.3523574285135953,0.00829284181140999,0.1657404736826199,0.15974801247353032,0.15997850844343042,120,98,71,98,120,192,2,12,WIN,10.03849177610867,12.783958169053863,-0.11541709878719741,0.12651093992810925,0.7604166666666666,0.7552083333333334,0.7135416666666666,0.234375,1
qwen,R_concurrent_decode,74,cap32_chunk-1_pollpm_mem0.85,12.003446593750722,3072.8823280001848,115.696984808892,118.04094854742289,9.934539682067491,9.938869543702287,2649.4159111753106,2651.488931104541,174,cap128_chunk-1_polfcfs_mem0.85,"cap=128,chunk=-1,policy=fcfs,mem=0.85",0.007950325284119097,0.00795032528411932,0.13931934556358094,0.1400753158790169,0.0004144245240996769,0.0004173380486198752,0.006499740270865417,0.006351878480515327,174,169,4,169,169,192,5,25,WIN,4.572680651039649,11.990225789473312,-0.6190526932972489,-0.0011014173449392928,0.4166666666666667,0.4739583333333333,0.03125,0.5208333333333334,1
qwen,shared_prefix,74,cap32_chunk-1_pollpm_mem0.85,14.731763436289606,3771.331439690139,2140.759451780468,2777.5391358183697,7.532957712715638,8.522594401010258,4022.3702003713697,4624.581743893214,184,cap128_chunk8192_pollpm_mem0.75,"cap=128,chunk=8192,policy=lpm,mem=0.75",0.2552236781973731,0.2552236781973731,0.8294616048054233,0.8474856500833808,-0.5946301814033423,-0.46212435997071055,0.14769591339455246,0.23391074679691626,184,169,9,165,184,192,2,37,TRADE-OFF,5.317972149187666,14.870171295295702,-0.6390131994593671,0.009395199672100896,0.5572916666666666,0.4114583333333333,0.03125,0.4375,1
qwen,tool_agent,74,cap32_chunk-1_pollpm_mem0.85,4.837786436447617,1002.9456950721376,289.47865311056376,600.652307481505,11.485587118104808,87.41224831901486,708.8135206140578,6732.255707890725,139,cap64_chunk8192_pollpm_mem0.9,"cap=64,chunk=8192,policy=lpm,mem=0.9",0.0023673856699080176,0.0023673856699080176,0.20372744098400175,-0.052629315271818466,-0.05329184850254309,-0.38026872785230226,-0.0633966368879173,0.0018763810176561924,139,115,5,98,73,192,4,36,REGRESSION,4.042818777831941,4.830769799520919,-0.16432466977591942,-0.001450381702225445,0.19270833333333334,0.3072916666666667,0.010416666666666666,0.5208333333333334,1
