model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95,d_request_throughput,d_output_throughput,d_total_throughput,d_input_throughput,d_ttft_p50_ms,d_ttft_p95_ms,d_ttft_p99_ms,d_ttft_mean_ms,d_tpot_p50_ms,d_tpot_p95_ms,d_tpot_mean_ms,d_e2e_p50_ms,d_e2e_p95_ms,d_e2e_p99_ms,d_e2e_mean_ms,pareto_ttft_outthr,pareto_e2e_reqthr,pareto_full
lfm25,150,cap96_chunk-1_polfcfs_mem0.85,96,-1,fcfs,0.85,0,R_short_decode,1.6693137207960371,427.3443125237855,594.2756846033892,166.9313720796037,30.874551041051745,37.124114972539246,37.19249273184687,30.896962736733258,2.2232887042942,2.226077830875475,2.223591533414683,598.2632560189813,603.2209428492934,603.4026640374213,597.6346913375892,1,,0.005873326732663164,0.005873326732663164,0.005873326732663164,0.005873326732662942,0.12369391389578754,0.06374868347157847,0.08559636183343011,0.09657975387621531,0.00047437902568525647,0.0010829261360242315,0.0006950494856807765,0.006608286214600634,0.006407835249184868,0.007982013841618785,0.0061476643700636435,False,False,True
lfm25,158,cap96_chunk2048_polfcfs_mem0.85,96,2048,fcfs,0.85,0,R_short_decode,1.663272431750638,425.7977425281633,592.1249857032271,166.3272431750638,32.681965036317706,41.8997231638059,42.84495025407523,33.4364547743462,2.2204797249287367,2.2250523564791957,2.220978644942049,599.2978783324361,607.4178282637149,608.3405090216547,599.5077169500291,1,,0.0022330454397305743,0.0022330454397305743,0.0022330454397307964,0.0022330454397307964,0.07239445104511932,-0.05668972858496879,-0.05337328884776382,0.022325577464173296,0.0017372140498302935,0.001543091485611825,0.0018693084926104664,0.00489033809938022,-0.0005050422189438741,-0.00013599976548994697,0.0030328671425937648,False,False,True
lfm25,172,cap128_chunk-1_polfcfs_mem0.75,128,-1,fcfs,0.75,0,R_short_decode,1.673928233581842,428.52562779695154,595.9184511551357,167.3928233581842,26.626404374837875,33.02019755356014,33.22819865308702,27.96552010113373,2.228211807817513,2.231988624710376,2.2283249269851786,594.2767914384604,600.8236489258707,600.9372295252979,595.9091855329461,1,,0.008653879764297212,0.008653879764297212,0.008653879764297212,0.008653879764297212,0.24426819441947023,0.1672473955428363,0.18306132484399606,0.18229447767987583,-0.0017389044299251921,-0.0015694487270103696,-0.001432186365260435,0.013227647911557172,0.010356525173089937,0.012035286267294332,0.00901713965144213,False,False,True
lfm25,181,cap128_chunk2048_polfcfs_mem0.8,128,2048,fcfs,0.8,0,R_short_decode,1.674002164670046,428.5445541555318,595.9447706225363,167.4002164670046,26.05738490819931,34.09008635208011,35.48219567164779,28.115132066886872,2.2266093248903167,2.231666680677899,2.2271767661649253,593.9556951634586,601.666466658935,602.8328607510775,595.766069192905,1,,0.008698428196814323,0.008698428196814323,0.008698428196814323,0.008698428196814323,0.2604185579037569,0.14026534366377386,0.12764522006584722,0.17791985742754035,-0.0010184749419273054,-0.0014249814552871332,-0.0009161910601767076,0.013760815168120222,0.008968282430836694,0.008918793114091716,0.009255138734959867,False,False,True
lfm25,191,cap128_chunk8192_polfcfs_mem0.9,128,8192,fcfs,0.9,0,R_short_decode,1.6837352135614474,431.0362146717305,599.4097360278753,168.37352135614475,23.156773997470737,29.41812344361097,29.599092439748347,24.600349890533835,2.2291512392899566,2.2323715013871883,2.229058031248404,591.653916053474,597.6619865512475,597.7505586249754,592.7309247781523,1,,0.014563242069533855,0.014563242069533633,0.014563242069533855,0.014563242069533855,0.3427460058757792,0.2580898743512188,0.2722854580231169,0.2806912982933839,-0.0021612453629960005,-0.0017412585551965787,-0.0017616509762177213,0.01758282541497802,0.015564240522253248,0.01727430000968544,0.014302512003778745,True,True,True
lfm25,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,0,R_medium_balanced,7.107119156306783,1819.4225040145363,7505.117829059962,5685.695325045426,99.03010143898427,105.45631952118129,105.62802532222122,100.30299171921796,4.008082373469484,4.134092513270968,4.001350847629867,1120.7549762912097,1150.034851860255,1150.2066920511425,1120.647457864834,1,,-0.00011408667858958665,-0.00011408667858947563,-0.00011408667858969768,-0.00011408667858947563,-0.02187914677142966,-0.06869621332075848,-0.06844407641184769,-0.03660490667924732,0.0029286734354421196,0.002618389225123252,0.0027174938102059176,-0.000724076483521241,0.002389316632452343,0.0023891420775936645,-0.0006800642432316373,False,False,True
lfm25,49,cap24_chunk-1_pollpm_mem0.8,24,-1,lpm,0.8,0,R_medium_balanced,7.111068552177732,1820.4335493574995,7509.288391099685,5688.854841742186,97.61921525932848,99.44748762063682,99.48774143122137,97.49098913744092,4.012424382837672,4.139793926265601,4.003853428145578,1118.9273151103407,1153.9887411054224,1154.359709052369,1118.4736133145634,1,,0.00044154566844767373,0.0004415456684478958,0.00044154566844767373,0.0004415456684478958,-0.007320389943874739,-0.0078026042155872055,-0.006334139860324273,-0.007543603283385769,0.0018485327004732488,0.0012428794952307198,0.0020937595105435802,0.000907845378117389,-0.0010405291200052957,-0.0012129016960966688,0.0012610662068068823,False,False,True
lfm25,79,cap32_chunk-1_polfcfs_mem0.9,32,-1,fcfs,0.9,0,R_medium_balanced,6.967365520047886,1783.6455731322587,7357.537989170568,5573.8924160383085,104.788682423532,117.64739046338946,117.82197237480432,108.5016697179526,4.110429178485099,4.127379182233091,4.054520444547319,1142.5941530615091,1155.8536038501188,1156.1575973173603,1142.404383077519,1,,-0.01977573708256708,-0.01977573708256697,-0.01977573708256697,-0.01977573708256697,-0.08130121882423347,-0.1922407425762649,-0.19178776722371493,-0.12133607666829938,-0.022531647770039687,0.004238031964788225,-0.010534308115222935,-0.020224315578546648,-0.002658225309050355,-0.0027722673882648596,-0.020107870166288233,False,False,True
lfm25,89,cap32_chunk8192_pollpm_mem0.8,32,8192,lpm,0.8,0,R_medium_balanced,7.126114415938779,1824.2852904803276,7525.17682323135,5700.891532751023,93.64187787286936,94.70951883122324,94.82780313119292,93.3131342753768,4.018731723886495,4.143704171749015,4.011550073867992,1116.2858156021684,1149.5308699086308,1150.064610503614,1116.2584031117149,1,,0.002558317161588386,0.002558317161588608,0.002558317161588164,0.002558317161588386,0.0337212537163728,0.04021205557027052,0.04080186839053401,0.03563342239828837,0.0002794858794118449,0.000299502701834764,0.0001754748043046872,0.003266444904121646,0.0028265014519831544,0.0025123739240995313,0.003239134039417002,True,True,True
lfm25,103,cap48_chunk-1_polfcfs_mem0.9,48,-1,fcfs,0.9,0,R_medium_balanced,7.187598332535362,1840.0251731290527,7590.103839157342,5750.078666028289,93.76945765689015,99.8031550552696,99.88408791832626,95.18945298623294,3.979284245995622,4.136011373324721,3.971450815465776,1108.2950895652175,1153.2059932360426,1153.6201779963449,1107.9094109300058,1,,0.011208362383666515,0.011208362383666737,0.011208362383666515,0.011208362383666515,0.03240477399004649,-0.011406944309375833,-0.010343246866367783,0.016242164482350274,0.010092644753248003,0.0021554494807609625,0.010169671873877295,0.010401378143697904,-0.00036152566579383816,-0.0005714828829748164,0.010694351087494725,True,True,True
lfm25,113,cap48_chunk8192_pollpm_mem0.8,48,8192,lpm,0.8,0,R_medium_balanced,7.111497171485086,1820.543275900182,7509.741013088251,5689.1977371880685,98.27646496705712,99.50093331281096,99.68872957397252,97.94419311219826,4.008402235294675,4.132039131888864,4.000234607305816,1118.177057011053,1151.113486965187,1151.4480011770502,1118.0040179751811,1,,0.0005018472334241686,0.0005018472334243906,0.0005018472334243906,0.0005018472334243906,-0.014102466916332768,-0.008344223808459006,-0.00836716651112468,-0.012227346568681963,0.002849102951444249,0.0031137832744445593,0.0029957015930948128,0.001577752145802358,0.0014536424636262257,0.0013125151803572432,0.0016803904921416368,False,False,True
lfm25,117,cap48_chunk8192_polfcfs_mem0.8,48,8192,fcfs,0.8,0,R_medium_balanced,7.16554625056387,1834.3798401443507,7566.816840595447,5732.437000451096,95.88567563332616,100.2766186138615,100.39412926416844,96.89205451286398,3.982433976203788,4.135964684389239,3.974330952555379,1110.4344523046166,1154.0036641526967,1154.2183621320871,1110.3464474144855,1,,0.008105900522852316,0.008105900522852316,0.008105900522852316,0.008105900522852316,0.01056778716765916,-0.016205032413625364,-0.015502395236583144,-0.0013537722526768547,0.009309101556190913,0.0021667135454926933,0.009451836711636852,0.008491137415851058,-0.0010534742854193535,-0.0010903070151742078,0.008518203889071874,False,False,True
lfm25,118,cap48_chunk8192_polfcfs_mem0.85,48,8192,fcfs,0.85,0,R_medium_balanced,7.147340034186487,1829.7190487517407,7547.59107610093,5717.87202734919,97.66185516491532,99.54742074478418,99.6806329349056,97.53792465198784,3.984965829580438,4.139716542946796,3.975232718306977,1111.6961878724396,1153.9220343111083,1154.074602550827,1111.222267820267,1,,0.0055445055482834515,0.0055445055482834515,0.0055445055482832295,0.0055445055482834515,-0.007760385760362309,-0.008815328268982237,-0.008285267734511992,-0.008028669419927859,0.008679264599337544,0.0012615488159847255,0.009227083811180092,0.007364531522871309,-0.0009826635600587164,-0.0009656197566261238,0.007736141685858788,True,False,True
lfm25,123,cap64_chunk-1_pollpm_mem0.9,64,-1,lpm,0.9,0,R_medium_balanced,7.015817534467392,1796.0492888236524,7408.703316397566,5612.6540275739135,100.50553642213345,109.08240836579353,109.7486391896382,100.2794235246256,4.057178129533342,4.1253951494582,4.0532898775050095,1132.2565423324704,1156.867716112174,1157.8202302800491,1132.063891593134,1,,-0.012959123258508676,-0.012959123258508565,-0.012959123258508787,-0.012959123258508787,-0.03710397457417747,-0.10544306201599851,-0.1101247332677513,-0.036361335617833834,-0.009284641079076561,0.004716695129315607,-0.010227605946200091,-0.01099384489699129,-0.0035379284111987097,-0.004214321853589054,-0.010874347518036176,False,False,True
lfm25,147,cap96_chunk-1_pollpm_mem0.9,96,-1,lpm,0.9,0,R_medium_balanced,7.086828013696246,1814.2279715062389,7483.690382463235,5669.462410956997,108.6207355838269,120.71600602939724,120.90879874303936,108.202229894232,3.990001357434427,4.096266279624056,3.986029534104728,1122.9951945133507,1161.1165199428797,1161.4661112427711,1122.84795960295,1,,-0.002968805618185133,-0.002968805618185022,-0.002968805618185133,-0.002968805618185133,-0.12084369284903929,-0.22333814717391887,-0.2230115010575311,-0.118241445240028,0.007426600614544365,0.01174425898328535,0.006536123701039287,-0.0027243712481201943,-0.007223601142062996,-0.007376510406515768,-0.002644998179601288,False,False,True
lfm25,160,cap96_chunk8192_pollpm_mem0.75,96,8192,lpm,0.75,0,R_medium_balanced,7.074932003568845,1811.1825929136244,7471.128195768701,5659.945602855076,94.8060154914856,95.71175137534738,95.89069606736302,94.40093825105578,4.052541227828638,4.139768685141177,4.043482680343931,1125.5962715949863,1149.5353555073962,1149.7234183130786,1125.4890217387583,1,,-0.004642430710084966,-0.004642430710084855,-0.004642430710084966,-0.004642430710084966,0.02170866421933948,0.030055413183778246,0.03005053929916235,0.024391255845065074,-0.008131141399413844,0.0012489691106071232,-0.007783294878279001,-0.005046877518845028,0.002822610368819589,0.002808300766004357,-0.005003329704099224,False,False,True
