model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95,d_request_throughput,d_output_throughput,d_total_throughput,d_input_throughput,d_ttft_p50_ms,d_ttft_p95_ms,d_ttft_p99_ms,d_ttft_mean_ms,d_tpot_p50_ms,d_tpot_p95_ms,d_tpot_mean_ms,d_e2e_p50_ms,d_e2e_p95_ms,d_e2e_p99_ms,d_e2e_mean_ms,pareto_ttft_outthr,pareto_e2e_reqthr,pareto_full
qwen,69,cap24_chunk8192_polfcfs_mem0.8,24,8192,fcfs,0.8,0,R_short_decode,0.8866917262173334,226.99308191163732,315.6622545333707,88.66917262173334,46.93709313869476,49.46367512457073,49.77667643688619,47.22435370786116,4.229950350617953,4.233564103898757,4.229493895956479,1125.810677651316,1128.040898614563,1128.241683547385,1125.7452971767634,1,,0.05159372743937052,0.051593727439370296,0.051593727439370296,0.05159372743937052,-0.02782428378831825,0.8503543105049749,0.8891885395635203,0.5279656852344945,0.004807941223414214,0.006094878552648564,0.0054034202329014125,0.003591508025016399,0.2018914477618332,0.26377735408266045,0.04954247898534325,False,False,True
qwen,110,cap48_chunk2048_polfcfs_mem0.85,48,2048,fcfs,0.85,0,R_short_decode,0.8870116320895522,227.07497781492535,315.7761410238806,88.70116320895522,48.43602958135307,50.08385214023292,50.27726418338716,48.40207134839147,4.225611584443672,4.230931644674902,4.225896272178301,1126.1062962003052,1127.785113779828,1127.9129306133837,1126.0056207538582,1,,0.051973127628466065,0.05197312762846584,0.05197312762846584,0.051973127628466065,-0.06064786046502091,0.8484780484422791,0.8880741449667514,0.5161937265778653,0.005828734680458525,0.006712895580471723,0.0062494279097267125,0.0033298682675992897,0.20207241998046965,0.26399187846910444,0.04932268992438271,False,False,True
qwen,114,cap48_chunk8192_pollpm_mem0.85,48,8192,lpm,0.85,0,R_short_decode,0.8873204058280956,227.15402389199247,315.886064474802,88.73204058280956,46.28394404426217,48.55694032739848,48.687760843895376,46.06042889645323,4.2323235942817785,4.238342232271736,4.232922463686954,1125.7114883046595,1128.7508546374738,1129.0238342247903,1125.4556571366263,1,,0.05233932539150965,0.05233932539150965,0.05233932539150965,0.05233932539150987,-0.013521683109395388,0.8530975145546184,0.8916126533410715,0.5395997767075146,0.004249581656041057,0.004973127199819349,0.004597167328389551,0.0036792964154481744,0.2013891415295911,0.26326696960598084,0.04978701969559607,False,False,True
qwen,148,cap96_chunk-1_polfcfs_mem0.75,96,-1,fcfs,0.75,0,R_short_decode,0.8879165794090755,227.3066443287233,316.0983022696309,88.79165794090756,44.905054150149226,47.82293241005391,47.91691911872476,44.44917169166729,4.234554311808418,4.244595110672069,4.237061379449989,1126.140263164416,1127.5272395694628,1127.588700656779,1124.8998234514147,1,,0.053046372023035415,0.05304637202303519,0.05304637202303519,0.053046372023035415,0.016673124942559014,0.8553181566846099,0.8933286798708829,0.5557052102572703,0.0037247546051605296,0.003505151821779129,0.0036238708624000138,0.003299805511792875,0.20225487046869828,0.2642034514326086,0.050256305517058064,True,True,True
qwen,173,cap128_chunk-1_polfcfs_mem0.8,128,-1,fcfs,0.8,0,R_short_decode,0.8870745101727322,227.09107460421944,315.7985256214927,88.70745101727323,47.54084022715688,51.7006964655593,52.56738031748682,47.3023863742128,4.228838468335715,4.234524201145213,4.229561245872402,1127.1682337392122,1129.645588318817,1130.2807026496157,1125.8405040716752,1,,0.052047699428236394,0.052047699428236394,0.05204769942823617,0.052047699428236394,-0.04104508374186877,0.8435865036215549,0.8829759517655542,0.5271857042861372,0.005069536827583931,0.005869478500370673,0.005387582405096958,0.002389991250336121,0.20075610189075122,0.2624468128870894,0.04946209658485867,False,False,True
qwen,189,cap128_chunk8192_polfcfs_mem0.8,128,8192,fcfs,0.8,0,R_short_decode,0.8871285346863312,227.1049048797008,315.81775834833394,88.71285346863313,45.20588973537088,55.35615265835076,58.47455380950123,46.7523920815438,4.228581310085514,4.236679020447328,4.230067323135468,1123.9256793633103,1133.4875287953764,1136.6816212702545,1125.419559481088,1,,0.05211177112074106,0.05211177112074106,0.05211177112074106,0.05211177112074106,0.010085454099696745,0.8325274130664859,0.8698255655092169,0.5326832105235118,0.0051300391567451475,0.0053635960128011195,0.005268574616618005,0.005259842087583122,0.1980378621927953,0.25826995848443035,0.04981749665009305,False,False,True
qwen,191,cap128_chunk8192_polfcfs_mem0.9,128,8192,fcfs,0.9,0,R_short_decode,0.885229767093624,226.61882037596772,315.1417970853301,88.52297670936241,44.5587441790849,45.64812157768756,45.73133873287589,44.638029066845775,4.248107790800871,4.2545207235596925,4.249250116831093,1128.3650961704552,1129.6204451937228,1129.6338892076164,1128.1968088587746,1,,0.04985988127975394,0.04985988127975394,0.049859881279753715,0.04985988127975416,0.024256589835158104,0.8618977540499712,0.8981941584804144,0.5538174732173466,0.0005359903067536642,0.0011749361357977772,0.0007575996703513832,0.0013306977883977833,0.20077389108899069,0.2628688844260404,0.04747268777958269,True,False,True
qwen,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,R_medium_balanced,4.640977936552923,1188.0903517575482,4900.872700999887,3712.7823492423386,100.41062370873988,121.6965647181496,121.85558814089744,107.68914880463852,6.372565138792875,6.673978293752845,6.317359360857118,1718.7312163878232,1798.5297972336411,1798.6124550923705,1718.6157858232036,1,,0.00664387834779423,0.00664387834779423,0.006643878347794452,0.006643878347794452,0.17443474151332383,0.014808660490621461,0.014764858883317689,0.08373437693509633,0.00025882009973388076,0.004317811357564594,0.00096061006049597,0.006534813854129462,0.0133758655619165,0.013526302865841555,0.006583966850188361,True,True,True
qwen,16,cap8_chunk8192_pollpm_mem0.75,8,8192,lpm,0.75,0,R_medium_balanced,4.62342974170644,1183.5980138768489,4882.341807242,3698.743793365152,107.09746251814067,128.0508182244375,128.1646771589294,114.46113072452135,6.361205393777174,6.673452847491147,6.311921658126783,1724.2490435019135,1805.6354911532253,1805.6679486762728,1724.0011535468511,1,,0.0028376152800180243,0.0028376152800182464,0.0028376152800180243,0.0028376152800180243,0.11945627801772063,-0.03663203167633089,-0.03624581944364724,0.02611544037480995,0.002040960358485999,0.004396202005665928,0.0018205388548030443,0.0033453860432229865,0.009477876702474242,0.009656620533156413,0.00347104848576385,False,False,True
qwen,23,cap8_chunk8192_polfcfs_mem0.9,8,8192,fcfs,0.9,0,R_medium_balanced,4.628316156495314,1184.8489360628005,4887.501861259052,3702.652925196252,110.57975701987743,121.92089355085044,121.94650110322982,113.41468381579034,6.363112766149581,6.669095972114626,6.311972900385073,1723.0658831540495,1809.234835789539,1809.6246135653928,1722.967773413984,1,,0.003897495245304361,0.003897495245304361,0.003897495245304361,0.003897495245304583,0.09082523028324851,0.01299261232450466,0.014029803178122524,0.035019061022533604,0.0017417278415060578,0.005046198607332686,0.0018124353052759723,0.004029279257021345,0.007503374922292805,0.007486533347092372,0.004068375940100566,False,False,True
