model,config_id,hash,stage,cause
lfm25,31,cap16_chunk-1_polfcfs_mem0.9,launch,server exited rc=-9
lfm25,36,cap16_chunk2048_polfcfs_mem0.75,launch,server exited rc=-9
lfm25,39,cap16_chunk2048_polfcfs_mem0.9,launch,server exited rc=-9
lfm25,53,cap24_chunk-1_polfcfs_mem0.8,launch,server exited rc=-9
lfm25,100,cap48_chunk-1_polfcfs_mem0.75,launch-attempt1,server exited rc=-9
lfm25,125,cap64_chunk-1_polfcfs_mem0.8,launch-attempt1,server exited rc=-9
lfm25,137,cap64_chunk8192_pollpm_mem0.8,launch-attempt1,server exited rc=-9
lfm25,140,cap64_chunk8192_polfcfs_mem0.75,launch-attempt1,server exited rc=-9
lfm25,187,cap128_chunk8192_pollpm_mem0.9,launch-attempt1,server exited rc=-9
qwen,36,cap16_chunk2048_polfcfs_mem0.75,launch,server exited rc=-9
qwen,126,cap64_chunk-1_polfcfs_mem0.85,launch-attempt1,server exited rc=-9
qwen,137,cap64_chunk8192_pollpm_mem0.8,launch-attempt1,server exited rc=-9
