model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_concurrent_decode,7.87615893041105,2016.2966861852287,3591.5284722674387,1575.23178608221,1548.7883291207254,3058.9916236000136,3059.0982744982466,1557.033186647459,3.7999453726133297,3.882580958306789,3.789315439073606,2517.910677008331,4049.011174985208,4049.053779938258,2523.3086236112285,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_long_prefill,12.203572563260655,390.51432202434097,49204.80457506696,48814.29025304262,219.88959913142023,220.28788870666176,220.32077935058624,219.56978854723275,3.166358805291595,3.240203514935509,3.184636266181065,318.15448263660073,318.89985678717494,318.9924537949264,318.29351279884577,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_medium_balanced,6.864866229079233,1757.4057546442837,7249.298737907669,5491.892983263387,107.45457140728831,114.1853294102475,114.22740740235896,108.88591324328443,4.126204101953144,4.273765848255625,4.1193220811192965,1159.4274416565895,1202.7591109508649,1203.1083471374586,1159.3130439287052,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,R_short_decode,1.6601061635655254,424.9871778727745,590.997794229327,166.01061635655256,34.31221004575491,40.08454524446279,40.24352035019547,33.57569588115439,2.226427626595193,2.232529113974833,2.227336189608628,601.6781891230494,607.523226714693,607.5726519478485,600.988308317028,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,shared_prefix,6.531057732931282,1671.9507796304083,17013.09925095476,15341.148471324352,7572.756684850901,11252.174528851174,12564.21177398879,6690.464122591948,3.9714520632782406,4.283960287404411,3.927072601354404,8563.363283872604,12274.93636396248,13595.500787976198,7691.751832058799,1,
lfm25,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,0,tool_agent,5.230076874663045,1084.273387270769,15030.53487740351,13946.261490132742,230.2624995354563,1030.9474281501025,1752.989036445505,330.5509153800085,3.506584498126291,10.410530932963711,4.982556360638359,517.6332746632397,2382.506241463123,3650.13262990862,966.8398984079248,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_concurrent_decode,7.818676223306227,2001.581113166394,3565.3163578276394,1563.7352446612454,1570.3643304295838,3087.5535924220458,3087.728193886578,1575.7359964190982,3.796384920019145,3.881192046272404,3.795083927380962,2538.5671299882238,4077.1972937509418,4077.3344312096015,2543.4823979012435,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_long_prefill,12.944883864979216,414.2362836793349,52193.7717435962,51779.535459916864,200.29394375160336,200.6836675805971,200.71805925574157,199.51683818362653,3.164726632436917,3.283933469755275,3.1965252109653046,298.6898841336369,299.15082298684865,299.1929062316194,298.609119723551,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_medium_balanced,6.989876305025107,1789.4083340864274,7381.309378106513,5591.9010440200855,101.81898437440395,107.0876964367926,107.16648185625672,103.21390457102098,4.069361021267433,4.141453625269088,4.061323492993218,1139.0275317244232,1156.2894488452002,1156.3238009577617,1138.8513952842914,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_short_decode,1.660479481699625,425.0827473151039,591.1306954850664,166.04794816996247,33.166945446282625,38.93306693062186,39.385743867605925,32.577393925748765,2.229034022300267,2.2335763510298063,2.2298197666548987,601.6762629151344,607.144849631004,607.7257138257846,600.9021082427353,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,shared_prefix,6.398486271388609,1638.0124854754838,16667.756807923353,15029.74432244787,7567.47985095717,11261.4432817325,12841.46461599041,6882.43057938962,3.971576168402737,4.2857316119012,3.95159215618418,8562.725523486733,12269.72832668107,13878.835492790678,7890.086579216586,1,
lfm25,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,tool_agent,5.22346953244497,1082.9035861188288,15011.546267859962,13928.642681741134,225.39471904747188,1037.6042208401482,1731.3894259231158,324.7321723215282,3.487199544906616,10.80434923700016,5.036473108191126,515.294142300263,2412.0114270132017,3652.3033596063024,961.2028220575304,1,
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_concurrent_decode,7.83257781836588,2005.1399215016647,3571.655485174841,1566.515563673176,1563.1197004113346,3077.8144194278866,3077.9875256400555,1569.2090333322994,3.806465222299391,3.891583180931561,3.805124415963541,2534.0386705938727,4070.098417671397,4070.347397495061,2539.5157594030024,1,
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_long_prefill,12.052917515157947,385.6933604850543,48597.36342111684,48211.67006063178,223.43991976231337,223.8504156703129,223.8911128835753,222.8358545107767,3.192012641398657,3.2861504823930803,3.219016061554993,322.6546994410455,322.93380566406995,322.9419949511066,322.6253524189815,1,
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_medium_balanced,6.458520325046518,1653.3812032119083,6820.197463249123,5166.816260037214,142.3708009533584,229.16329570580277,229.3099133530632,161.05276535381563,4.272131054826518,4.284495479591629,4.198556048476009,1231.725265737623,1241.4139073807746,1241.5263919625431,1231.684557715198,1,
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,R_short_decode,1.6478078247243173,421.8388031294252,586.619585601857,164.78078247243172,36.27917915582657,41.83136536739767,41.91613319329917,35.2655898896046,2.2361765451291027,2.2402862807383803,2.236495928894783,606.6853837110102,611.1102223396301,611.3354215025902,605.0119983265176,1,
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,shared_prefix,6.511792752404687,1667.0189446155998,16962.91487972894,15295.89593511334,7591.379523510113,11277.71485375706,12599.122054846956,6712.881998926605,3.975441221001686,4.28422108283449,3.9319195496946655,8583.407244412228,12299.924947856924,13628.669388522394,7715.405491337151,1,
lfm25,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,0,tool_agent,5.222977189486973,1082.801516038492,15010.13134066498,13927.329824626488,236.8096045684069,1045.5627053510389,1754.4572944147503,331.51017763186246,3.574094300415786,11.569252202957212,5.230285200736504,522.536450298503,2431.065048347225,3725.176614988595,972.8666203888132,1,
