objective_role,FLAT,REGRESSION,STRICT_ALL_METRIC_WIN,TRADE-OFF,WIN
constrained_e2e_best,2,1,7,2,0
constrained_throughput_best_1pct,0,4,7,1,0
constrained_throughput_best_3pct,0,4,6,1,1
constrained_throughput_best_5pct,0,4,6,2,0
constrained_tpot_best,2,2,4,2,2
constrained_ttft_best,2,3,6,0,1
cookbook,12,0,0,0,0
e2e_p50_best,0,5,3,4,0
e2e_p95_best,2,1,6,3,0
geometric_balanced_best,1,4,4,3,0
maximin_balanced_best,1,2,8,1,0
noise_tolerant_all_metric_candidate,0,4,7,1,0
output_throughput_best,0,5,4,2,1
pareto_knee_candidate,1,1,5,5,0
request_throughput_best,0,5,4,2,1
strict_all_metric_candidate,0,4,7,1,0
tpot_p50_best,0,4,3,5,0
tpot_p95_best,1,2,2,6,1
ttft_p50_best,1,3,3,5,0
ttft_p95_best,1,4,4,2,1
