model,config_id,hash,cap,chunk,policy,mem,startup_s,attention_backend,moe_runner_backend,disable_cuda_graph,cuda_graph_captured,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,launch_cmd
lfm25,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85,28.0,fa3,auto,False,True,32,-1,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 32 --chunked-prefill-size -1 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,17,cap8_chunk8192_pollpm_mem0.8,8,8192,lpm,0.8,28.0,fa3,auto,False,True,8,8192,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy lpm --max-prefill-tokens 16384
lfm25,47,cap16_chunk8192_polfcfs_mem0.9,16,8192,fcfs,0.9,28.0,fa3,auto,False,True,16,8192,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 16 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,68,cap24_chunk8192_polfcfs_mem0.75,24,8192,fcfs,0.75,28.0,fa3,auto,False,True,24,8192,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 24 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
qwen,82,cap32_chunk2048_pollpm_mem0.85,32,2048,lpm,0.85,37.0,fa3,auto,False,True,32,2048,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 32 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,101,cap48_chunk-1_polfcfs_mem0.8,48,-1,fcfs,0.8,40.0,fa3,auto,False,True,48,-1,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 48 --chunked-prefill-size -1 --schedule-policy fcfs
lfm25,132,cap64_chunk2048_polfcfs_mem0.75,64,2048,fcfs,0.75,28.0,fa3,auto,False,True,64,2048,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 64 --chunked-prefill-size 2048 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9,28.0,fa3,auto,False,True,96,8192,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 41000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 96 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
qwen,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85,37.0,fa3,auto,False,True,32,-1,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 32 --chunked-prefill-size -1 --schedule-policy lpm
qwen,18,cap8_chunk8192_pollpm_mem0.85,8,8192,lpm,0.85,37.0,fa3,auto,False,True,8,8192,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 41100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy lpm
