model,workload,objective_role,config_id,hash,cap,chunk,policy,mem
lfm25,R_concurrent_decode,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
lfm25,R_concurrent_decode,request_throughput_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,output_throughput_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,ttft_p95_best,125,cap64_chunk-1_polfcfs_mem0.8,64,-1,fcfs,0.8
lfm25,R_concurrent_decode,tpot_p95_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8
lfm25,R_concurrent_decode,e2e_p95_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,ttft_p50_best,70,cap24_chunk8192_polfcfs_mem0.85,24,8192,fcfs,0.85
lfm25,R_concurrent_decode,tpot_p50_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8
lfm25,R_concurrent_decode,e2e_p50_best,66,cap24_chunk8192_pollpm_mem0.85,24,8192,lpm,0.85
lfm25,R_concurrent_decode,constrained_throughput_best_1pct,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,constrained_throughput_best_3pct,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,constrained_throughput_best_5pct,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,constrained_ttft_best,125,cap64_chunk-1_polfcfs_mem0.8,64,-1,fcfs,0.8
lfm25,R_concurrent_decode,constrained_tpot_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,constrained_e2e_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
lfm25,R_concurrent_decode,maximin_balanced_best,100,cap48_chunk-1_polfcfs_mem0.75,48,-1,fcfs,0.75
