label,kind,arm,request_throughput_pct,ttft_p50_ms_pct,ttft_p95_ms_pct,tpot_p50_ms_pct,e2e_mean_ms_pct,e2e_p95_ms_pct,request_throughput_p,ttft_p50_ms_p,ttft_p95_ms_p,tpot_p50_ms_p,e2e_mean_ms_p,e2e_p95_ms_p
Tool-Agent 1.0x,"real trace, arrival-limited",L2,0.113,-28.766,-32.395,-1.599,-12.163,-7.927,7.92e-02,1.94e-23,1.33e-05,1.06e-04,2.15e-13,3.55e-04
Tool-Agent 1.0x,"real trace, arrival-limited",L3,0.471,-6.105,-12.567,-6.043,-7.206,-8.627,2.27e-09,3.15e-08,2.76e-02,5.74e-17,4.16e-09,1.59e-04
Tool-Agent 1.0x,"real trace, arrival-limited",L2L3,0.525,-35.707,-39.164,-5.851,-17.555,-13.441,5.82e-10,5.99e-24,1.53e-06,1.34e-16,2.03e-15,1.13e-06
Tool-Agent 2.0x,real trace,L2,0.272,-29.352,-28.936,-3.875,-12.102,-8.969,1.90e-06,3.76e-28,2.14e-17,3.54e-13,1.33e-19,3.32e-22
Tool-Agent 2.0x,real trace,L3,0.378,-8.024,-8.029,-7.345,-8.405,-7.746,1.63e-09,2.24e-20,3.06e-05,8.82e-22,8.94e-25,6.92e-25
Tool-Agent 2.0x,real trace,L2L3,0.599,-34.779,-33.349,-9.161,-19.103,-15.766,1.12e-13,6.11e-25,3.12e-19,7.57e-19,7.64e-23,1.61e-24
Tool-Agent 3.0x,"real trace, near knee",L2,1.494,-29.247,-33.143,-13.746,-22.989,-25.314,9.12e-23,3.90e-38,1.78e-18,3.97e-23,8.50e-36,2.25e-34
Tool-Agent 3.0x,"real trace, near knee",L3,0.853,-6.787,-11.054,-11.261,-10.936,-8.773,7.47e-21,4.84e-11,2.20e-09,9.15e-20,2.77e-22,4.68e-15
Tool-Agent 3.0x,"real trace, near knee",L2L3,2.458,-36.362,-38.963,-20.929,-30.767,-30.757,3.92e-32,9.85e-34,8.31e-21,2.17e-23,3.59e-38,4.60e-36
Tool-Agent 4.0x,"real trace, saturated",L2,5.227,-48.460,-76.908,-18.281,-42.284,-45.324,4.26e-10,2.13e-04,4.44e-12,7.22e-13,3.03e-21,2.47e-16
Tool-Agent 4.0x,"real trace, saturated",L3,3.070,-25.584,-48.277,-7.208,-22.176,-28.218,2.90e-06,2.58e-02,1.39e-08,4.58e-07,8.66e-15,1.03e-11
Tool-Agent 4.0x,"real trace, saturated",L2L3,9.148,-57.962,-88.597,-33.853,-55.860,-56.011,1.29e-13,3.54e-05,9.73e-12,5.56e-18,2.72e-25,3.30e-17
Conversation 2.0x,"real trace, generation-heavy",L2,0.087,-27.207,-27.517,-1.517,-7.071,-7.503,2.13e-02,1.31e-31,1.26e-31,1.56e-04,1.63e-20,8.19e-16
Conversation 2.0x,"real trace, generation-heavy",L3,0.113,-6.935,-7.080,-8.032,-8.033,-8.509,1.47e-02,5.97e-17,1.43e-15,3.50e-19,5.75e-22,2.92e-14
Conversation 2.0x,"real trace, generation-heavy",L2L3,0.308,-32.669,-33.245,-9.431,-15.130,-15.753,5.19e-08,2.05e-35,1.48e-30,5.46e-21,7.15e-30,7.72e-25
Conversation 4.0x,"real trace, generation-heavy",L2,0.844,-26.520,-30.107,-12.478,-15.218,-13.690,9.65e-15,3.29e-26,1.35e-09,2.78e-19,6.37e-23,1.22e-19
Conversation 4.0x,"real trace, generation-heavy",L3,1.305,-6.972,-6.938,-12.280,-10.085,-5.446,1.37e-20,3.19e-07,2.77e-02,6.96e-22,1.80e-21,5.30e-08
Conversation 4.0x,"real trace, generation-heavy",L2L3,2.124,-30.181,-35.572,-20.210,-22.292,-17.462,2.11e-26,2.04e-28,2.64e-10,8.96e-29,9.94e-31,1.44e-21
Mooncake arxiv 2.0x,sibling of Tool-Agent,L2,0.220,-29.026,-30.895,-2.669,-12.322,-8.181,4.14e-03,4.56e-37,1.26e-19,2.21e-09,8.37e-23,1.50e-18
Mooncake arxiv 2.0x,sibling of Tool-Agent,L3,0.820,-7.625,-9.655,-7.075,-7.962,-5.695,1.68e-11,1.97e-15,1.37e-06,5.50e-21,9.35e-20,2.54e-16
Mooncake arxiv 2.0x,sibling of Tool-Agent,L2L3,1.210,-36.029,-38.002,-8.832,-19.801,-14.971,2.95e-15,1.36e-32,1.34e-22,2.03e-19,4.09e-31,1.81e-26
ShareGPT 8 req/s,"real prompts, Poisson arrivals",L2,0.037,1.230,1.988,-0.157,-0.109,0.074,5.20e-01,6.63e-01,8.32e-01,8.24e-01,9.13e-01,9.44e-01
ShareGPT 8 req/s,"real prompts, Poisson arrivals",L3,0.823,-6.696,-4.335,-6.984,-7.404,-6.431,5.18e-12,2.60e-02,2.86e-01,7.16e-12,2.70e-09,7.22e-08
ShareGPT 8 req/s,"real prompts, Poisson arrivals",L2L3,0.875,-8.201,-12.834,-7.483,-8.078,-7.147,1.22e-11,7.78e-03,3.53e-03,1.17e-13,1.07e-10,5.85e-09
ShareGPT 16 req/s,"real prompts, Poisson arrivals",L2,-0.478,18.415,44.743,3.892,4.827,3.341,6.94e-04,7.41e-02,1.96e-01,7.34e-03,5.06e-02,2.71e-02
ShareGPT 16 req/s,"real prompts, Poisson arrivals",L3,1.380,-12.892,-44.807,-7.997,-7.637,-8.213,7.45e-12,8.71e-02,9.19e-02,5.28e-07,4.29e-04,1.49e-06
ShareGPT 16 req/s,"real prompts, Poisson arrivals",L2L3,1.355,-14.977,-44.133,-8.441,-8.097,-8.433,1.42e-11,4.84e-02,1.03e-01,6.37e-07,2.68e-04,1.19e-06
