rope_base,layers,tokens,bf16_ulp_pct,sglang_err_pct,add_one_err_pct,fold_err_pct,no_accuracy_cost
10000.0,local,1,0.3906,0.1413,0.1413,0.2026,True
10000.0,local,8,0.3906,0.1822,0.1415,0.2022,True
10000.0,local,32,0.3906,0.1935,0.1421,0.2049,True
10000.0,local,128,0.3906,0.1952,0.1406,0.2059,True
10000.0,local,512,0.3906,0.1985,0.1411,0.2078,True
10000.0,local,2048,0.3906,0.2,0.141,0.2094,True
1000000.0,global,1,0.3906,0.1368,0.1368,0.1944,True
1000000.0,global,8,0.3906,0.1673,0.1401,0.202,True
1000000.0,global,32,0.3906,0.176,0.1407,0.2038,True
1000000.0,global,128,0.3906,0.1824,0.1409,0.2033,True
1000000.0,global,512,0.3906,0.1887,0.141,0.2042,True
1000000.0,global,2048,0.3906,0.1939,0.141,0.2058,True
