rope_base,layers,tokens,fold_err_pct,add_one_err_pct,main_us,pr32670_us,fused_us,speedup_vs_pr32670,speedup_vs_main
10000.0,local,1,1.9771,0.0,26.026,3.716,2.504,1.484,10.392
10000.0,local,8,1.9819,1.9819,30.133,6.098,2.607,2.339,11.557
10000.0,local,32,3.9489,3.9489,32.052,6.316,2.783,2.269,11.515
10000.0,local,128,3.9446,3.9446,34.144,7.182,3.148,2.281,10.845
10000.0,local,512,3.9391,3.9391,39.56,8.914,4.275,2.085,9.253
10000.0,local,2048,3.9404,3.9404,66.128,17.99,9.503,1.893,6.959
1000000.0,global,1,1.9438,0.0,25.524,3.78,2.547,1.484,10.023
1000000.0,global,8,1.9655,1.9655,30.307,6.19,2.628,2.356,11.534
1000000.0,global,32,3.9341,1.967,31.987,6.356,2.844,2.235,11.247
1000000.0,global,128,3.941,3.941,34.229,7.191,3.156,2.279,10.847
1000000.0,global,512,3.9424,3.9424,39.231,8.894,4.3,2.068,9.122
1000000.0,global,2048,3.9412,3.9412,64.154,18.394,9.513,1.934,6.744
