rope_base,layers,tokens,main_us,pr32670_us,fused_us,speedup_vs_main,speedup_vs_pr32670,fold_rel_err_pct,total_rel_err_pct
10000.0,local,1,26.247,3.857,2.559,10.258,1.507,1.9771,1.9771
10000.0,local,8,30.182,6.003,2.642,11.426,2.272,1.9764,1.9764
10000.0,local,32,31.72,6.387,2.787,11.379,2.291,3.9452,3.9452
10000.0,local,128,33.982,7.215,3.137,10.833,2.3,3.9477,3.9477
10000.0,local,512,38.887,8.923,4.29,9.065,2.08,3.942,3.942
10000.0,local,2048,65.034,18.291,9.414,6.908,1.943,3.9443,3.9443
1000000.0,global,1,25.357,3.755,2.543,9.972,1.476,1.9438,1.9438
1000000.0,global,8,29.702,5.644,2.62,11.336,2.154,1.9648,1.9648
1000000.0,global,32,31.899,6.432,2.822,11.304,2.279,3.9349,3.9349
1000000.0,global,128,33.719,7.126,3.156,10.682,2.258,3.9435,3.9435
1000000.0,global,512,39.489,8.907,4.307,9.169,2.068,3.9457,3.9457
1000000.0,global,2048,64.975,18.09,9.419,6.898,1.921,3.9434,3.9434
