op,T,H,eager_us,compile_us,handwritten_us,compile_vs_eager,hand_vs_compile
rmsnorm,8,256,11.666,0.966,1.47,12.079,0.657
rmsnorm,8,512,12.604,1.016,1.464,12.409,0.694
rmsnorm,8,1152,13.441,1.242,1.459,10.82,0.851
rmsnorm,8,2048,14.384,1.265,1.501,11.368,0.843
rmsnorm,8,4096,16.49,1.388,1.683,11.881,0.825
rmsnorm,8,8192,14.466,1.738,2.147,8.325,0.809
rmsnorm,8,16384,15.69,3.106,2.949,5.051,1.053
rmsnorm,512,256,14.273,1.417,2.151,10.073,0.659
rmsnorm,512,512,16.319,1.522,2.234,10.725,0.681
rmsnorm,512,1152,20.56,2.087,2.313,9.85,0.903
rmsnorm,512,2048,25.526,2.149,2.383,11.878,0.902
rmsnorm,512,4096,40.643,2.59,3.498,15.69,0.741
rmsnorm,512,8192,58.048,4.065,6.074,14.279,0.669
rmsnorm,512,16384,121.509,7.094,8.841,17.128,0.802
rmsnorm,4096,256,22.264,3.745,6.699,5.946,0.559
rmsnorm,4096,512,34.38,3.868,6.776,8.889,0.571
rmsnorm,4096,1152,65.45,9.849,6.818,6.646,1.445
rmsnorm,4096,2048,124.079,10.435,9.516,11.891,1.097
rmsnorm,4096,4096,239.989,20.287,22.623,11.83,0.897
rmsnorm,4096,8192,460.958,33.308,48.965,13.839,0.68
rmsnorm,4096,16384,891.847,64.735,83.041,13.777,0.78
swiglu,8,4096,3.896,0.928,1.126,4.2,0.824
swiglu,8,8192,3.914,0.996,1.342,3.93,0.742
swiglu,8,16384,4.021,1.02,1.804,3.94,0.566
swiglu,8,32768,4.177,1.082,2.472,3.861,0.438
swiglu,512,4096,7.432,2.034,2.178,3.654,0.934
swiglu,512,8192,12.518,2.723,3.006,4.598,0.906
swiglu,512,16384,22.51,4.328,4.984,5.201,0.869
swiglu,512,32768,48.605,11.758,11.986,4.134,0.981
swiglu,4096,4096,48.562,11.669,12.156,4.162,0.96
swiglu,4096,8192,94.613,24.668,24.923,3.835,0.99
swiglu,4096,16384,183.265,47.317,47.619,3.873,0.994
swiglu,4096,32768,361.242,93.244,93.887,3.874,0.993
