Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.9,765658,44,17401.3,17471.5,14272,20832,2763.9,fused_moe_kernel
17.1,336736,48,7015.3,5968.0,5504,11680,1696.0,nvjet_tst_64x8_64x16_4x1_v_bz_TNT
6.2,122017,1,122017.0,122017.0,122017,122017,0.0,nvjet_tst_256x8_64x6_2x1_v_bz_TNT
5.7,112448,22,5111.3,5056.0,4864,6048,242.1,nvjet_tst_64x8_64x16_1x1_v_bz_TNT
5.4,106784,48,2224.7,2192.0,1920,2688,200.9,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
5.0,98944,22,4497.5,4448.0,4320,4864,127.5,"void moe_align_block_size_small_batch_expert_kernel<int, (int)256>(const T1 *, int *, int *, int *, int, int, unsigned long, bool, int)"
2.5,48961,22,2225.5,2192.0,2080,2624,130.5,"void topkGatingSigmoid<__nv_bfloat16, (int)8, (int)32, (int)4, (int)16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, const float *)"
2.5,48192,6,8032.0,8048.0,7904,8128,88.2,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)192>, cute::C<(int)128>, cute::C<(int)64>>, (int)64, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)192>, cute::C<(int)64>, cute::C<(int)128>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)384, (bool)1, (bool)1, (bool)1, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)192, (int)128, (int)384, (int)128, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1>>>>(T1::Params)"
2.4,46912,18,2606.2,2560.0,2400,2880,135.4,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<(int)64, (int)3, c10::BFloat16, c10::BFloat16>, (bool)0>(ConvParamsBase)"
2.0,38880,36,1080.0,1056.0,960,1312,68.6,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
