index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
0,0.0,0.96,0.896,,,copy_int,unrolled_elementwise_kernel,1,128,
1,1.856,2.368,28.864,,,other,index_elementwise_kernel,1,128,
2,33.088,1.056,29.536,,,other,vectorized_elementwise_kernel,1,128,
3,63.68,1.12,361.793,,,other,vectorized_elementwise_kernel,1,128,
4,426.593,0.96,148.48,,,other,triton_poi_fused_clamp_sub_0,1,32,
5,576.033,0.96,12.64,,,copy_int,unrolled_elementwise_kernel,1,128,
6,589.633,0.928,112.672,,,copy_int,unrolled_elementwise_kernel,1,128,
7,703.233,1.12,54.272,,,other,vectorized_elementwise_kernel,1,128,
8,758.625,0.672,15.744,,,other,DeviceScanInitKernel,1,128,
9,775.041,1.408,64.737,,,other,DeviceScanKernel,1,128,
10,841.186,1.504,20.16,,,copy_int,elementwise_kernel,1,128,
11,862.85,2.08,40.928,,,other,index_elementwise_kernel,1,128,
12,905.858,1.408,104.384,,,other,vectorized_elementwise_kernel,1,128,
13,1011.65,1.216,17.216,,,copy,unrolled_elementwise_kernel,1,128,
14,1030.082,1.472,752.77,,,other,index_elementwise_kernel,1,128,
15,1784.324,2.048,0.928,,,other,indexSelectSmallIndex,16,128,459561500672
16,1787.3,1.984,0.128,0,operator_norm,rmsnorm,RMSNormKernel,1,32,459561500673
17,1789.412,11.68,0.064,0,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500674
18,1801.156,1.12,0.064,0,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500675
19,1802.34,2.624,0.064,0,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500676
20,1805.028,1.28,0.096,0,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500677
21,1806.404,7.104,0.224,0,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500678
22,1813.732,2.08,0.096,0,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500679
23,1815.908,20.704,0.064,0,dense_gate_up,gemm,nvjet_tst_64x8_64x16_2x1_v_bz_TNT,2,384,459561500680
24,1836.676,1.728,0.128,0,dense_activation,act_and_mul,act_and_mul_kernel,1,896,459561500681
25,1838.532,10.464,0.16,0,dense_down,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT,4,384,459561500682
26,1849.156,1.76,0.256,0,dense_down_splitk_reduce,gemm_splitk_reduce,splitKreduce_kernel,64,32,459561500683
27,1851.172,2.56,0.128,1,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500684
28,1853.86,9.216,0.128,1,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500685
29,1863.204,1.056,0.128,1,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500686
30,1864.388,2.528,0.128,1,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500687
31,1867.044,1.312,0.096,1,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500688
32,1868.452,5.504,0.224,1,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500689
