index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
0,0.0,0.832,54.624,memcpy,memcpy_kind_8,8,
1,55.456,1.088,63.585,kernel,copy_int,0,0
2,120.129,2.016,48.512,kernel,other,0,1
3,170.657,0.864,32.704,kernel,other,0,2
4,204.225,0.96,375.041,kernel,other,0,3
5,580.226,0.768,134.208,kernel,other,0,4
6,715.202,0.896,64.48,kernel,copy_int,0,5
7,780.578,0.64,29.824,kernel,other,0,6
8,811.042,0.896,37.537,kernel,copy_int,0,7
9,849.475,0.672,14.112,kernel,other,0,8
10,864.259,1.504,43.136,kernel,other,0,9
11,908.899,0.672,27.36,kernel,other,0,10
12,936.931,0.8,48.928,memcpy,memcpy_kind_8,4,
13,986.659,1.664,29.152,kernel,other,0,11
14,1017.475,1.408,19.936,kernel,other,0,12
15,1038.819,0.608,117.632,kernel,other,0,13
16,1157.059,2.08,97.089,kernel,other,0,14
17,1256.228,1.888,167.136,kernel,rmsnorm,0,15
18,1425.252,9.472,40.576,kernel,gemm,0,16
19,1475.3,0.992,21.888,kernel,mul,0,17
20,1498.18,0.992,37.28,kernel,copy_int,0,18
21,1536.452,2.496,24.417,kernel,conv_update,0,19
22,1563.365,0.96,47.264,kernel,mul,0,20
23,1611.589,5.76,37.472,kernel,gemm,0,21
24,1654.821,1.952,44.096,kernel,fused_add_rmsnorm,0,22
25,1700.869,18.432,31.648,kernel,gemm,0,23
26,1750.949,1.632,36.8,kernel,act_and_mul,0,24
27,1789.381,10.528,3.744,kernel,gemm,0,25
28,1803.653,1.568,37.216,kernel,gemm_splitk_reduce,0,26
29,1842.437,2.208,49.76,kernel,fused_add_rmsnorm,0,27
30,1894.405,9.088,12.417,kernel,gemm,0,28
31,1915.91,0.96,17.184,kernel,mul,0,29
32,1934.054,0.992,16.992,kernel,copy_int,0,30
33,1952.038,2.336,15.136,kernel,conv_update,0,31
34,1969.51,1.12,31.776,kernel,mul,0,32
35,2002.406,5.568,20.704,kernel,gemm,0,33
36,2028.678,2.208,31.36,kernel,fused_add_rmsnorm,0,34
37,2062.246,16.384,11.84,kernel,gemm,0,35
38,2090.47,1.696,28.384,kernel,act_and_mul,0,36
39,2120.55,10.688,1.024,kernel,gemm,0,37
40,2132.262,1.568,24.16,kernel,gemm_splitk_reduce,0,38
41,2157.99,2.24,34.848,kernel,fused_add_rmsnorm,0,39
42,2195.078,5.856,55.104,kernel,gemm,0,40
43,2256.038,1.728,22.593,kernel,rmsnorm,0,41
44,2280.359,1.6,92.064,kernel,rmsnorm,0,42
45,2374.023,1.568,82.24,kernel,rope,0,43
46,2457.831,0.96,89.44,kernel,store_kv,0,44
47,2548.231,2.752,18.592,kernel,attention_prepare,0,45
48,2569.575,7.616,57.569,kernel,attention,0,46
49,2634.76,5.6,24.448,kernel,gemm,0,47
50,2664.808,2.048,38.144,kernel,fused_add_rmsnorm,0,48
51,2705.0,5.088,55.136,kernel,gemm,0,49
52,2765.224,1.984,204.544,kernel,topk_sigmoid,0,50
53,2971.752,4.224,139.713,kernel,moe_align,0,51
54,3115.689,20.256,6.208,kernel,fused_moe,0,52
55,3142.153,1.376,66.976,kernel,act_and_mul,0,53
56,3210.505,14.656,152.097,kernel,fused_moe,0,54
57,3377.258,0.992,124.96,kernel,moe_sum,0,55
58,3503.21,2.528,75.904,kernel,fused_add_rmsnorm,0,56
59,3581.642,8.96,22.496,kernel,gemm,0,57
60,3613.098,0.992,26.944,kernel,mul,0,58
61,3641.034,1.152,21.216,kernel,copy_int,0,59
62,3663.402,2.88,17.376,kernel,conv_update,0,60
63,3683.658,1.088,35.937,kernel,mul,0,61
64,3720.683,5.6,21.856,kernel,gemm,0,62
65,3748.139,1.92,32.608,kernel,fused_add_rmsnorm,0,63
66,3782.667,4.8,38.4,kernel,gemm,0,64
67,3825.867,1.984,145.344,kernel,topk_sigmoid,0,65
68,3973.195,4.384,79.584,kernel,moe_align,0,66
69,4057.163,19.841,5.28,kernel,fused_moe,0,67
70,4082.284,1.408,59.04,kernel,act_and_mul,0,68
71,4142.732,14.752,181.088,kernel,fused_moe,0,69
72,4338.572,1.024,126.817,kernel,moe_sum,0,70
73,4466.413,2.08,80.768,kernel,fused_add_rmsnorm,0,71
74,4549.261,8.832,24.16,kernel,gemm,0,72
75,4582.253,0.992,26.112,kernel,mul,0,73
76,4609.357,1.024,21.568,kernel,copy_int,0,74
77,4631.949,2.592,17.408,kernel,conv_update,0,75
78,4651.949,0.992,41.92,kernel,mul,0,76
79,4694.861,5.44,22.4,kernel,gemm,0,77
80,4722.701,1.92,33.184,kernel,fused_add_rmsnorm,0,78
81,4757.805,5.024,37.697,kernel,gemm,0,79
82,4800.526,1.984,145.344,kernel,topk_sigmoid,0,80
83,4947.854,4.384,79.296,kernel,moe_align,0,81
84,5031.534,19.616,4.448,kernel,fused_moe,0,82
85,5055.598,1.152,55.808,kernel,act_and_mul,0,83
86,5112.558,14.528,95.553,kernel,fused_moe,0,84
