Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.5,763235,44,17346.3,17440.0,14464,20960,2602.7,fused_moe_kernel
17.1,330977,48,6895.4,5776.0,5376,9472,1704.9,nvjet_tst_64x8_64x16_4x1_v_bz_TNT
6.4,123616,1,123616.0,123616.0,123616,123616,0.0,nvjet_tst_256x8_64x6_2x1_v_bz_TNT
5.6,107648,22,4893.1,4912.0,4672,5088,135.7,nvjet_tst_64x8_64x16_1x1_v_bz_TNT
5.2,100736,48,2098.7,2112.0,1824,2592,185.2,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
5.0,96385,22,4381.1,4400.0,4224,4544,74.4,"void moe_align_block_size_small_batch_expert_kernel<int, (int)256>(const T1 *, int *, int *, int *, int, int, unsigned long, bool, int)"
2.4,46112,22,2096.0,2016.0,1984,2464,127.9,"void topkGatingSigmoid<__nv_bfloat16, (int)8, (int)32, (int)4, (int)16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, const float *)"
2.3,44896,18,2494.2,2480.0,2304,2880,152.3,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<(int)64, (int)3, c10::BFloat16, c10::BFloat16>, (bool)0>(ConvParamsBase)"
2.3,44384,6,7397.3,7344.0,7328,7616,113.4,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)192>, cute::C<(int)128>, cute::C<(int)64>>, (int)64, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)192>, cute::C<(int)64>, cute::C<(int)128>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)384, (bool)1, (bool)1, (bool)0, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)192, (int)128, (int)384, (int)128, (bool)0, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1>>>>(T1::Params)"
1.9,36640,36,1017.8,992.0,928,1216,85.8,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.8,34816,2,17408.0,17408.0,16384,18432,1448.2,nvjet_tst_64x8_64x16_2x1_v_bz_TNT
1.6,31616,24,1317.3,1248.0,1152,1696,138.3,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)"
1.4,27649,1,27649.0,27649.0,27649,27649,0.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
1.2,23168,21,1103.2,1088.0,896,1632,159.9,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1.2,22816,13,1755.1,1760.0,1600,1952,119.6,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
1.1,21378,22,971.7,960.0,928,1120,42.5,triton_poi_fused_copy__mul_sum_0
1.1,21216,2,10608.0,10608.0,10528,10688,113.1,nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT
0.8,16352,6,2725.3,2656.0,2592,3040,162.4,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)"
0.5,10016,6,1669.3,1632.0,1536,1824,125.4,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)64, (unsigned int)8, (unsigned int)8, __nv_bfloat16, long>(T5 *, T5 *, T5 *, T5 *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.3,6336,6,1056.0,1008.0,960,1216,114.5,"void <unnamed>::store_kvcache<(long)1024, (int)2, (bool)1, long>(<unnamed>::StoreKVCacheParams)"
0.2,3712,1,3712.0,3712.0,3712,3712,0.0,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
