index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
0,0.0,1.088,63.585,,,copy_int,unrolled_elementwise_kernel,1,128,
1,64.673,2.016,48.512,,,other,index_elementwise_kernel,1,128,
2,115.201,0.864,32.704,,,other,vectorized_elementwise_kernel,1,128,
3,148.769,0.96,375.041,,,other,vectorized_elementwise_kernel,1,128,
4,524.77,0.768,134.208,,,other,triton_poi_fused_clamp_sub_0,1,32,
5,659.746,0.896,64.48,,,copy_int,unrolled_elementwise_kernel,1,128,
6,725.122,0.64,29.824,,,other,elementwise_kernel_with_index,1,64,
7,755.586,0.896,37.537,,,copy_int,unrolled_elementwise_kernel,1,128,
8,794.019,0.672,14.112,,,other,DeviceScanInitKernel,1,128,
9,808.803,1.504,43.136,,,other,DeviceScanKernel,1,128,
10,853.443,0.672,77.088,,,other,vectorized_elementwise_kernel,1,128,
11,931.203,1.664,29.152,,,other,index_elementwise_kernel,1,128,
12,962.019,1.408,19.936,,,other,index_elementwise_kernel,1,128,
13,983.363,0.608,117.632,,,other,elementwise_kernel_with_index,1,64,
14,1101.603,2.08,97.089,,,other,indexSelectSmallIndex,16,128,
15,1200.772,1.888,167.136,0,operator_norm,rmsnorm,RMSNormKernel,1,32,
16,1369.796,9.472,40.576,0,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
17,1419.844,0.992,21.888,0,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,
18,1442.724,0.992,37.28,0,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
19,1480.996,2.496,24.417,0,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,
20,1507.909,0.96,47.264,0,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,
21,1556.133,5.76,37.472,0,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
22,1599.365,1.952,44.096,0,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
23,1645.413,18.432,31.648,0,dense_gate_up,gemm,nvjet_tst_64x8_64x16_2x1_v_bz_TNT,2,384,
24,1695.493,1.632,36.8,0,dense_activation,act_and_mul,act_and_mul_kernel,1,896,
25,1733.925,10.528,3.744,0,dense_down,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT,4,384,
