run,layer,layer_type,kernels,kernel_us,span_us,device_idle_us,kernel_launch_api_us
decode_b1_nograph,0,conv,12,56.672,548.993,492.321,79.516
decode_b1_nograph,1,conv,12,54.816,291.393,236.577,52.399
decode_b1_nograph,2,attention,17,80.544,1220.26,1139.716,105.981
decode_b1_nograph,3,conv,15,73.313,836.386,763.073,80.847
decode_b1_nograph,4,conv,15,71.52,757.186,685.666,79.739
decode_b1_nograph,5,conv,15,71.744,706.786,635.042,73.562
decode_b1_nograph,6,attention,17,81.473,925.187,843.714,89.595
decode_b1_nograph,7,conv,15,72.097,686.178,614.081,71.771
decode_b1_nograph,8,conv,15,72.32,751.362,679.042,73.766
decode_b1_nograph,9,conv,15,73.249,685.666,612.417,70.539
decode_b1_nograph,10,attention,17,81.153,899.266,818.113,91.499
decode_b1_nograph,11,conv,15,71.936,729.602,657.666,76.751
decode_b1_nograph,12,conv,15,72.064,672.898,600.834,71.705
decode_b1_nograph,13,conv,15,72.8,721.474,648.674,74.317
decode_b1_nograph,14,attention,17,80.896,887.971,807.075,85.151
decode_b1_nograph,15,conv,15,74.528,703.01,628.482,77.996
decode_b1_nograph,16,conv,15,72.416,681.666,609.25,70.688
decode_b1_nograph,17,conv,15,72.001,716.194,644.193,75.18
decode_b1_nograph,18,attention,17,81.024,936.962,855.938,87.505
decode_b1_nograph,19,conv,15,72.896,712.706,639.81,74.579
decode_b1_nograph,20,conv,15,72.864,761.442,688.578,79.997
decode_b1_nograph,21,attention,17,80.192,950.627,870.435,90.928
decode_b1_nograph,22,conv,15,72.288,839.234,766.946,81.875
decode_b1_nograph,23,conv,15,71.905,680.322,608.417,70.728
decode_b1_graph,0,conv,11,62.528,63.616,1.088,0.0
decode_b1_graph,1,conv,11,55.36,56.256,0.992,0.0
decode_b1_graph,2,attention,18,83.614,85.536,2.21,0.0
decode_b1_graph,3,conv,14,72.864,73.696,1.056,0.0
decode_b1_graph,4,conv,14,71.744,72.896,1.248,0.0
decode_b1_graph,5,conv,14,72.576,73.792,1.536,0.0
decode_b1_graph,6,attention,18,83.712,85.665,2.337,0.0
decode_b1_graph,7,conv,14,73.248,74.464,1.376,0.0
decode_b1_graph,8,conv,14,72.574,73.696,1.122,0.0
decode_b1_graph,9,conv,14,73.248,74.464,1.312,0.0
decode_b1_graph,10,attention,18,85.504,87.296,2.336,0.0
decode_b1_graph,11,conv,14,72.671,73.856,1.217,0.0
decode_b1_graph,12,conv,14,73.057,74.049,1.088,0.0
decode_b1_graph,13,conv,14,71.807,73.184,1.409,0.0
decode_b1_graph,14,attention,18,83.646,85.248,2.146,0.0
decode_b1_graph,15,conv,14,73.022,74.208,1.186,0.0
