index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
0,0.0,5.6,38.688,memcpy,memcpy_kind_1,128000,
1,44.288,0.736,25.888,memcpy,memcpy_kind_1,32,
2,70.912,0.736,45.985,memcpy,memcpy_kind_1,16,
3,117.633,0.736,14.336,memcpy,memcpy_kind_1,32,
4,132.705,0.736,148.928,memcpy,memcpy_kind_1,32,
5,282.369,0.736,81.888,memcpy,memcpy_kind_1,2,
6,364.993,2.624,12.032,kernel,other,0,0
7,379.649,2.144,5.344,kernel,other,0,1
8,387.137,2.08,3.104,kernel,other,0,2
9,392.321,2.048,2.464,kernel,other,0,3
10,396.833,2.176,2.912,kernel,other,0,4
11,401.921,2.144,2.112,kernel,other,0,5
12,406.177,2.08,1.888,kernel,other,0,6
13,410.145,2.016,2.144,kernel,other,0,7
14,414.305,2.176,2.592,kernel,other,0,8
15,419.073,2.144,1.664,kernel,other,0,9
16,422.881,2.08,1.92,kernel,other,0,10
17,426.881,2.08,2.144,kernel,other,0,11
18,431.105,2.176,2.368,kernel,other,0,12
19,435.649,2.144,1.889,kernel,other,0,13
20,439.682,2.048,1.856,kernel,other,0,14
21,443.586,2.048,2.4,kernel,other,0,15
22,448.034,2.144,1.728,kernel,other,0,16
23,451.906,2.144,19.68,kernel,other,0,17
24,473.73,0.736,56.448,memcpy,memcpy_kind_1,4,
25,530.914,0.736,15.744,memcpy,memcpy_kind_1,2,
26,547.394,2.048,2.656,kernel,other,0,18
27,552.098,2.08,2.56,kernel,other,0,19
28,556.738,2.144,1.536,kernel,other,0,20
29,560.418,2.144,1.984,kernel,other,0,21
30,564.546,2.016,2.624,kernel,other,0,22
31,569.186,2.016,2.528,kernel,other,0,23
32,573.73,2.144,1.728,kernel,other,0,24
33,577.602,2.176,1.856,kernel,other,0,25
34,581.634,2.048,2.304,kernel,other,0,26
35,585.986,2.048,2.08,kernel,other,0,27
36,590.114,2.144,2.56,kernel,other,0,28
37,594.818,2.112,1.76,kernel,other,0,29
38,598.69,2.016,2.528,kernel,other,0,30
39,603.234,2.048,2.016,kernel,other,0,31
40,607.298,2.144,1.76,kernel,other,0,32
41,611.202,2.144,1.824,kernel,other,0,33
42,615.17,2.048,2.208,kernel,other,0,34
43,619.426,2.048,10.4,kernel,other,0,35
44,631.874,0.736,33.664,memcpy,memcpy_kind_1,4,
45,666.274,0.768,16.16,memcpy,memcpy_kind_1,2,
46,683.202,2.112,2.56,kernel,other,0,36
47,687.874,2.144,2.016,kernel,other,0,37
48,692.034,2.048,2.24,kernel,other,0,38
49,696.322,2.048,1.824,kernel,other,0,39
50,700.194,2.144,1.536,kernel,other,0,40
51,703.874,2.144,2.24,kernel,other,0,41
