Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.0,131572946,38,3462445.9,8745.5,5321,12546619,4385761.4,cudaStreamSynchronize
3.5,4883247,2,2441623.5,2441623.5,48161,4835086,3384867.1,cudaDeviceSynchronize
1.2,1699973,325,5230.7,4514.0,2623,40771,3215.8,cudaLaunchKernel
0.4,625989,121,5173.5,4864.0,3236,14698,1692.3,cuLaunchKernelEx
0.4,516264,67,7705.4,6185.0,2464,55001,6857.9,cudaMemcpyAsync
0.2,348408,73,4772.7,4538.0,3353,11780,1365.7,cudaLaunchKernelExC_v11060
0.2,297764,53,5618.2,5491.0,2890,14542,1682.9,cudaMemsetAsync
0.0,25237,150,168.2,131.0,76,955,113.0,cuKernelGetAttribute
0.0,13945,30,464.8,165.5,151,2528,643.9,cudaGetDriverEntryPoint_v11030
0.0,11006,30,366.9,109.0,98,2058,558.7,cuTensorMapEncodeTiled
0.0,5396,1,5396.0,5396.0,5396,5396,0.0,cuProfilerStart
