Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.0,105167513,44,2390170.8,2385047.5,1587141,3195114,798434.7,fused_moe_kernel
6.1,9467612,18,525978.4,523121.0,518337,536738,6196.1,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN
5.1,7877146,28,281326.6,179376.5,169825,1198500,280014.3,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN
3.7,5722673,36,158963.1,159760.5,88608,228096,68684.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.0,4683951,13,360303.9,156288.0,41280,618530,249995.8,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
3.0,4576204,30,152540.1,220288.0,21344,224064,87047.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.5,3835435,6,639239.2,627537.5,605890,684674,35252.6,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)192>, cute::C<(int)128>, cute::C<(int)64>>, (int)64, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)192>, cute::C<(int)64>, cute::C<(int)128>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)384, (bool)1, (bool)1, (bool)0, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)192, (int)128, (int)384, (int)128, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1>>>>(T1::Params)"
2.4,3720620,24,155025.8,155088.5,153601,156416,850.8,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)"
1.9,2997032,48,62438.2,62224.0,60896,64416,965.5,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
1.1,1662725,22,75578.4,75680.0,73409,76832,843.9,"void moe_sum_reduce_warp_per_token_vec_kernel<(int)8>(const c10::BFloat16 *, c10::BFloat16 *, long, long, long, long, long, long, float)"
1.0,1585861,6,264310.2,261041.0,258305,273057,6646.7,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
0.7,1080130,18,60007.2,59680.0,57760,63072,1751.4,"void causal_conv1d_fwd_kernel<Causal_conv1d_fwd_kernel_traits<(int)128, (int)3, (bool)0, c10::BFloat16, c10::BFloat16>>(ConvParamsBase)"
0.4,615875,22,27994.3,28288.0,20448,35873,4564.3,"void count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, unsigned long)"
0.3,455618,22,20709.9,20480.5,20128,21921,564.9,nvjet_tst_32x128_64x10_1x2_h_bz_TNN
0.2,338336,22,15378.9,15376.0,14624,16000,415.3,"void moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int, int, unsigned long, int *, bool, int, int)"
0.2,337953,6,56325.5,56288.5,55456,57376,749.9,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)64, (unsigned int)8, (unsigned int)8, __nv_bfloat16, long>(T5 *, T5 *, T5 *, T5 *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.1,151488,72,2104.0,2096.0,2016,2624,81.6,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,134688,1,134688.0,134688.0,134688,134688,0.0,nvjet_tst_256x8_64x6_2x1_v_bz_TNT
0.1,98656,6,16442.7,16304.0,15808,17536,666.2,"void <unnamed>::store_kvcache<(long)1024, (int)2, (bool)1, long>(<unnamed>::StoreKVCacheParams)"
0.0,71745,22,3261.1,3248.0,3040,3552,144.0,"void topkGatingSigmoid<__nv_bfloat16, (int)8, (int)32, (int)4, (int)16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, const float *)"
0.0,36704,3,12234.7,1728.0,1696,33280,18225.8,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,29888,1,29888.0,29888.0,29888,29888,0.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,23488,20,1174.4,1152.0,960,1792,173.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,20704,6,3450.7,3408.0,3232,3840,205.8,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)"
0.0,5696,1,5696.0,5696.0,5696,5696,0.0,write_req_to_token_pool_triton
