index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
0,0.0,2.624,12.032,,,other,index_elementwise_kernel,8,128,
1,14.656,2.144,5.344,,,other,index_elementwise_kernel,8,128,
2,22.144,2.08,3.104,,,other,index_elementwise_kernel,8,128,
3,27.328,2.048,2.464,,,other,index_elementwise_kernel,8,128,
4,31.84,2.176,2.912,,,other,index_elementwise_kernel,8,128,
5,36.928,2.144,2.112,,,other,index_elementwise_kernel,8,128,
6,41.184,2.08,1.888,,,other,index_elementwise_kernel,8,128,
7,45.152,2.016,2.144,,,other,index_elementwise_kernel,8,128,
8,49.312,2.176,2.592,,,other,index_elementwise_kernel,8,128,
9,54.08,2.144,1.664,,,other,index_elementwise_kernel,8,128,
10,57.888,2.08,1.92,,,other,index_elementwise_kernel,8,128,
11,61.888,2.08,2.144,,,other,index_elementwise_kernel,8,128,
12,66.112,2.176,2.368,,,other,index_elementwise_kernel,8,128,
13,70.656,2.144,1.889,,,other,index_elementwise_kernel,8,128,
14,74.689,2.048,1.856,,,other,index_elementwise_kernel,8,128,
15,78.593,2.048,2.4,,,other,index_elementwise_kernel,8,128,
16,83.041,2.144,1.728,,,other,index_elementwise_kernel,8,128,
17,86.913,2.144,93.344,,,other,index_elementwise_kernel,8,128,
18,182.401,2.048,2.656,,,other,index_elementwise_kernel,8,128,
19,187.105,2.08,2.56,,,other,index_elementwise_kernel,8,128,
20,191.745,2.144,1.536,,,other,index_elementwise_kernel,8,128,
21,195.425,2.144,1.984,,,other,index_elementwise_kernel,8,128,
22,199.553,2.016,2.624,,,other,index_elementwise_kernel,8,128,
23,204.193,2.016,2.528,,,other,index_elementwise_kernel,8,128,
24,208.737,2.144,1.728,,,other,index_elementwise_kernel,8,128,
25,212.609,2.176,1.856,,,other,index_elementwise_kernel,8,128,
26,216.641,2.048,2.304,,,other,index_elementwise_kernel,8,128,
27,220.993,2.048,2.08,,,other,index_elementwise_kernel,8,128,
28,225.121,2.144,2.56,,,other,index_elementwise_kernel,8,128,
29,229.825,2.112,1.76,,,other,index_elementwise_kernel,8,128,
30,233.697,2.016,2.528,,,other,index_elementwise_kernel,8,128,
31,238.241,2.048,2.016,,,other,index_elementwise_kernel,8,128,
32,242.305,2.144,1.76,,,other,index_elementwise_kernel,8,128,
33,246.209,2.144,1.824,,,other,index_elementwise_kernel,8,128,
34,250.177,2.048,2.208,,,other,index_elementwise_kernel,8,128,
35,254.433,2.048,61.728,,,other,index_elementwise_kernel,8,128,
36,318.209,2.112,2.56,,,other,index_elementwise_kernel,8,128,
37,322.881,2.144,2.016,,,other,index_elementwise_kernel,8,128,
38,327.041,2.048,2.24,,,other,index_elementwise_kernel,8,128,
39,331.329,2.048,1.824,,,other,index_elementwise_kernel,8,128,
40,335.201,2.144,1.536,,,other,index_elementwise_kernel,8,128,
41,338.881,2.144,2.24,,,other,index_elementwise_kernel,8,128,
42,343.265,2.048,2.4,,,other,index_elementwise_kernel,8,128,
43,347.713,2.048,1.696,,,other,index_elementwise_kernel,8,128,
44,351.457,2.144,2.144,,,other,index_elementwise_kernel,8,128,
45,355.745,2.144,1.344,,,other,index_elementwise_kernel,8,128,
46,359.233,2.048,1.632,,,other,index_elementwise_kernel,8,128,
47,362.913,2.016,2.112,,,other,index_elementwise_kernel,8,128,
48,367.041,2.176,2.08,,,other,index_elementwise_kernel,8,128,
49,371.297,2.144,1.408,,,other,index_elementwise_kernel,8,128,
50,374.849,2.048,1.632,,,other,index_elementwise_kernel,8,128,
51,378.529,2.08,2.432,,,other,index_elementwise_kernel,8,128,
52,383.041,2.176,1.312,,,other,index_elementwise_kernel,8,128,
53,386.529,2.112,54.785,,,other,index_elementwise_kernel,8,128,
54,443.426,2.048,2.592,,,other,index_elementwise_kernel,8,128,
55,448.066,2.016,2.016,,,other,index_elementwise_kernel,8,128,
56,452.098,2.176,1.76,,,other,index_elementwise_kernel,8,128,
57,456.034,2.144,2.208,,,other,index_elementwise_kernel,8,128,
58,460.386,2.048,2.592,,,other,index_elementwise_kernel,8,128,
59,465.026,2.08,2.048,,,other,index_elementwise_kernel,8,128,
60,469.154,2.144,1.696,,,other,index_elementwise_kernel,8,128,
61,472.994,2.112,1.728,,,other,index_elementwise_kernel,8,128,
62,476.834,2.048,1.824,,,other,index_elementwise_kernel,8,128,
63,480.706,2.048,1.728,,,other,index_elementwise_kernel,8,128,
64,484.482,2.144,1.728,,,other,index_elementwise_kernel,8,128,
65,488.354,2.144,1.536,,,other,index_elementwise_kernel,8,128,
66,492.034,2.048,1.568,,,other,index_elementwise_kernel,8,128,
67,495.65,2.048,2.208,,,other,index_elementwise_kernel,8,128,
68,499.906,2.144,1.472,,,other,index_elementwise_kernel,8,128,
69,503.522,2.144,1.856,,,other,index_elementwise_kernel,8,128,
70,507.522,2.048,2.112,,,other,index_elementwise_kernel,8,128,
71,511.682,2.016,164.288,,,other,index_elementwise_kernel,8,128,
72,677.986,1.504,163.777,,,other,index_elementwise_kernel,1,128,
73,843.267,5.696,407.617,,,other,write_req_to_token_pool_triton,4,128,
74,1256.58,1.504,75.008,,,other,compute_position_kernel,4,128,
75,1333.092,0.96,57.856,,,copy_int,unrolled_elementwise_kernel,1,128,
76,1391.908,0.96,27.009,,,copy_int,unrolled_elementwise_kernel,1,128,
77,1419.877,0.736,23.68,,,other,DeviceScanInitKernel,1,128,
78,1444.293,1.568,40.96,,,other,DeviceScanKernel,1,128,
79,1486.821,0.768,74.048,,,other,vectorized_elementwise_kernel,1,128,
80,1561.637,1.728,31.168,,,other,vectorized_gather_kernel,4,256,
81,1594.533,1.696,66.944,,,other,index_elementwise_kernel,1,128,
82,1663.173,0.832,59.2,,,other,unrolled_elementwise_kernel,1,128,
83,1723.205,0.928,61.985,,,other,vectorized_elementwise_kernel,1,128,
84,1786.118,2.016,67.296,,,other,reduce_kernel,1,4,
85,1855.43,0.608,33.28,,,other,elementwise_kernel_with_index,1,64,
86,1889.318,0.896,41.344,,,other,unrolled_elementwise_kernel,1,128,
87,1931.558,1.344,18.464,,,copy,unrolled_elementwise_kernel,1,128,
88,1951.366,0.768,9.696,,,other,DeviceScanInitKernel,1,128,
89,1961.83,1.312,15.456,,,other,DeviceScanKernel,1,128,
90,1978.598,2.208,44.128,,,other,compute_cuda_kernel,1,512,
91,2024.934,3.968,133.761,,,other,_scatter_gather_elementwise_kernel,16,128,
92,2162.663,33.28,85.184,,,other,vectorized_gather_kernel,16000,256,
