index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
0,0.0,5.376,45.889,memcpy,memcpy_kind_1,128000,
1,51.265,0.736,33.024,memcpy,memcpy_kind_1,32,
2,85.025,0.768,35.36,memcpy,memcpy_kind_1,16,
3,121.153,0.736,12.896,memcpy,memcpy_kind_1,32,
4,134.785,0.736,138.048,memcpy,memcpy_kind_1,32,
5,273.569,0.768,82.177,memcpy,memcpy_kind_1,2,
6,356.514,3.008,11.84,kernel,other,0,0
7,371.362,2.048,4.032,kernel,other,0,1
8,377.442,2.144,2.368,kernel,other,0,2
9,381.954,2.112,2.656,kernel,other,0,3
10,386.722,2.08,3.392,kernel,other,0,4
11,392.194,2.048,1.664,kernel,other,0,5
12,395.906,2.144,2.08,kernel,other,0,6
13,400.13,2.112,2.816,kernel,other,0,7
14,405.058,2.08,2.528,kernel,other,0,8
15,409.666,2.016,1.76,kernel,other,0,9
16,413.442,2.144,2.304,kernel,other,0,10
17,417.89,2.144,1.984,kernel,other,0,11
18,422.018,2.016,2.464,kernel,other,0,12
19,426.498,2.048,2.016,kernel,other,0,13
20,430.562,2.112,2.432,kernel,other,0,14
21,435.106,2.112,2.752,kernel,other,0,15
22,439.97,2.016,3.584,kernel,other,0,16
23,445.57,2.016,20.64,kernel,other,0,17
24,468.226,0.768,63.2,memcpy,memcpy_kind_1,4,
25,532.194,0.768,16.704,memcpy,memcpy_kind_1,2,
26,549.666,2.112,3.136,kernel,other,0,18
27,554.914,2.112,2.4,kernel,other,0,19
28,559.426,2.08,2.336,kernel,other,0,20
29,563.842,2.016,2.528,kernel,other,0,21
30,568.386,2.144,2.304,kernel,other,0,22
31,572.834,2.144,3.68,kernel,other,0,23
32,578.658,2.016,2.368,kernel,other,0,24
33,583.042,2.016,2.4,kernel,other,0,25
34,587.458,2.112,2.592,kernel,other,0,26
35,592.162,2.144,2.144,kernel,other,0,27
36,596.45,2.048,2.24,kernel,other,0,28
37,600.738,2.048,1.824,kernel,other,0,29
38,604.61,2.112,2.4,kernel,other,0,30
39,609.122,2.112,4.192,kernel,other,0,31
40,615.426,2.08,2.624,kernel,other,0,32
41,620.13,2.048,2.464,kernel,other,0,33
42,624.642,2.144,1.888,kernel,other,0,34
43,628.674,2.112,11.072,kernel,other,0,35
44,641.858,0.768,35.937,memcpy,memcpy_kind_1,4,
45,678.563,0.736,17.664,memcpy,memcpy_kind_1,2,
46,696.963,2.048,2.784,kernel,other,0,36
