Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.0,131576618,38,3462542.6,8847.0,4075,12244859,4377565.5,cudaStreamSynchronize
3.5,4924271,2,2462135.5,2462135.5,38125,4886146,3428068.5,cudaDeviceSynchronize
1.2,1662977,325,5116.9,4452.0,2932,36646,2619.0,cudaLaunchKernel
0.4,620445,121,5127.6,4879.0,3518,10311,1285.6,cuLaunchKernelEx
0.4,526173,67,7853.3,6446.0,2628,51322,6440.5,cudaMemcpyAsync
0.3,353934,73,4848.4,4482.0,3216,9333,1149.5,cudaLaunchKernelExC_v11060
0.2,318036,53,6000.7,5777.0,3198,16979,2019.7,cudaMemsetAsync
0.0,23384,150,155.9,138.0,63,896,95.5,cuKernelGetAttribute
0.0,12845,30,428.2,184.5,152,1907,512.6,cudaGetDriverEntryPoint_v11030
0.0,11550,30,385.0,119.0,102,1732,545.0,cuTensorMapEncodeTiled
0.0,5008,1,5008.0,5008.0,5008,5008,0.0,cuProfilerStart
