Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.8,105277410,44,2392668.4,2386119.0,1594852,3198506,798754.5,fused_moe_kernel
6.2,9577917,18,532106.5,528241.5,520066,548162,10871.8,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN
5.1,7929661,28,283202.2,182832.5,169248,1194659,278513.9,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN
3.7,5760942,36,160026.2,160256.5,89120,229761,68781.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.0,4683726,13,360286.6,156257.0,40897,618434,250035.3,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
3.0,4586577,30,152885.9,220129.0,21792,225473,86823.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.5,3939724,6,656620.7,659730.0,607490,704258,39700.9,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)192>, cute::C<(int)128>, cute::C<(int)64>>, (int)64, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)192>, cute::C<(int)64>, cute::C<(int)128>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)384, (bool)1, (bool)1, (bool)0, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)192, (int)128, (int)384, (int)128, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1>>>>(T1::Params)"
2.4,3722406,24,155100.3,155408.5,153472,156448,973.6,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)"
1.9,3013800,48,62787.5,62496.0,60736,65089,1098.3,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
1.1,1658275,22,75376.1,75504.5,73536,76992,1025.1,"void moe_sum_reduce_warp_per_token_vec_kernel<(int)8>(const c10::BFloat16 *, c10::BFloat16 *, long, long, long, long, long, long, float)"
1.0,1605989,6,267664.8,266000.5,258689,278913,8581.5,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
0.7,1096964,18,60942.4,61360.0,57920,63969,2314.1,"void causal_conv1d_fwd_kernel<Causal_conv1d_fwd_kernel_traits<(int)128, (int)3, (bool)0, c10::BFloat16, c10::BFloat16>>(ConvParamsBase)"
0.4,614434,22,27928.8,28272.0,20416,36096,4570.7,"void count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, unsigned long)"
0.3,456448,22,20747.6,20528.0,19936,22176,702.9,nvjet_tst_32x128_64x10_1x2_h_bz_TNN
0.2,341025,6,56837.5,57152.5,55584,57728,808.7,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)64, (unsigned int)8, (unsigned int)8, __nv_bfloat16, long>(T5 *, T5 *, T5 *, T5 *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.2,340321,22,15469.1,15536.5,14528,16096,495.2,"void moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int, int, unsigned long, int *, bool, int, int)"
0.1,151104,72,2098.7,2112.0,2016,3008,116.7,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,135777,1,135777.0,135777.0,135777,135777,0.0,nvjet_tst_256x8_64x6_2x1_v_bz_TNT
0.1,95584,6,15930.7,15952.0,15712,16160,178.1,"void <unnamed>::store_kvcache<(long)1024, (int)2, (bool)1, long>(<unnamed>::StoreKVCacheParams)"
0.0,73248,22,3329.5,3376.0,3104,3520,150.9,"void topkGatingSigmoid<__nv_bfloat16, (int)8, (int)32, (int)4, (int)16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, const float *)"
