index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
0,0.0,3.008,11.84,,,other,index_elementwise_kernel,8,128,
1,14.848,2.048,4.032,,,other,index_elementwise_kernel,8,128,
2,20.928,2.144,2.368,,,other,index_elementwise_kernel,8,128,
3,25.44,2.112,2.656,,,other,index_elementwise_kernel,8,128,
4,30.208,2.08,3.392,,,other,index_elementwise_kernel,8,128,
5,35.68,2.048,1.664,,,other,index_elementwise_kernel,8,128,
6,39.392,2.144,2.08,,,other,index_elementwise_kernel,8,128,
7,43.616,2.112,2.816,,,other,index_elementwise_kernel,8,128,
8,48.544,2.08,2.528,,,other,index_elementwise_kernel,8,128,
9,53.152,2.016,1.76,,,other,index_elementwise_kernel,8,128,
10,56.928,2.144,2.304,,,other,index_elementwise_kernel,8,128,
11,61.376,2.144,1.984,,,other,index_elementwise_kernel,8,128,
12,65.504,2.016,2.464,,,other,index_elementwise_kernel,8,128,
13,69.984,2.048,2.016,,,other,index_elementwise_kernel,8,128,
14,74.048,2.112,2.432,,,other,index_elementwise_kernel,8,128,
15,78.592,2.112,2.752,,,other,index_elementwise_kernel,8,128,
16,83.456,2.016,3.584,,,other,index_elementwise_kernel,8,128,
17,89.056,2.016,102.08,,,other,index_elementwise_kernel,8,128,
18,193.152,2.112,3.136,,,other,index_elementwise_kernel,8,128,
19,198.4,2.112,2.4,,,other,index_elementwise_kernel,8,128,
20,202.912,2.08,2.336,,,other,index_elementwise_kernel,8,128,
21,207.328,2.016,2.528,,,other,index_elementwise_kernel,8,128,
22,211.872,2.144,2.304,,,other,index_elementwise_kernel,8,128,
23,216.32,2.144,3.68,,,other,index_elementwise_kernel,8,128,
24,222.144,2.016,2.368,,,other,index_elementwise_kernel,8,128,
25,226.528,2.016,2.4,,,other,index_elementwise_kernel,8,128,
26,230.944,2.112,2.592,,,other,index_elementwise_kernel,8,128,
27,235.648,2.144,2.144,,,other,index_elementwise_kernel,8,128,
28,239.936,2.048,2.24,,,other,index_elementwise_kernel,8,128,
29,244.224,2.048,1.824,,,other,index_elementwise_kernel,8,128,
30,248.096,2.112,2.4,,,other,index_elementwise_kernel,8,128,
31,252.608,2.112,4.192,,,other,index_elementwise_kernel,8,128,
32,258.912,2.08,2.624,,,other,index_elementwise_kernel,8,128,
33,263.616,2.048,2.464,,,other,index_elementwise_kernel,8,128,
34,268.128,2.144,1.888,,,other,index_elementwise_kernel,8,128,
35,272.16,2.112,66.177,,,other,index_elementwise_kernel,8,128,
36,340.449,2.048,2.784,,,other,index_elementwise_kernel,8,128,
37,345.281,2.048,2.048,,,other,index_elementwise_kernel,8,128,
38,349.377,2.144,1.888,,,other,index_elementwise_kernel,8,128,
39,353.409,2.112,2.368,,,other,index_elementwise_kernel,8,128,
40,357.889,2.048,2.24,,,other,index_elementwise_kernel,8,128,
41,362.177,2.048,2.464,,,other,index_elementwise_kernel,8,128,
42,366.689,2.112,2.144,,,other,index_elementwise_kernel,8,128,
43,370.945,2.112,1.952,,,other,index_elementwise_kernel,8,128,
44,375.009,2.08,2.304,,,other,index_elementwise_kernel,8,128,
45,379.393,2.08,3.168,,,other,index_elementwise_kernel,8,128,
46,384.641,2.112,2.048,,,other,index_elementwise_kernel,8,128,
47,388.801,2.112,2.496,,,other,index_elementwise_kernel,8,128,
48,393.409,2.08,2.432,,,other,index_elementwise_kernel,8,128,
49,397.921,2.016,2.048,,,other,index_elementwise_kernel,8,128,
50,401.985,2.112,2.016,,,other,index_elementwise_kernel,8,128,
51,406.113,2.112,2.144,,,other,index_elementwise_kernel,8,128,
52,410.369,2.048,2.24,,,other,index_elementwise_kernel,8,128,
53,414.657,2.048,59.008,,,other,index_elementwise_kernel,8,128,
54,475.713,2.144,2.656,,,other,index_elementwise_kernel,8,128,
55,480.513,2.112,3.072,,,other,index_elementwise_kernel,8,128,
56,485.697,2.08,2.24,,,other,index_elementwise_kernel,8,128,
57,490.017,2.048,2.336,,,other,index_elementwise_kernel,8,128,
58,494.401,2.112,1.92,,,other,index_elementwise_kernel,8,128,
59,498.433,2.112,2.368,,,other,index_elementwise_kernel,8,128,
60,502.913,2.048,4.0,,,other,index_elementwise_kernel,8,128,
61,508.961,2.08,2.656,,,other,index_elementwise_kernel,8,128,
62,513.697,2.144,2.56,,,other,index_elementwise_kernel,8,128,
63,518.401,2.112,2.368,,,other,index_elementwise_kernel,8,128,
64,522.881,2.08,2.016,,,other,index_elementwise_kernel,8,128,
65,526.977,2.016,2.304,,,other,index_elementwise_kernel,8,128,
66,531.297,2.112,2.496,,,other,index_elementwise_kernel,8,128,
67,535.905,2.112,1.984,,,other,index_elementwise_kernel,8,128,
68,540.001,2.048,2.176,,,other,index_elementwise_kernel,8,128,
69,544.225,2.016,2.432,,,other,index_elementwise_kernel,8,128,
70,548.673,2.144,1.728,,,other,index_elementwise_kernel,8,128,
71,552.545,2.112,173.793,,,other,index_elementwise_kernel,8,128,
72,728.45,1.376,172.96,,,other,index_elementwise_kernel,1,128,
73,902.786,5.312,441.41,,,other,write_req_to_token_pool_triton,4,128,
74,1349.508,1.568,73.856,,,other,compute_position_kernel,4,128,
75,1424.932,0.96,59.392,,,copy_int,unrolled_elementwise_kernel,1,128,
76,1485.284,0.864,26.08,,,copy_int,unrolled_elementwise_kernel,1,128,
77,1512.228,0.672,15.712,,,other,DeviceScanInitKernel,1,128,
78,1528.612,1.504,41.056,,,other,DeviceScanKernel,1,128,
79,1571.172,0.704,76.832,,,other,vectorized_elementwise_kernel,1,128,
80,1648.708,1.601,33.888,,,other,vectorized_gather_kernel,4,256,
81,1684.197,1.632,63.84,,,other,index_elementwise_kernel,1,128,
82,1749.669,0.832,60.576,,,other,unrolled_elementwise_kernel,1,128,
83,1811.077,1.024,34.432,,,other,vectorized_elementwise_kernel,1,128,
84,1846.533,2.24,66.912,,,other,reduce_kernel,1,4,
85,1915.685,0.608,28.128,,,other,elementwise_kernel_with_index,1,64,
86,1944.421,1.056,43.393,,,other,unrolled_elementwise_kernel,1,128,
87,1988.87,1.248,15.584,,,copy,unrolled_elementwise_kernel,1,128,
88,2005.702,0.672,9.504,,,other,DeviceScanInitKernel,1,128,
89,2015.878,1.152,15.04,,,other,DeviceScanKernel,1,128,
90,2032.07,2.176,40.64,,,other,compute_cuda_kernel,1,512,
91,2074.886,3.84,128.384,,,other,_scatter_gather_elementwise_kernel,16,128,
92,2207.11,32.672,73.184,,,other,vectorized_gather_kernel,16000,256,
93,2312.966,40.897,155.712,0,operator_norm,rmsnorm,RMSNormKernel,16000,32,
94,2509.575,524.002,1.184,0,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
95,3034.761,89.568,1.12,0,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
96,3125.449,225.473,33.088,0,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
97,3384.01,1.088,43.136,0,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
98,3428.234,59.008,1.024,0,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
99,3488.266,225.089,4.064,0,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
100,3717.419,169.248,-0.128,0,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
101,3886.539,60.736,4.288,0,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
102,3951.563,1192.868,1.568,0,dense_gate_up,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
103,5145.999,156.416,4.096,0,dense_activation,act_and_mul,act_and_mul_kernel,16000,896,
104,5306.511,590.466,-0.16,0,dense_down,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
105,5896.817,61.504,4.032,1,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
106,5962.353,523.106,1.984,1,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
107,6487.443,89.12,1.952,1,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
108,6578.515,220.065,38.464,1,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
109,6837.044,1.248,25.312,1,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
110,6863.604,58.464,1.312,1,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
111,6923.38,225.665,4.192,1,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
112,7153.237,173.825,-0.16,1,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
113,7326.902,62.112,4.448,1,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
114,7393.462,1194.659,2.048,1,dense_gate_up,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
