run,index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
decode_b1_nograph,39,2102.534,2.24,34.848,2,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
decode_b1_nograph,40,2139.622,5.856,55.104,2,attn_qkv_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
decode_b1_nograph,41,2200.582,1.728,22.593,2,attn_q_norm,rmsnorm,RMSNormKernel,32,32,
decode_b1_nograph,42,2224.903,1.6,92.064,2,attn_k_norm,rmsnorm,RMSNormKernel,8,32,
decode_b1_nograph,43,2318.567,1.568,82.24,2,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1,8,
decode_b1_nograph,44,2402.375,0.96,89.44,2,attn_store_kv,store_kv,store_kvcache,1,128,
decode_b1_nograph,45,2492.775,2.752,18.592,2,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
decode_b1_nograph,46,2514.119,7.616,57.569,2,attn_kernel,attention,device_kernel,132,512,
decode_b1_nograph,47,2579.304,5.6,24.448,2,attn_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
decode_b1_nograph,48,2609.352,2.048,38.144,2,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
decode_b1_nograph,49,2649.544,5.088,55.136,2,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,
decode_b1_nograph,50,2709.768,1.984,204.544,2,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,
decode_b1_nograph,51,2916.296,4.224,139.713,2,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,
decode_b1_nograph,52,3060.233,20.256,6.208,2,moe_up,fused_moe,fused_moe_kernel,448,128,
decode_b1_nograph,53,3086.697,1.376,66.976,2,moe_activation,act_and_mul,act_and_mul_kernel,4,224,
decode_b1_nograph,54,3155.049,14.656,152.097,2,moe_down,fused_moe,fused_moe_kernel,256,128,
decode_b1_nograph,55,3321.802,0.992,124.96,2,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,16,128,
decode_b1_graph,38,1907.716,2.4,0.096,2,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500695
decode_b1_graph,39,1910.212,6.144,-0.16,2,attn_qkv_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500696
decode_b1_graph,40,1916.196,2.016,0.256,2,attn_q_norm,rmsnorm,RMSNormKernel,32,32,459561500697
decode_b1_graph,41,1918.468,1.696,0.064,2,attn_k_norm,rmsnorm,RMSNormKernel,8,32,459561500698
decode_b1_graph,42,1920.228,1.696,0.224,2,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1,8,459561500699
decode_b1_graph,43,1922.148,1.088,0.128,2,attn_store_kv,store_kv,store_kvcache,1,128,459561500700
decode_b1_graph,44,1923.364,3.232,-0.128,2,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,459561500701
decode_b1_graph,45,1926.468,7.968,0.512,2,attn_kernel,attention,device_kernel,132,512,459561500702
decode_b1_graph,46,1934.948,0.896,0.16,2,attn_combine,attention_combine,device_kernel,2,256,459561500703
decode_b1_graph,47,1936.004,5.536,0.224,2,attn_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500704
decode_b1_graph,48,1941.764,2.016,0.096,2,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500705
decode_b1_graph,49,1943.876,5.152,0.128,2,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500706
decode_b1_graph,50,1949.156,2.112,0.096,2,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500707
decode_b1_graph,51,1951.364,4.32,0.096,2,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500708
decode_b1_graph,52,1955.78,20.223,0.001,2,moe_up,fused_moe,fused_moe_kernel,448,128,459561500709
decode_b1_graph,53,1976.004,1.407,0.001,2,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500710
decode_b1_graph,54,1977.412,14.72,0.128,2,moe_down,fused_moe,fused_moe_kernel,256,128,459561500711
decode_b1_graph,55,1992.26,0.992,0.352,2,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500712
