run,index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
decode_b1_nograph,56,3447.754,2.528,75.904,3,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
decode_b1_nograph,57,3526.186,8.96,22.496,3,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
decode_b1_nograph,58,3557.642,0.992,26.944,3,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,
decode_b1_nograph,59,3585.578,1.152,21.216,3,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
decode_b1_nograph,60,3607.946,2.88,17.376,3,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,
decode_b1_nograph,61,3628.202,1.088,35.937,3,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,
decode_b1_nograph,62,3665.227,5.6,21.856,3,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
decode_b1_nograph,63,3692.683,1.92,32.608,3,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
decode_b1_nograph,64,3727.211,4.8,38.4,3,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,
decode_b1_nograph,65,3770.411,1.984,145.344,3,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,
decode_b1_nograph,66,3917.739,4.384,79.584,3,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,
decode_b1_nograph,67,4001.707,19.841,5.28,3,moe_up,fused_moe,fused_moe_kernel,448,128,
decode_b1_nograph,68,4026.828,1.408,59.04,3,moe_activation,act_and_mul,act_and_mul_kernel,4,224,
decode_b1_nograph,69,4087.276,14.752,181.088,3,moe_down,fused_moe,fused_moe_kernel,256,128,
decode_b1_nograph,70,4283.116,1.024,126.817,3,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,16,128,
decode_b1_graph,56,1993.604,2.4,0.128,3,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500713
decode_b1_graph,57,1996.132,9.28,0.064,3,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500714
decode_b1_graph,58,2005.476,1.12,0.096,3,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500715
decode_b1_graph,59,2006.692,2.432,0.032,3,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500716
decode_b1_graph,60,2009.156,1.088,0.128,3,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500717
decode_b1_graph,61,2010.372,5.568,0.256,3,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500718
decode_b1_graph,62,2016.196,1.952,0.064,3,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500719
decode_b1_graph,63,2018.212,4.96,0.096,3,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500720
decode_b1_graph,64,2023.268,2.08,0.064,3,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500721
decode_b1_graph,65,2025.412,4.416,0.064,3,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500722
decode_b1_graph,66,2029.892,19.776,-0.064,3,moe_up,fused_moe,fused_moe_kernel,448,128,459561500723
decode_b1_graph,67,2049.604,1.6,-0.16,3,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500724
decode_b1_graph,68,2051.044,15.104,0.064,3,moe_down,fused_moe,fused_moe_kernel,256,128,459561500725
decode_b1_graph,69,2066.212,1.088,0.224,3,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500726
prefill_b4x4000_nograph,137,16549.073,63.84,4.928,3,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
