run,role,calls,total_us,pct_kernel,avg_us
decode_b1_nograph,attn_k_norm,6,10.144,0.5254,1.691
decode_b1_nograph,attn_kernel,6,44.384,2.2989,7.397
decode_b1_nograph,attn_out_proj,6,33.536,1.737,5.589
decode_b1_nograph,attn_prepare,6,16.352,0.8469,2.725
decode_b1_nograph,attn_q_norm,6,10.784,0.5586,1.797
decode_b1_nograph,attn_qkv_proj,6,35.136,1.8199,5.856
decode_b1_nograph,attn_rope,6,10.016,0.5188,1.669
decode_b1_nograph,attn_store_kv,6,6.336,0.3282,1.056
decode_b1_nograph,conv_b_gate_mul,18,17.728,0.9182,0.985
decode_b1_nograph,conv_c_gate_mul,18,18.912,0.9795,1.051
decode_b1_nograph,conv_cache_indices_cast,18,20.288,1.0508,1.127
decode_b1_nograph,conv_in_proj,18,163.105,8.448,9.061
decode_b1_nograph,conv_kernel,18,44.896,2.3254,2.494
decode_b1_nograph,conv_out_proj,18,99.2,5.138,5.511
decode_b1_nograph,dense_activation,2,3.328,0.1724,1.664
decode_b1_nograph,dense_down,2,21.216,1.0989,10.608
decode_b1_nograph,dense_down_splitk_reduce,2,3.136,0.1624,1.568
decode_b1_nograph,dense_gate_up,2,34.816,1.8033,17.408
decode_b1_nograph,ffn_norm,24,47.04,2.4364,1.96
decode_b1_nograph,final_norm,1,2.272,0.1177,2.272
decode_b1_nograph,lm_head,1,123.616,6.4027,123.616
decode_b1_nograph,moe_activation,22,28.288,1.4652,1.286
decode_b1_nograph,moe_align,22,96.385,4.9922,4.381
decode_b1_nograph,moe_down,22,325.825,16.876,14.81
decode_b1_nograph,moe_router,22,107.648,5.5756,4.893
decode_b1_nograph,moe_sum,22,21.378,1.1073,0.972
decode_b1_nograph,moe_topk,22,46.112,2.3884,2.096
decode_b1_nograph,moe_up,22,437.41,22.6556,19.882
decode_b1_nograph,operator_norm,24,53.312,2.7613,2.221
decode_b1_nograph,unassigned:argmax,1,27.649,1.4321,27.649
decode_b1_nograph,unassigned:copy,1,3.712,0.1923,3.712
decode_b1_nograph,unassigned:copy_int,3,2.88,0.1492,0.96
decode_b1_nograph,unassigned:other,12,13.856,0.7177,1.155
decode_b1_graph,attn_combine,6,5.696,0.2896,0.949
decode_b1_graph,attn_k_norm,6,10.368,0.5272,1.728
decode_b1_graph,attn_kernel,6,48.192,2.4506,8.032
decode_b1_graph,attn_out_proj,6,34.432,1.7509,5.739
decode_b1_graph,attn_prepare,6,19.873,1.0106,3.312
decode_b1_graph,attn_q_norm,6,11.424,0.5809,1.904
decode_b1_graph,attn_qkv_proj,6,36.16,1.8388,6.027
decode_b1_graph,attn_rope,6,10.72,0.5451,1.787
decode_b1_graph,attn_store_kv,6,6.592,0.3352,1.099
decode_b1_graph,conv_b_gate_mul,18,19.488,0.991,1.083
decode_b1_graph,conv_c_gate_mul,18,19.392,0.9861,1.077
decode_b1_graph,conv_in_proj,18,163.456,8.3118,9.081
decode_b1_graph,conv_kernel,18,46.912,2.3855,2.606
decode_b1_graph,conv_out_proj,18,102.688,5.2217,5.705
decode_b1_graph,dense_activation,2,3.648,0.1855,1.824
decode_b1_graph,dense_down,2,21.056,1.0707,10.528
decode_b1_graph,dense_down_splitk_reduce,2,3.52,0.179,1.76
decode_b1_graph,dense_gate_up,2,37.344,1.899,18.672
decode_b1_graph,ffn_norm,24,49.664,2.5254,2.069
decode_b1_graph,final_norm,1,2.528,0.1285,2.528
decode_b1_graph,lm_head,1,122.017,6.2046,122.017
decode_b1_graph,moe_activation,22,32.089,1.6317,1.459
decode_b1_graph,moe_align,22,98.944,5.0313,4.497
decode_b1_graph,moe_down,22,323.264,16.4381,14.694
decode_b1_graph,moe_router,22,112.448,5.718,5.111
decode_b1_graph,moe_sum,22,23.264,1.183,1.057
decode_b1_graph,moe_topk,22,48.961,2.4897,2.225
decode_b1_graph,moe_up,22,442.394,22.4959,20.109
decode_b1_graph,operator_norm,24,56.576,2.8769,2.357
decode_b1_graph,unassigned:argmax,1,28.064,1.4271,28.064
decode_b1_graph,unassigned:copy,2,5.312,0.2701,2.656
decode_b1_graph,unassigned:copy_int,4,4.352,0.2213,1.088
decode_b1_graph,unassigned:other,11,15.712,0.799,1.428
prefill_b4x4000_nograph,attn_k_layout_copy,6,133.856,0.0862,22.309
prefill_b4x4000_nograph,attn_k_norm,6,936.099,0.6031,156.017
prefill_b4x4000_nograph,attn_kernel,6,3939.724,2.5384,656.621
prefill_b4x4000_nograph,attn_out_proj,6,1090.661,0.7027,181.777
prefill_b4x4000_nograph,attn_prepare,6,19.07,0.0123,3.178
prefill_b4x4000_nograph,attn_q_layout_copy,6,474.37,0.3056,79.062
prefill_b4x4000_nograph,attn_q_norm,6,3706.73,2.3882,617.788
prefill_b4x4000_nograph,attn_qkv_proj,6,1605.989,1.0347,267.665
prefill_b4x4000_nograph,attn_rope,6,341.025,0.2197,56.838
prefill_b4x4000_nograph,attn_store_kv,6,95.584,0.0616,15.931
prefill_b4x4000_nograph,conv_b_gate_mul,18,1660.226,1.0697,92.235
prefill_b4x4000_nograph,conv_c_gate_mul,18,4100.716,2.6421,227.818
prefill_b4x4000_nograph,conv_cache_indices_cast,18,21.344,0.0138,1.186
prefill_b4x4000_nograph,conv_in_proj,18,9577.917,6.1711,532.107
prefill_b4x4000_nograph,conv_kernel,18,1096.964,0.7068,60.942
prefill_b4x4000_nograph,conv_layout_copy,18,3978.351,2.5633,221.019
prefill_b4x4000_nograph,conv_out_proj,18,3271.533,2.1079,181.752
prefill_b4x4000_nograph,dense_activation,2,311.041,0.2004,155.52
prefill_b4x4000_nograph,dense_down,2,1179.94,0.7602,589.97
prefill_b4x4000_nograph,dense_gate_up,2,2387.527,1.5383,1193.764
prefill_b4x4000_nograph,ffn_norm,24,1495.234,0.9634,62.301
prefill_b4x4000_nograph,final_norm,1,62.624,0.0403,62.624
prefill_b4x4000_nograph,lm_head,1,135.777,0.0875,135.777
prefill_b4x4000_nograph,logits_prep,5,6.432,0.0041,1.286
prefill_b4x4000_nograph,moe_activation,22,3411.365,2.1979,155.062
prefill_b4x4000_nograph,moe_align,22,340.321,0.2193,15.469
prefill_b4x4000_nograph,moe_count_sort,22,614.434,0.3959,27.929
prefill_b4x4000_nograph,moe_down,22,35267.563,22.7229,1603.071
prefill_b4x4000_nograph,moe_router,22,456.448,0.2941,20.748
prefill_b4x4000_nograph,moe_sum,22,1658.275,1.0684,75.376
prefill_b4x4000_nograph,moe_topk,22,73.248,0.0472,3.329
