model,arch,layers,cuda_graph,removable_pct,all_gaps_pct
gemma3,dense + sliding-window attention,26,False,37.06,46.32
olmo2,olmo2 dense (AllenAI),16,False,14.71,27.74
exaone4,exaone4 dense (LG),30,False,3.54,15.66
phi4mini,phi3 dense (Microsoft),32,False,6.43,13.87
lfm25,MoE + gated short conv (hybrid),24,False,4.06,11.31
olmoe,olmoe MoE 64E (AllenAI),16,False,0.43,4.7
qwen3next,MoE(512E) + gated DeltaNet linear attention (hybrid),48,False,0.24,0.64
qwen06,"dense, llama-style",28,False,0.46,0.57
granite,granite dense (IBM),40,False,0.23,0.3
qwen,MoE + full attention,48,False,0.18,0.23
qwen32,"dense, llama-style (large)",64,False,0.04,0.05
