regime,arm,metric,n,mean,ci95,baseline_mean,ratio,gain_pct,welch_t,p_value,verdict
lfm25_all7/A_low_batch_decode,all,request_throughput,6,1.7654,0.0015,1.6878,1.046,4.6,71.157,7.36e-15,improvement
lfm25_all7/A_low_batch_decode,all,output_throughput,6,451.944,0.3896,432.0749,1.046,4.6,71.157,7.36e-15,improvement
lfm25_all7/A_low_batch_decode,all7,request_throughput,6,1.7986,0.0022,1.6878,1.0657,6.57,81.901,4.6e-14,improvement
lfm25_all7/A_low_batch_decode,all7,output_throughput,6,460.4509,0.5598,432.0749,1.0657,6.57,81.901,4.6e-14,improvement
lfm25_all7/A_low_batch_decode,baseline,request_throughput,6,1.6878,0.0015,1.6878,1.0,0.0,0.0,1,baseline
lfm25_all7/A_low_batch_decode,baseline,output_throughput,6,432.0749,0.3844,432.0749,1.0,0.0,0.0,1,baseline
lfm25_all7/B_concurrent_decode,all,request_throughput,6,22.9748,0.159,21.6727,1.0601,6.01,12.748,3.17e-07,improvement
lfm25_all7/B_concurrent_decode,all,output_throughput,6,5881.5551,40.7128,5548.2147,1.0601,6.01,12.748,3.17e-07,improvement
lfm25_all7/B_concurrent_decode,all7,request_throughput,6,23.0178,0.1168,21.6727,1.0621,6.21,15.638,2.39e-08,improvement
lfm25_all7/B_concurrent_decode,all7,output_throughput,6,5892.5494,29.8885,5548.2147,1.0621,6.21,15.638,2.39e-08,improvement
lfm25_all7/B_concurrent_decode,baseline,request_throughput,6,21.6727,0.1216,21.6727,1.0,0.0,0.0,1,baseline
lfm25_all7/B_concurrent_decode,baseline,output_throughput,6,5548.2147,31.1326,5548.2147,1.0,0.0,0.0,1,baseline
lfm25_all7/C_long_prefill,all,request_throughput,6,13.0259,0.1088,12.3106,1.0581,5.81,12.174,1.5e-05,improvement
lfm25_all7/C_long_prefill,all,output_throughput,6,416.8279,3.4823,393.9378,1.0581,5.81,12.174,1.5e-05,improvement
lfm25_all7/C_long_prefill,all7,request_throughput,6,12.9636,0.0986,12.3106,1.053,5.3,12.121,1.15e-05,improvement
lfm25_all7/C_long_prefill,all7,output_throughput,6,414.8362,3.1567,393.9378,1.053,5.3,12.121,1.15e-05,improvement
lfm25_all7/C_long_prefill,baseline,request_throughput,6,12.3106,0.0377,12.3106,1.0,0.0,0.0,1,baseline
lfm25_all7/C_long_prefill,baseline,output_throughput,6,393.9378,1.2059,393.9378,1.0,0.0,0.0,1,baseline
