regime,arm,metric,n,mean,ci95,baseline_mean,ratio,gain_pct,welch_t,p_value,verdict
lfm25_conv/A_low_batch_decode,baseline,request_throughput,6,1.6834,0.0013,1.6834,1.0,0.0,0.0,1.0,baseline
lfm25_conv/A_low_batch_decode,baseline,output_throughput,6,430.9404,0.3442,430.9404,1.0,0.0,0.0,1.0,baseline
lfm25_conv/A_low_batch_decode,conv,request_throughput,6,1.6855,0.0028,1.6834,1.0013,0.13,1.348,0.1775,no significant difference
lfm25_conv/A_low_batch_decode,conv,output_throughput,6,431.4865,0.7152,430.9404,1.0013,0.13,1.348,0.1775,no significant difference
lfm25_conv/A_low_batch_decode,norm+scale,request_throughput,6,1.7541,0.0047,1.6834,1.042,4.2,28.154,0.0,improvement
lfm25_conv/A_low_batch_decode,norm+scale,output_throughput,6,449.0576,1.2134,430.9404,1.042,4.2,28.154,0.0,improvement
lfm25_conv/A_low_batch_decode,norm+scale+conv,request_throughput,6,1.7473,0.0022,1.6834,1.038,3.8,49.345,0.0,improvement
lfm25_conv/A_low_batch_decode,norm+scale+conv,output_throughput,6,447.3145,0.5519,430.9404,1.038,3.8,49.345,0.0,improvement
lfm25_conv/B_concurrent_decode,baseline,request_throughput,6,21.6385,0.1282,21.6385,1.0,0.0,0.0,1.0,baseline
lfm25_conv/B_concurrent_decode,baseline,output_throughput,6,5539.4498,32.8108,5539.4498,1.0,0.0,0.0,1.0,baseline
lfm25_conv/B_concurrent_decode,conv,request_throughput,6,21.6328,0.1002,21.6385,0.9997,-0.03,-0.068,0.9456,no significant difference
lfm25_conv/B_concurrent_decode,conv,output_throughput,6,5537.9986,25.6625,5539.4498,0.9997,-0.03,-0.068,0.9456,no significant difference
lfm25_conv/B_concurrent_decode,norm+scale,request_throughput,6,22.4353,0.1199,21.6385,1.0368,3.68,8.898,0.0,improvement
lfm25_conv/B_concurrent_decode,norm+scale,output_throughput,6,5743.4294,30.6943,5539.4498,1.0368,3.68,8.898,0.0,improvement
lfm25_conv/B_concurrent_decode,norm+scale+conv,request_throughput,6,22.4282,0.1311,21.6385,1.0365,3.65,8.441,0.0,improvement
lfm25_conv/B_concurrent_decode,norm+scale+conv,output_throughput,6,5741.6173,33.5713,5539.4498,1.0365,3.65,8.441,0.0,improvement
lfm25_conv/C_long_prefill,baseline,request_throughput,6,12.1041,0.0676,12.1041,1.0,0.0,0.0,1.0,baseline
lfm25_conv/C_long_prefill,baseline,output_throughput,6,387.3312,2.1635,387.3312,1.0,0.0,0.0,1.0,baseline
lfm25_conv/C_long_prefill,conv,request_throughput,6,12.3856,0.1006,12.1041,1.0233,2.33,4.553,0.0,improvement
lfm25_conv/C_long_prefill,conv,output_throughput,6,396.3393,3.2184,387.3312,1.0233,2.33,4.553,0.0,improvement
lfm25_conv/C_long_prefill,norm+scale,request_throughput,6,12.2975,0.0928,12.1041,1.016,1.6,3.303,0.001,improvement
lfm25_conv/C_long_prefill,norm+scale,output_throughput,6,393.5206,2.9683,387.3312,1.016,1.6,3.303,0.001,improvement
lfm25_conv/C_long_prefill,norm+scale+conv,request_throughput,6,12.6601,0.0752,12.1041,1.0459,4.59,10.779,0.0,improvement
lfm25_conv/C_long_prefill,norm+scale+conv,output_throughput,6,405.1235,2.4054,387.3312,1.0459,4.59,10.779,0.0,improvement
