cuda_graph,stage,gap,pct_of_kernel_time,total_us,calls,calls_per_layer,stage_total_us
OFF,decode,gating_mul,9.34,162.3,64,4.0,1738.9
OFF,decode,layout_copy,5.03,87.4,36,2.25,1738.9
OFF,decode,eager_norm_decomp,3.88,67.5,32,2.0,1738.9
OFF,decode,unfused_rmsnorm,3.69,64.2,33,2.062,1738.9
OFF,decode,eager_norm_rsqrt,2.17,37.7,32,2.0,1738.9
OFF,decode,residual_add,1.97,34.2,32,2.0,1738.9
OFF,decode,eager_norm_pow,1.66,28.9,32,2.0,1738.9
OFF,prefill,gating_mul,9.42,207.1,64,4.0,2199.6
OFF,prefill,layout_copy,8.22,180.8,68,4.25,2199.6
OFF,prefill,eager_norm_decomp,7.93,174.5,32,2.0,2199.6
OFF,prefill,unfused_rmsnorm,2.95,64.8,33,2.062,2199.6
OFF,prefill,residual_add,2.39,52.5,32,2.0,2199.6
OFF,prefill,eager_norm_pow,2.02,44.4,32,2.0,2199.6
OFF,prefill,eager_norm_rsqrt,1.56,34.3,32,2.0,2199.6
ON,decode,unfused_rmsnorm,9.19,132.0,65,4.062,1435.3
ON,decode,residual_add,2.53,36.4,32,2.0,1435.3
ON,decode,layout_copy,0.59,8.5,5,0.312,1435.3
ON,prefill,gating_mul,9.37,205.1,64,4.0,2189.4
ON,prefill,layout_copy,8.21,179.7,68,4.25,2189.4
ON,prefill,eager_norm_decomp,7.91,173.2,32,2.0,2189.4
ON,prefill,unfused_rmsnorm,2.97,65.1,33,2.062,2189.4
ON,prefill,residual_add,2.32,50.8,32,2.0,2189.4
ON,prefill,eager_norm_pow,1.88,41.1,32,2.0,2189.4
ON,prefill,eager_norm_rsqrt,1.79,39.1,32,2.0,2189.4
