model,regime,backend,thr,ci95,ratio_vs_auto,n,tpot_p95
lfm25,A_low_batch_decode,auto,1.6844,0.0046,1.0,5,
lfm25,A_low_batch_decode,triton,1.683,0.0044,0.9992,5,
lfm25,A_low_batch_decode,triton_kernel,1.0945,0.0031,0.6498,5,
lfm25,A_low_batch_decode,flashinfer_cutlass,1.626,0.0031,0.9653,5,
lfm25,B_concurrent_decode,auto,21.6998,0.1995,1.0,5,
lfm25,B_concurrent_decode,triton,21.8246,0.1166,1.0058,5,
lfm25,B_concurrent_decode,triton_kernel,20.9549,4.0305,0.9657,5,
lfm25,B_concurrent_decode,flashinfer_cutlass,22.0597,0.2725,1.0166,5,
lfm25,C_long_prefill,auto,12.283,0.0897,1.0,5,
lfm25,C_long_prefill,triton,12.3279,0.0556,1.0037,5,
lfm25,C_long_prefill,triton_kernel,12.2331,0.1005,0.9959,5,
lfm25,C_long_prefill,flashinfer_cutlass,8.1524,0.031,0.6637,5,
qwen,A_low_batch_decode,auto,0.8822,0.0008,1.0,5,
qwen,A_low_batch_decode,triton,0.8834,0.0004,1.0014,5,
qwen,A_low_batch_decode,triton_kernel,0.5651,0.0005,0.6405,5,
qwen,A_low_batch_decode,flashinfer_cutlass,0.8241,0.0004,0.9341,5,
qwen,B_concurrent_decode,auto,11.6679,0.7042,1.0,5,
qwen,B_concurrent_decode,triton,12.0543,0.0235,1.0331,5,
qwen,B_concurrent_decode,triton_kernel,11.763,0.0064,1.0081,5,
qwen,B_concurrent_decode,flashinfer_cutlass,12.2192,0.1246,1.0472,5,
qwen,C_long_prefill,auto,12.8799,0.292,1.0,5,
qwen,C_long_prefill,triton,12.712,0.2282,0.987,5,
qwen,C_long_prefill,triton_kernel,8.3386,0.0553,0.6474,5,
qwen,C_long_prefill,flashinfer_cutlass,13.2275,0.6567,1.027,5,
