variant,regime,arm,n,thr_mean,thr_median,thr_ci95,tpot_p95,ttft_p95,ratio,ratio_median
no-bias tuning,A_low_batch_decode,default,5,1.6909931774329898,1.6909748780047096,0.0008708348356198383,2.230154686471036,24.285407904535532,1.0,1.0
no-bias tuning,A_low_batch_decode,global_best,5,1.5599901617102163,1.5601935300259417,0.0007651484423201808,2.4261448813526263,23.85638198349625,0.9225289507544658,0.9226592011035166
no-bias tuning,A_low_batch_decode,regime_aware,5,1.2600272682156146,1.2598733431617206,0.0013273706057072088,3.0243193657276644,23.575949701480567,0.7451403619075492,0.745057398279226
no-bias tuning,B_concurrent_decode,default,5,21.800416890094848,21.748553415539416,0.11729315133224978,5.172673947086522,138.61435558181256,1.0,1.0
no-bias tuning,B_concurrent_decode,global_best,5,21.85957233826512,21.843312249503683,0.12887269182871308,5.076916886804004,162.03247820958495,1.0027135007770036,1.0043570177819994
no-bias tuning,B_concurrent_decode,regime_aware,5,21.956719697972577,23.047400780977316,2.040053859986405,4.952421687232952,199.73235917277634,1.0071697164630253,1.0597210922777913
no-bias tuning,C_long_prefill,default,5,12.217452979971746,12.348044198440078,0.3400788269188753,3.591877538560619,219.4728844286874,1.0,1.0
no-bias tuning,C_long_prefill,global_best,5,9.683165821014091,9.823158564491044,0.23336925286935198,3.3492549920394534,303.2728514727205,0.7925682903701655,0.795523437285072
no-bias tuning,C_long_prefill,regime_aware,5,14.452585993448436,14.447959436414282,0.0508659548284281,3.7572783712417848,154.00670755188912,1.1829459067402,1.170060554062439
with-bias tuning,A_low_batch_decode,default,5,1.686103471159119,1.6875648271349049,0.0034774589129104466,2.228579902242261,29.559724461287257,1.0,1.0
with-bias tuning,A_low_batch_decode,regime_aware_guarded,5,1.6886045797395746,1.6884408965542088,0.002064997986663101,2.2284886014640017,26.087978794239458,1.0014833660111833,1.0005191323054483
with-bias tuning,B_concurrent_decode,default,8,21.99646607485889,21.977534291645867,0.07489965585076526,5.164623124200814,128.04092738078907,1.0,1.0
with-bias tuning,B_concurrent_decode,regime_aware_guarded,8,22.114020003379345,22.04728690215393,0.09923309512303238,5.167150953225335,117.74331513734069,1.0053442188449904,1.0031738142041975
with-bias tuning,C_long_prefill,default,8,12.253584324075527,12.27982195058095,0.10594036003925539,3.318002839542685,218.50111387611832,1.0,1.0
with-bias tuning,C_long_prefill,regime_aware_guarded,8,14.959746332205622,15.020355653492581,0.13859118914796964,3.2840771138698104,160.46672427037265,1.2208465650995763,1.2231737328066048
M-corrected guarded,A_low_batch_decode,default,6,1.6919846586090035,1.691806979962327,0.0012962168041764158,2.223607059105525,25.123679905664176,1.0,1.0
M-corrected guarded,A_low_batch_decode,guarded_Mfixed,6,1.689246679891407,1.6896969431577418,0.0027735806393163285,2.2241825057727524,26.6284168115817,0.9983817945962657,0.9987527910514755
M-corrected guarded,B_concurrent_decode,default,6,21.777740448691112,21.79118978462612,0.09064535693630037,5.177212334801047,138.85386999075612,1.0,1.0
M-corrected guarded,B_concurrent_decode,guarded_Mfixed,6,22.086418751039982,22.052440323886724,0.10689705286495356,5.17955035459725,119.87564514468734,1.0141740279748546,1.0119888148303366
M-corrected guarded,C_long_prefill,default,6,12.320279860148329,12.322286617967624,0.029752812585257544,3.294988530838201,217.51284253162643,1.0,1.0
M-corrected guarded,C_long_prefill,guarded_Mfixed,6,15.062090971821661,15.061275719914523,0.07849670232459532,3.310929661020837,157.4000726842011,1.2225445479158394,1.2222792884847418
