M,equals_default_heuristic,kernel_speedup_if_measured,source
1,True,,from the 2026-07-26 study
2,True,,from the 2026-07-26 study
4,True,,from the 2026-07-26 study
8,True,,from the 2026-07-26 study
16,True,,from the 2026-07-26 study
24,True,1.0776,newly swept for this PR
32,True,,from the 2026-07-26 study
48,False,1.3722,newly swept for this PR
64,False,,from the 2026-07-26 study
96,False,1.3915,newly swept for this PR
128,False,,from the 2026-07-26 study
256,False,,from the 2026-07-26 study
512,False,,from the 2026-07-26 study
1024,False,,from the 2026-07-26 study
1536,False,1.5615,newly swept for this PR
2048,False,,from the 2026-07-26 study
3072,False,1.6256,newly swept for this PR
4096,False,,from the 2026-07-26 study
8192,False,,from the 2026-07-26 study
