model,tokens,M,routing,cv_expert_load,gini_expert_load,active_experts,default_ms,best_ms,best_speedup,best_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M
lfm25,32,128,skewed,1.3989393711090088,0.69140625,17,0.2443840056657791,0.23824000358581543,1.0257891285572893,bm16_bn64_bk64_gm16_w4_s2,16,64,64,16
lfm25,32,128,uniform,0.5115845203399658,0.28173828125,31,0.24540799856185913,0.23798400163650513,1.0311953613448914,bm16_bn64_bk128_gm32_w8_s2,16,64,128,32
lfm25,512,2048,skewed,1.357465386390686,0.67633056640625,26,0.30451199412345886,0.22870400547981262,1.3314676911084433,bm64_bn128_bk64_gm32_w4_s3,64,128,64,32
lfm25,512,2048,uniform,0.10004881769418716,0.05615234375,32,0.34803199768066406,0.2380799949169159,1.4618279784579076,bm64_bn128_bk64_gm32_w4_s4,64,128,64,32
lfm25,64,256,skewed,1.3009161949157715,0.658203125,22,0.21456000208854675,0.17312000691890717,1.239371496727417,bm16_bn64_bk64_gm16_w4_s2,16,64,64,16
lfm25,64,256,uniform,0.4098398983478546,0.22998046875,32,0.2727679908275604,0.19462400674819946,1.4015125645854267,bm16_bn128_bk128_gm1_w8_s2,16,128,128,1
lfm25,8,32,skewed,1.5811388492584229,0.7421875,11,0.24463999271392822,0.24115200340747833,1.0144638620337572,bm16_bn32_bk128_gm16_w4_s2,16,32,128,16
lfm25,8,32,uniform,0.8660253882408142,0.470703125,21,0.2412160038948059,0.23881599307060242,1.0100496235337721,bm16_bn64_bk256_gm16_w4_s3,16,64,256,16
qwen,32,256,skewed,1.5946688652038574,0.7437744140625,53,0.25231999158859253,0.24006399512290955,1.0510530388341162,bm16_bn64_bk128_gm32_w8_s3,16,64,128,32
qwen,32,256,uniform,0.652519166469574,0.359619140625,114,0.2742080092430115,0.27139198780059814,1.0103762143651873,bm16_bn64_bk128_gm1_w4_s3,16,64,128,1
qwen,512,4096,skewed,1.559459924697876,0.7258567810058594,91,0.28460800647735596,0.28678399324417114,0.9924124539092999,bm64_bn128_bk64_gm16_w4_s3,64,128,64,16
qwen,512,4096,uniform,0.14704319834709167,0.08295822143554688,128,0.34489598870277405,0.34534400701522827,0.9987026897720728,bm64_bn128_bk64_gm1_w8_s4,64,128,64,1
qwen,64,512,skewed,1.5508943796157837,0.7308349609375,62,0.18089599907398224,0.17705599963665009,1.0216880503637973,bm16_bn64_bk128_gm16_w8_s2,16,64,128,16
qwen,64,512,uniform,0.455006867647171,0.25311279296875,128,0.31174400448799133,0.30486398935317993,1.0225674903402284,bm16_bn128_bk128_gm1_w8_s2,16,128,128,1
qwen,8,64,skewed,1.9843134880065918,0.80810546875,35,0.24739199876785278,0.23849600553512573,1.0373003866994193,bm16_bn64_bk256_gm16_w4_s5,16,64,256,16
qwen,8,64,uniform,1.3919410705566406,0.674072265625,50,0.24713599681854248,0.23984000086784363,1.030420263193374,bm16_bn64_bk128_gm1_w8_s2,16,64,128,1
