model,tokens,M,default_ms,oracle_ms,oracle_key,global_ms,global_key,regime_cluster,regime_key,regime_ms,oracle_speedup,global_speedup,regime_speedup,global_pct_of_oracle,regime_pct_of_oracle
lfm25,1,4,0.2555519938468933,0.2396160066127777,bm16_bn64_bk256_gm1_w4_s2,0.2653439939022064,bm16_bn256_bk64_gm32_w4_s3,low_M,bm16_bn256_bk64_gm32_w4_s2,0.24368000030517578,1.0665063551445808,0.9630969598696777,1.0487196057405181,-55.48799065908412,73.25556427593222
lfm25,2,8,0.26531198620796204,0.24745599925518036,bm16_bn64_bk256_gm32_w8_s3,0.3004800081253052,bm16_bn256_bk64_gm32_w4_s3,low_M,bm16_bn256_bk64_gm32_w4_s2,0.2513599991798401,1.072158230176381,0.8829605266028964,1.0555059956780941,-162.19837031897333,76.92261235124147
lfm25,4,16,0.25913599133491516,0.24236799776554108,bm16_bn32_bk256_gm16_w4_s2,0.2520959973335266,bm16_bn256_bk64_gm32_w4_s3,low_M,bm16_bn256_bk64_gm32_w4_s2,0.245728000998497,1.0691840248051019,1.0279258460104566,1.054564356857728,40.364587184868725,78.86843387825611
lfm25,8,32,0.3107840120792389,0.24006399512290955,bm16_bn64_bk128_gm16_w8_s4,0.24988800287246704,bm16_bn256_bk64_gm32_w4_s3,mid_M,bm16_bn128_bk128_gm16_w8_s2,0.24719999730587006,1.2945881864547062,1.2436932085845305,1.2572168910450832,82.72334729960362,87.3140549662303
lfm25,16,64,0.3139519989490509,0.25011199712753296,bm32_bn256_bk64_gm32_w8_s3,0.259552001953125,bm16_bn256_bk64_gm32_w4_s3,mid_M,bm16_bn128_bk128_gm16_w8_s2,0.2521600127220154,1.2552456601630577,1.2095918990667254,1.2450506944380426,82.1137953659359,96.00582210937405
lfm25,32,128,0.31990399956703186,0.2449280023574829,bm16_bn128_bk64_gm32_w4_s4,0.24851199984550476,bm16_bn256_bk64_gm32_w4_s3,mid_M,bm16_bn128_bk128_gm16_w8_s2,0.25257599353790283,1.3061144356214456,1.28727787698747,1.2665653417256595,93.84656310123522,87.08029112854572
lfm25,64,256,0.27296000719070435,0.19500799477100372,bm16_bn128_bk128_gm1_w8_s2,0.21401600539684296,bm16_bn256_bk64_gm32_w4_s3,mid_M,bm16_bn128_bk128_gm16_w8_s2,0.19542400538921356,1.3997375210756822,1.2754186617237502,1.3967578171733164,68.89987734516552,99.25458488501468
lfm25,512,2048,0.34857600927352905,0.23849600553512573,bm64_bn128_bk64_gm32_w4_s4,0.37615999579429626,bm16_bn256_bk64_gm32_w4_s3,high_M,bm128_bn256_bk64_gm1_w8_s4,0.23958399891853333,1.4615591086794564,0.9266695373533246,1.454921909839466,-15.887556169453038,98.56200458073944
lfm25,2048,8192,0.7879679799079895,0.49884799122810364,bm128_bn256_bk64_gm1_w8_s4,1.1818879842758179,bm16_bn256_bk64_gm32_w4_s3,high_M,bm128_bn256_bk64_gm1_w8_s4,0.49884799122810364,1.5795753290859351,0.6667027589681468,1.5795753290859351,-57.507147786553624,100.0
lfm25,8192,32768,2.6943359375,1.600607991218567,bm128_bn256_bk64_gm1_w8_s3,4.358687877655029,bm16_bn256_bk64_gm32_w4_s3,high_M,bm128_bn256_bk64_gm1_w8_s4,1.6195839643478394,1.6833203084590136,0.6181529884974353,1.663597563825555,-55.881115602093715,97.11368967242664
qwen,1,8,0.25200000405311584,0.2406720072031021,bm16_bn64_bk64_gm1_w8_s5,0.2443840056657791,bm16_bn256_bk64_gm16_w4_s3,low_M,bm16_bn32_bk64_gm32_w8_s5,0.24118399620056152,1.0470681945177533,1.031164062339466,1.0448454624806864,66.21044775301809,95.27763480235357
qwen,2,16,0.2683199942111969,0.2422720044851303,bm16_bn32_bk128_gm1_w4_s3,0.24995200335979462,bm16_bn256_bk64_gm16_w4_s3,low_M,bm16_bn32_bk64_gm32_w8_s5,0.24329599738121033,1.1075154753493828,1.0734860717437915,1.1028541246027057,68.34929716395789,95.66448389729058
