model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,16,64,bm16_bn32_bk256_gm1_w8_s2,16,32,256,1,8,2,0.24563199281692505,0.2500799894332886,0.002106518073583009,0.2467840015888214,1.004689978527166,0.0
lfm25,16,64,bm32_bn32_bk64_gm16_w8_s3,32,32,64,16,8,3,0.24755200743675232,0.25113600492477417,0.0015016707413684556,0.2467840015888214,0.9968975979799836,0.0
lfm25,16,64,bm32_bn32_bk256_gm16_w8_s3,32,32,256,16,8,3,0.24822400510311127,0.2588160037994385,0.004263217851724643,0.2467840015888214,0.9941987741528395,0.0
lfm25,16,64,bm16_bn32_bk256_gm1_w4_s2,16,32,256,1,4,2,0.24848000705242157,0.2646079957485199,0.007718385371617453,0.2467840015888214,0.9931744791715079,0.0
lfm25,16,64,bm32_bn32_bk128_gm1_w8_s2,32,32,128,1,8,2,0.2487040013074875,0.2553919851779938,0.002990197897348042,0.2467840015888214,0.992279980585064,0.0
lfm25,16,64,bm32_bn64_bk64_gm1_w4_s3,32,64,64,1,4,3,0.24899199604988098,0.2553600072860718,0.0032009347366708475,0.2467840015888214,0.9911322673174714,0.0
lfm25,16,64,bm16_bn32_bk256_gm16_w4_s2,16,32,256,16,4,2,0.24908800423145294,0.258976012468338,0.0041366346907963,0.2467840015888214,0.9907502464852115,0.0
lfm25,16,64,bm32_bn32_bk128_gm16_w4_s2,32,32,128,16,4,2,0.24908800423145294,0.25094398856163025,0.001171917994701715,0.2467840015888214,0.9907502464852115,0.0
lfm25,16,64,bm16_bn32_bk256_gm32_w4_s2,16,32,256,32,4,2,0.24915200471878052,0.26080000400543213,0.0046436588644502615,0.2467840015888214,0.9904957492409829,0.0
lfm25,16,64,bm32_bn64_bk128_gm1_w8_s2,32,64,128,1,8,2,0.24937599897384644,0.29235199093818665,0.017415143757479795,0.2467840015888214,0.9896060671608703,0.0
lfm25,16,64,bm128_bn128_bk128_gm1_w8_s3,128,128,128,1,8,3,0.2494720071554184,0.2521919906139374,0.0012885139680887763,0.2467840015888214,0.9892252217102563,0.0
lfm25,16,64,bm16_bn32_bk64_gm32_w4_s2,16,32,64,32,4,2,0.2495039999485016,0.2535359859466553,0.0016998652941730156,0.2467840015888214,0.9890983777404707,0.0
lfm25,16,64,bm32_bn128_bk64_gm16_w4_s5,32,128,64,16,4,5,0.24953599274158478,0.2698560059070587,0.008085752765608585,0.2467840015888214,0.9889715662957957,0.0
lfm25,16,64,bm32_bn32_bk128_gm32_w4_s2,32,32,128,32,4,2,0.24963200092315674,0.26230400800704956,0.005202876945395625,0.2467840015888214,0.9885912089643827,0.0
lfm25,16,64,bm32_bn32_bk64_gm1_w8_s3,32,32,64,1,8,3,0.24966399371623993,0.26265600323677063,0.005345271183691327,0.2467840015888214,0.9884645275253755,0.0
lfm25,16,64,bm64_bn128_bk64_gm32_w8_s5,64,128,64,32,8,5,0.2497279942035675,0.2736000120639801,0.009676724189488792,0.2467840015888214,0.9882112030566094,0.0
