M,default_ms,best_ms,speedup,specialised,equals_default,n_candidates
1,0.25974,0.23587,1.1012,False,True,240
2,0.26899,0.25274,1.0643,False,True,240
4,0.26768,0.25411,1.0534,False,True,240
8,0.24736,0.23421,1.0562,False,True,240
16,0.23619,0.22125,1.0675,False,True,468
24,0.25872,0.24387,1.0609,False,True,468
32,0.27622,0.24902,1.1092,False,True,672
48,0.2056,0.19363,1.0618,False,True,672
64,0.19302,0.19187,1.006,False,True,822
96,0.19811,0.19728,1.0042,False,True,822
128,0.20534,0.20211,1.016,False,True,906
256,0.2103,0.20848,1.0087,False,True,906
512,0.2344,0.23808,0.9845,False,True,906
1024,0.28624,0.29936,0.9562,False,True,906
1536,0.38822,0.40614,0.9559,False,True,906
2048,0.48906,0.49056,0.9969,False,True,906
3072,0.65763,0.65946,0.9972,False,True,906
4096,0.85696,0.86429,0.9915,False,True,906
8192,1.56301,1.5775,0.9908,False,True,906
