model,tokens,M,top_k,num_experts,active_experts,max_expert_load,mean_expert_load,cv_expert_load,gini_expert_load,arithmetic_intensity,default_ms,best_ms,best_speedup,best_key,n_candidates_ok,n_candidates_failed
lfm25,16,64,4,32,27,4.0,2.0,0.6495190262794495,0.3662109375,1.3333333333333333,0.3139519989490509,0.25011199712753296,1.2552456601630577,bm32_bn256_bk64_gm32_w8_s3,822,0
lfm25,1,4,4,32,4,1.0,0.125,2.6457512378692627,0.875,0.08333333333333333,0.2555519938468933,0.2396160066127777,1.0665063551445808,bm16_bn64_bk256_gm1_w4_s2,240,0
lfm25,2048,8192,4,32,32,284.0,256.0,0.05227118730545044,0.0297088623046875,170.66666666666666,0.7879679799079895,0.49884799122810364,1.5795753290859351,bm128_bn256_bk64_gm1_w8_s4,894,12
lfm25,2,8,4,32,8,1.0,0.25,1.7320507764816284,0.75,0.16666666666666666,0.26531198620796204,0.24745599925518036,1.072158230176381,bm16_bn64_bk256_gm32_w8_s3,240,0
lfm25,32,128,4,32,31,9.0,4.0,0.5115845203399658,0.28173828125,2.6666666666666665,0.31990399956703186,0.2449280023574829,1.3061144356214456,bm16_bn128_bk64_gm32_w4_s4,894,12
lfm25,4,16,4,32,12,2.0,0.5,1.4142135381698608,0.6875,0.3333333333333333,0.25913599133491516,0.24236799776554108,1.0691840248051019,bm16_bn32_bk256_gm16_w4_s2,468,0
lfm25,512,2048,4,32,32,78.0,64.0,0.10004881769418716,0.05615234375,42.666666666666664,0.34857600927352905,0.23849600553512573,1.4615591086794564,bm64_bn128_bk64_gm32_w4_s4,894,12
lfm25,64,256,4,32,32,16.0,8.0,0.4098398983478546,0.22998046875,5.333333333333333,0.27296000719070435,0.19500799477100372,1.3997375210756822,bm16_bn128_bk128_gm1_w8_s2,894,12
lfm25,8192,32768,4,32,32,1091.0,1024.0,0.03349534794688225,0.018877029418945312,682.6666666666666,2.6943359375,1.600607991218567,1.6833203084590136,bm128_bn256_bk64_gm1_w8_s3,894,12
lfm25,8,32,4,32,21,3.0,1.0,0.8660253882408142,0.470703125,0.6666666666666666,0.3107840120792389,0.24006399512290955,1.2945881864547062,bm16_bn64_bk128_gm16_w8_s4,672,0
qwen,16,128,8,128,82,4.0,1.0,0.9437292814254761,0.5054931640625,0.6666666666666666,0.30457600951194763,0.24755200743675232,1.2303516043583873,bm32_bn64_bk128_gm1_w8_s5,894,12
qwen,1,8,8,128,8,1.0,0.0625,3.872983455657959,0.9375,0.041666666666666664,0.25200000405311584,0.2406720072031021,1.0470681945177533,bm16_bn64_bk64_gm1_w8_s5,240,0
qwen,2048,16384,8,128,128,155.0,128.0,0.08596523851156235,0.04883289337158203,85.33333333333333,0.5347520112991333,0.5572800040245056,0.9595750923006711,bm128_bn256_bk64_gm16_w8_s4,894,12
qwen,2,16,8,128,16,1.0,0.125,2.6457512378692627,0.875,0.08333333333333333,0.2683199942111969,0.2422720044851303,1.1075154753493828,bm16_bn32_bk128_gm1_w4_s3,468,0
qwen,32,256,8,128,114,6.0,2.0,0.652519166469574,0.359619140625,1.3333333333333333,0.2746239900588989,0.27164798974990845,1.010955355538358,bm16_bn64_bk128_gm1_w4_s3,894,12
qwen,4,32,8,128,29,2.0,0.25,1.9364917278289795,0.79248046875,0.16666666666666666,0.28492799401283264,0.23932799696922302,1.190533483842568,bm32_bn64_bk128_gm1_w8_s4,672,0
qwen,512,4096,8,128,128,47.0,32.0,0.14704319834709167,0.08295822143554688,21.333333333333332,0.3452160060405731,0.3479680120944977,0.992091209656429,bm64_bn128_bk64_gm1_w8_s3,894,12
qwen,64,512,8,128,128,10.0,4.0,0.455006867647171,0.25311279296875,2.6666666666666665,0.3118399977684021,0.30486398935317993,1.0228823628202954,bm16_bn64_bk128_gm1_w4_s2,894,12
qwen,8192,65536,8,128,128,574.0,512.0,0.04501068592071533,0.025171756744384766,341.3333333333333,1.5786240100860596,1.6350079774856567,0.965514561288988,bm128_bn256_bk64_gm1_w8_s3,894,12
qwen,8,64,8,128,50,3.0,0.5,1.3919410705566406,0.674072265625,0.3333333333333333,0.25251200795173645,0.24201600253582,1.0433690553762573,bm16_bn64_bk256_gm1_w4_s2,822,0
